"seqnames","start","end","width","strand","Conc","Conc_p53KD","Conc_Scramble","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","annotation_category","input_gene","ENTREZID"
"chr22",29096577,29097077,501,"*",4.87896612307083,0,5.87896612307083,-6.54438096119262,2.09126442050481e-05,0.00184275507193784,"Intron (ENST00000400335.9/83999, intron 2 of 8)",22,29073131,29142112,68982,1,"83999","ENST00000407188.5",23446,"ENSG00000183762","KREMEN1","kringle containing transmembrane protein 1","Other intron","KREMEN1","83999"
"chr19",10502341,10502841,501,"*",5.17687448672932,1.99095620780952,6.09534760894359,-3.18805205899226,2.15125010679356e-05,0.00184275507193784,"Promoter (<=1kb)",19,10499395,10502687,3293,2,"9817","ENST00000591419.2",0,"ENSG00000079999","KEAP1","kelch like ECH associated protein 1","Promoter (<=1 kb)","KEAP1","9817"
"chr17",7583095,7583595,501,"*",6.52046736006145,4.61667132350313,7.3135398068827,-2.04994899470623,2.23001640753131e-05,0.00184275507193784,"Promoter (<=1kb)",17,7581967,7583549,1583,2,"100996842","ENST00000842061.1",0,"ENSG00000233223","MPDU1-AS1","MPDU1 antisense RNA 1","Promoter (<=1 kb)","MPDU1-AS1","100996842"
"chr7",44748326,44748826,501,"*",5.11109619669105,0.671239139121204,6.07747093533341,-4.38281444387792,2.23052289899366e-05,0.00184275507193784,"Promoter (<=1kb)",7,44748581,44768694,20114,1,"83637","ENST00000413916.5",0,"ENSG00000122515","ZMIZ2","zinc finger MIZ-type containing 2","Promoter (<=1 kb)","ZMIZ2","83637"
"chr11",119845566,119846066,501,"*",4.55091828427679,0,5.55091828427679,-6.29136022652845,2.43473929746265e-05,0.00189976295168535,"Intron (ENST00000813938.1/124902771, intron 3 of 3)",11,119854780,119867684,12905,1,"124902771","ENST00000813945.1",-8714,"ENSG00000287545","LOC124902771","uncharacterized LOC124902771","Other intron","LOC124902771","124902771"
"chr2",200408680,200409180,501,"*",5.16839534926422,0,6.15875608300228,-5.73204067142612,2.46831153543657e-05,0.00189976295168535,"Intron (ENST00000439084.5/26010, intron 2 of 4)",2,200393077,200467378,74302,1,"26010","ENST00000438761.5",15603,"ENSG00000196141","SPATS2L","spermatogenesis associated serine rich 2 like","Other intron","SPATS2L","26010"
"chr9",97983499,97983999,501,"*",5.63035576829901,3.05060025560637,6.50435059045084,-2.55251719667486,2.535375757991e-05,0.00189976295168535,"Promoter (<=1kb)",9,97983341,98015943,32603,1,"10541","ENST00000339399.5",158,"ENSG00000136938","ANP32B","acidic nuclear phosphoprotein 32 family member B","Promoter (<=1 kb)","ANP32B","10541"
"chr1",23743333,23743833,501,"*",5.29160831437774,1.93335269580596,6.21949460214027,-3.28959228267793,2.82631610123215e-05,0.00200334216244036,"Promoter (<=1kb)",1,23743448,23762023,18576,1,"6924","ENST00000609199.2",0,"ENSG00000011007","ELOA","elongin A","Promoter (<=1 kb)","ELOA","6924"
"chr19",43503953,43504453,501,"*",4.50017513395156,0,5.50017513395156,-6.20584472209742,2.85449525363333e-05,0.00200334216244036,"Promoter (<=1kb)",19,43474341,43504414,30074,2,"653583","ENST00000596141.2",0,"ENSG00000176531","PHLDB3","pleckstrin homology like domain family B member 3","Promoter (<=1 kb)","PHLDB3","653583"
"chr1",171339325,171339825,501,"*",10.5433809997887,11.4102027096439,8.03996852232821,2.49751139854405,2.86014088989002e-05,0.00200334216244036,"Promoter (<=1kb)",1,171339299,171339959,661,1,"7151","ENST00000649925.1",26,NA,"TOP1P1","DNA topoisomerase I pseudogene 1","Promoter (<=1 kb)","TOP1P1","7151"
"chr5",69188803,69189303,501,"*",4.69403555204016,0,5.69403555204016,-6.29095239818802,3.14381252007022e-05,0.00215518381695027,"Promoter (<=1kb)",5,69181462,69189461,8000,2,"112267932","ENST00000732377.1",158,NA,"LOC112267932","uncharacterized LOC112267932","Promoter (<=1 kb)","LOC112267932","112267932"
"chr1",35268433,35268933,501,"*",4.83775055888789,0,5.83775055888789,-6.32320557831437,3.60997888832332e-05,0.00242319832878703,"Promoter (<=1kb)",1,35268709,35422058,153350,1,"9202","ENST00000314607.11",0,"ENSG00000146463","ZMYM4","zinc finger MYM-type containing 4","Promoter (<=1 kb)","ZMYM4","9202"
"chr22",38705697,38706197,501,"*",4.43764399338633,0,5.43764399338633,-6.05423505822111,3.88592114583899e-05,0.00255519141467209,"Promoter (<=1kb)",22,38705742,38716867,11126,1,"9567","ENST00000484657.5",0,"ENSG00000100226","GTPBP1","GTP binding protein 1","Promoter (<=1 kb)","GTPBP1","9567"
"chr7",66075519,66076019,501,"*",4.40197866638683,0,5.40197866638683,-5.97464037003827,4.49752960048973e-05,0.00289820807455558,"Promoter (<=1kb)",7,66075800,66092930,17131,1,"435","ENST00000672586.1",0,"ENSG00000126522","ASL","argininosuccinate lyase","Promoter (<=1 kb)","ASL","435"
"chr11",57514108,57514608,501,"*",4.49150435087894,0,5.49150435087894,-6.01907725701251,4.60733111447812e-05,0.00291074918644088,"Promoter (<=1kb)",11,57493993,57514615,20623,2,"8501","ENST00000533066.5",7,"ENSG00000149150","SLC43A1","solute carrier family 43 member 1","Promoter (<=1 kb)","SLC43A1","8501"
"chr10",110567138,110567638,501,"*",5.14912516458922,0.928739612923563,6.10989929286934,-4.11969093077552,4.84846845756798e-05,0.00300418564813155,"Promoter (<=1kb)",10,110545410,110567213,21804,2,"105378483","ENST00000728672.1",0,NA,"LOC105378483","uncharacterized LOC105378483","Promoter (<=1 kb)","LOC105378483","105378483"
"chr17",752091,752591,501,"*",6.51144760191386,5.20605351969123,7.18535622574561,-1.60204611259583,5.13448296710988e-05,0.00312137813585434,"Promoter (<=1kb)",17,744421,752264,7844,2,"50628","ENST00000319004.6",0,"ENSG00000179409","GEMIN4","gem nuclear organelle associated protein 4","Promoter (<=1 kb)","GEMIN4","50628"
"chr15",98785758,98786258,501,"*",4.34560782328432,0,5.34560782328432,-5.83298555684451,5.80202650570607e-05,0.00346187581507129,"Promoter (1-2kb)",15,98784426,98784502,77,1,"100616432","ENST00000580728.1",1332,"ENSG00000264480","MIR4714","microRNA 4714","Promoter (1-2 kb)","MIR4714","100616432"
"chr19",44890485,44890985,501,"*",4.33493929861451,0,5.33493929861451,-5.79202732130836,6.268129992513e-05,0.00367198451561398,"Promoter (<=1kb)",19,44890569,44891525,957,1,"10452","ENST00000589253.1",0,"ENSG00000130204","TOMM40","translocase of outer mitochondrial membrane 40","Promoter (<=1 kb)","TOMM40","10452"
"chr3",150408090,150408590,501,"*",4.93207750331912,0,5.91700570557593,-5.19983032173182,6.54429151483645e-05,0.00376530486800055,"Promoter (<=1kb)",3,150408298,150466422,58125,1,"9819","ENST00000361875.8",0,"ENSG00000196428","TSC22D2","TSC22 domain family member 2","Promoter (<=1 kb)","TSC22D2","9819"
"chr6",42217307,42217807,501,"*",4.47216158969524,0,5.47216158969524,-5.81475176190894,7.09033143337584e-05,0.00400790313655034,"Promoter (<=1kb)",6,42206694,42217861,11168,2,"55173","ENST00000718325.1",54,"ENSG00000048544","MRPS10","mitochondrial ribosomal protein S10","Promoter (<=1 kb)","MRPS10","55173"
"chr8",48007791,48008291,501,"*",5.48909414741695,1.74530599720678,6.43421775519493,-3.3876206583768,7.64226989088121e-05,0.00421496877531297,"Promoter (<=1kb)",8,48008415,48061417,53003,1,"7336","ENST00000523432.5",-124,"ENSG00000169139","UBE2V2","ubiquitin conjugating enzyme E2 V2","Promoter (<=1 kb)","UBE2V2","7336"
"chr17",43387832,43388332,501,"*",4.38010005559124,0,5.38010005559124,-5.7183486494684,7.7509371068398e-05,0.00421496877531297,"Promoter (<=1kb)",17,43338741,43388312,49572,2,"100130581","ENST00000658096.1",0,"ENSG00000188825","LINC00910","long intergenic non-protein coding RNA 910","Promoter (<=1 kb)","LINC00910","100130581"
"chr12",7994784,7995284,501,"*",4.31336261512562,0,5.31336261512562,-5.67350274938801,7.84910386464241e-05,0.00421496877531297,"Exon (ENST00000470614.1/ENST00000470614.1, exon 1 of 1)",12,7919230,8019007,99778,2,"6515","ENST00000707174.1",23723,"ENSG00000059804","SLC2A3","solute carrier family 2 member 3","Other exon","SLC2A3","6515"
"chr20",23136762,23137262,501,"*",4.88544924026694,0.522913575870329,5.84994970172221,-3.8883378300457,8.3364815539787e-05,0.00440330222408514,"Exon (ENST00000737821.1/ENST00000737821.1, exon 1 of 1)",20,23125301,23132654,7354,2,"200261","ENST00000762245.1",-4108,"ENSG00000233746","LINC00656","long intergenic non-protein coding RNA 656","Other exon","LINC00656","200261"
"chr20",47280967,47281467,501,"*",4.30005219163688,0,5.30005219163688,-5.60512979290691,8.8658986632231e-05,0.0046074073375653,"Intron (ENST00000311275.11/23613, intron 10 of 21)",20,47210413,47298900,88488,2,"23613","ENST00000467200.6",17433,"ENSG00000101040","ZMYND8","zinc finger MYND-type containing 8","Other intron","ZMYND8","23613"
"chr9",35657754,35658254,501,"*",5.64036629456508,2.67399816523222,6.5449866418607,-2.6885413529304,9.18930932111325e-05,0.00469967533851221,"Promoter (<=1kb)",9,35657750,35658019,270,2,"6023","ENST00000363046.2",0,"ENSG00000277027","RMRP","RNA component of mitochondrial RNA processing endoribonuclease","Promoter (<=1 kb)","RMRP","6023"
"chr12",53218453,53218953,501,"*",4.30484790883548,0,5.30484790883548,-5.57833733044318,9.39087486048737e-05,0.00472082769921384,"Promoter (1-2kb)",12,53215374,53220084,4711,2,"5916","ENST00000548284.1",1131,"ENSG00000172819","RARG","retinoic acid receptor gamma","Promoter (1-2 kb)","RARG","5916"
"chr12",52945538,52946038,501,"*",5.05167256900167,0.928739612923563,6.00966520303489,-3.83356045866715,9.52370578674425e-05,0.00472082769921384,"Promoter (2-3kb)",12,52948871,52952900,4030,1,"3875","ENST00000388837.6",-2833,"ENSG00000111057","KRT18","keratin 18","Promoter (2-3 kb)","KRT18","3875"
"chr1",153550518,153551018,501,"*",4.30962773721104,0,5.30962773721104,-5.54389422924871,0.000100793663800793,0.00478960701296911,"Promoter (<=1kb)",1,153543621,153550136,6516,2,"6275","ENST00000368714.1",-382,"ENSG00000196154","S100A4","S100 calcium binding protein A4","Promoter (<=1 kb)","S100A4","6275"
"chr9",121075178,121075678,501,"*",4.50079772130198,0,5.50079772130198,-5.648124091029,0.000101033864118001,0.00478960701296911,"Promoter (<=1kb)",9,120932987,121075184,142198,2,"727","ENST00000696280.1",0,"ENSG00000106804","C5","complement C5","Promoter (<=1 kb)","C5","727"
"chr7",151226788,151227288,501,"*",4.44822765108208,0,5.44822765108208,-5.61366014150471,0.000102128356815778,0.00478960701296911,"Promoter (<=1kb)",7,151211484,151227205,15722,2,"10061","ENST00000287844.7",0,"ENSG00000033050","ABCF2","ATP binding cassette subfamily F member 2","Promoter (<=1 kb)","ABCF2","10061"
"chr3",119464265,119464765,501,"*",4.64601879920939,0,5.64601879920939,-5.71681970740992,0.000102570727465819,0.00478960701296911,"Promoter (<=1kb)",3,119447018,119463665,16648,2,"55254","ENST00000468676.5",-600,"ENSG00000176142","TMEM39A","transmembrane protein 39A","Promoter (<=1 kb)","TMEM39A","55254"
"chr6",33571344,33571844,501,"*",4.88614158300321,0.522913575870329,5.85065928761137,-3.80567943487819,0.00010948884463161,0.00503961510575783,"Promoter (<=1kb)",6,33571434,33587888,16455,1,"449520","ENST00000738007.1",0,NA,"GGNBP1","gametogenetin binding protein 1 (pseudogene)","Promoter (<=1 kb)","GGNBP1","449520"
"chr17",29580475,29580975,501,"*",4.24696193587412,0,5.24696193587412,-5.44522687902751,0.000113398832294833,0.00514607095287258,"Promoter (<=1kb)",17,29576380,29581381,5002,2,"28964","ENST00000585148.1",406,"ENSG00000108262","GIT1","GIT ArfGAP 1","Promoter (<=1 kb)","GIT1","28964"
"chr15",65868971,65869471,501,"*",4.24945166763927,0,5.24945166763927,-5.4314241120303,0.000116574684340056,0.00521506259380617,"Promoter (<=1kb)",15,65869456,65888247,18792,1,"8766","ENST00000564910.5",0,"ENSG00000103769","RAB11A","RAB11A, member RAS oncogene family","Promoter (<=1 kb)","RAB11A","8766"
"chr7",149028912,149029412,501,"*",4.7577629348587,0,5.74074403447891,-4.82196715306175,0.000118549321587423,0.00521506259380617,"Promoter (<=1kb)",7,149003068,149028662,25595,2,"9601","ENST00000286091.9",-250,"ENSG00000155660","PDIA4","protein disulfide isomerase family A member 4","Promoter (<=1 kb)","PDIA4","9601"
"chr7",460940,461440,501,"*",4.91712895601512,0.343777112202407,5.88650725366579,-4.14859375677321,0.000119774870248807,0.00521506259380617,"Intron (ENST00000812371.1/ENST00000812371.1, intron 1 of 2)",7,446281,448823,2543,1,"124901566","ENST00000665027.1",14659,NA,"LOC124901566","uncharacterized LOC124901566","Other intron","LOC124901566","124901566"
"chr7",74092553,74093053,501,"*",5.49397579095386,2.05060025560637,6.4260925443652,-3.04782280179994,0.000123471031008218,0.00530431549211305,"Promoter (<=1kb)",7,74093079,74121458,28380,1,"3984","ENST00000538333.3",-26,"ENSG00000106683","LIMK1","LIM domain kinase 1","Promoter (<=1 kb)","LIMK1","3984"
"chr17",75515516,75516016,501,"*",4.89723986905189,0,5.88559939273142,-4.91817765618876,0.00012539684838026,0.00531616638791051,"Promoter (<=1kb)",17,75515944,75524723,8780,1,"283989","ENST00000679370.1",0,"ENSG00000182173","TSEN54","tRNA splicing endonuclease subunit 54","Promoter (<=1 kb)","TSEN54","283989"
"chr3",51995393,51995893,501,"*",6.33511689981975,5.07691882348362,6.99680649500667,-1.52676527445894,0.000131508788360074,0.00543713743454161,"Promoter (<=1kb)",3,51993522,51995857,2336,2,"6159","ENST00000648640.1",0,"ENSG00000162244","RPL29","ribosomal protein L29","Promoter (<=1 kb)","RPL29","6159"
"chr17",81871523,81872023,501,"*",6.54316180007644,5.14243257670609,7.24027935827386,-1.62677644763354,0.000131625301022423,0.00543713743454161,"Promoter (<=1kb)",17,81869302,81871378,2077,2,"396","ENST00000584397.1",-145,"ENSG00000141522","ARHGDIA","Rho GDP dissociation inhibitor alpha","Promoter (<=1 kb)","ARHGDIA","396"
"chr19",55654673,55655173,501,"*",6.4433279270492,4.50694040732969,7.24136198284018,-1.95556463538114,0.000134187660485531,0.00547281825423269,"Promoter (<=1kb)",19,55655035,55674716,19682,1,"11338","ENST00000308924.9",0,"ENSG00000063244","U2AF2","U2 small nuclear RNA auxiliary factor 2","Promoter (<=1 kb)","U2AF2","11338"
"chr17",2511644,2512144,501,"*",4.17622531323446,0,5.17622531323446,-5.3015826100647,0.000136662397444129,0.0055040780570623,"Promoter (<=1kb)",17,2416049,2511888,95840,2,"79066","ENST00000263092.11",0,"ENSG00000127804","METTL16","methyltransferase 16, RNA N6-adenosine","Promoter (<=1 kb)","METTL16","79066"
"chr1",179882436,179882936,501,"*",5.68921161439847,3.41523534968818,6.5317808084655,-2.14507244966677,0.000145412087527333,0.00573106866618317,"Promoter (<=1kb)",1,179882696,179920077,37382,1,"26092","ENST00000435319.8",0,"ENSG00000143337","TOR1AIP1","torsin 1A interacting protein 1","Promoter (<=1 kb)","TOR1AIP1","26092"
"chr6",3194882,3195382,501,"*",4.3856169107226,0,5.3856169107226,-5.37468810072646,0.000145855875427381,0.00573106866618317,"Promoter (<=1kb)",6,3189648,3195777,6130,2,"100507194","ENST00000814153.1",395,"ENSG00000230269","LINC02525","long intergenic non-protein coding RNA 2525","Promoter (<=1 kb)","LINC02525","100507194"
"chr1",225817803,225818303,501,"*",4.6804531414222,0,5.65325138128865,-3.98744817848144,0.000151742061444426,0.00589051713221614,"Intron (ENST00000272167.10/2052, intron 1 of 8)",1,225825354,225845563,20210,1,"2052","ENST00000366837.5",-7051,"ENSG00000143819","EPHX1","epoxide hydrolase 1","Other intron","EPHX1","2052"
"chr7",4775363,4775863,501,"*",4.76832340328665,0,5.75559005150505,-4.70650638722681,0.000161709091488009,0.00620269872350433,"Promoter (<=1kb)",7,4775615,4791714,16100,1,"9907","ENST00000647984.1",0,"ENSG00000242802","AP5Z1","adaptor related protein complex 5 subunit zeta 1","Promoter (<=1 kb)","AP5Z1","9907"
"chr4",127781947,127782447,501,"*",4.79731762453093,0,5.77225093966402,-4.03409083086368,0.000170327979831955,0.00645643236492422,"Promoter (<=1kb)",4,127782322,127820469,38148,1,"22824","ENST00000508549.5",0,"ENSG00000164070","HSPA4L","heat shock protein family A (Hsp70) member 4 like","Promoter (<=1 kb)","HSPA4L","22824"
