gene_id,Gene,chr,start,end,strand
ENSG00000275714.3,H3C1,chr6,26020450,26021487,+
ENSG00000168672.6,LRATD2,chr8,126552438,126558484,-
ENSG00000270170.2,NCBP2AS2,chr3,196942673,196943543,+
ENSG00000184924.8,PTRHD1,chr2,24788910,24793395,-
ENSG00000187080.10,OR2AK2,chr1,247965232,247966386,+
ENSG00000171863.17,RPS7,chr2,3575197,3580952,+
ENSG00000275126.2,H4C13,chr6,27873147,27873534,-
ENSG00000115738.12,ID2,chr2,8678844,8684461,+
ENSG00000187837.5,H1-2,chr6,26054759,26056470,-
ENSG00000186803.3,IFNA10,chr9,21206180,21207143,-
ENSG00000114503.12,NCBP2,chr3,196935401,196942594,-
ENSG00000274641.2,H2BC17,chr6,27893424,27893891,+
ENSG00000167700.11,SLC33A2,chr8,144508262,144511317,+
ENSG00000147955.20,SIGMAR1,chr9,34631715,34637844,-
ENSG00000164032.14,H2AZ1,chr4,99948050,99950540,-
ENSG00000170122.6,FOXD4,chr9,116230,118417,-
ENSG00000106004.6,HOXA5,chr7,27141051,27143719,-
ENSG00000203877.9,RIPPLY2,chr6,83853359,83857515,+
ENSG00000166508.21,MCM7,chr7,100092232,100101940,-
ENSG00000221821.4,PEX39,chr6,42890264,42890821,-
ENSG00000235631.2,RNF148,chr7,122701667,122702922,-
ENSG00000136710.12,VMA22,chr2,130337921,130342699,-
ENSG00000176714.12,CCDC121,chr2,27625534,27629018,-
ENSG00000291315.1,ENSG00000291315,chr3,40312085,40312214,+
ENSG00000183513.11,COA5,chr2,98598241,98608542,-
ENSG00000115486.15,GGCX,chr2,85544719,85561838,-
ENSG00000221869.6,CEBPD,chr8,47735633,47738164,-
ENSG00000181867.3,FTMT,chr5,121851881,121852833,+
ENSG00000213347.13,MXD3,chr5,177301460,177312757,-
ENSG00000169564.7,PCBP1,chr2,70087476,70089203,+
ENSG00000106367.17,AP1S1,chr7,101154351,101161596,+
ENSG00000288699.1,ENSG00000288699,chr9,35065338,35074175,-
ENSG00000162244.14,RPL29,chr3,51993521,51996021,-
ENSG00000204628.14,RACK1,chr5,181235390,181248096,-
ENSG00000135637.17,CCDC142,chr2,74471956,74483408,-
ENSG00000282988.2,ENSG00000282988,chr6,26195594,26199293,-
ENSG00000143947.17,RPS27A,chr2,55229446,55236649,+
ENSG00000184357.5,H1-5,chr6,27866791,27867588,-
ENSG00000214253.11,FIS1,chr7,101239457,101252321,-
ENSG00000117308.17,GALE,chr1,23795598,23800804,-
ENSG00000168913.9,ENHO,chr9,34521042,34523174,-
ENSG00000137098.16,SPAG8,chr9,35808044,35812272,-
ENSG00000106245.13,BUD31,chr7,99408609,99419618,+
ENSG00000170584.14,NUDCD2,chr5,163446525,163460404,-
ENSG00000115875.21,SRSF7,chr2,38743598,38751498,-
ENSG00000168090.12,COPS6,chr7,100088947,100095185,+
ENSG00000237621.4,OR9A1P,chr7,141887147,141888092,+
ENSG00000115211.19,EIF2B4,chr2,27363419,27370466,-
ENSG00000275221.3,H2AC15,chr6,27835507,27838375,-
ENSG00000166997.10,CNPY4,chr7,100119613,100125511,+
ENSG00000176402.6,GJC3,chr7,99923265,99929620,-
ENSG00000284042.1,TAF11L6,chr5,17528668,17529265,+
ENSG00000284283.1,TAF11L4,chr5,17521800,17522397,+
ENSG00000115275.16,MOGS,chr2,74461056,74465415,-
ENSG00000143878.10,RHOB,chr2,20447073,20449440,+
ENSG00000172023.10,REG1B,chr2,79085022,79088019,-
ENSG00000203852.4,H3C15,chr1,149852607,149853125,+
ENSG00000157778.11,PSMG3,chr7,1567331,1571078,-
ENSG00000138085.20,ATRAID,chr2,27212011,27217178,+
ENSG00000276368.2,H2AC14,chr6,27814301,27814777,-
ENSG00000117410.16,ATP6V0B,chr1,43974486,43978299,+
ENSG00000146007.13,ZMAT2,chr5,140698679,140707729,+
ENSG00000179774.9,ATOH7,chr10,68230594,68232113,-
ENSG00000105991.11,HOXA1,chr7,27092992,27096039,-
ENSG00000112306.10,RPS12,chr6,132814541,132825144,+
ENSG00000283988.1,TAF11L9,chr5,17593797,17594394,-
ENSG00000221886.6,FAM200C,chr5,160392276,160400091,-
ENSG00000267368.3,UPK3BL1,chr7,102637023,102642980,-
ENSG00000138073.16,PREB,chr2,27129152,27134689,-
ENSG00000115307.19,AUP1,chr2,74526635,74529966,-
ENSG00000273542.3,H4C12,chr6,27830917,27831560,-
ENSG00000136718.12,IMP4,chr2,130342402,130348550,+
ENSG00000289760.1,ENSG00000289760,chr7,100478098,100478170,-
ENSG00000117407.19,ARTN,chr1,43933271,43937244,+
ENSG00000169976.7,SF3B5,chr6,144094883,144095573,-
ENSG00000196659.10,IFT70B,chr2,177548997,177552796,-
ENSG00000034510.8,TMSB10,chr2,84904922,84906680,+
ENSG00000197451.14,HNRNPAB,chr5,178204478,178216389,+
ENSG00000136271.13,DDX56,chr7,44565415,44575388,-
ENSG00000169241.21,SLC50A1,chr1,155135343,155138857,+
ENSG00000159377.13,PSMB4,chr1,151399555,151401941,+
ENSG00000145632.17,PLK2,chr5,58453090,58460139,-
ENSG00000131188.14,PRR7,chr5,177446444,177456291,+
ENSG00000213439.3,OR5AC1,chr3,98064471,98065396,+
ENSG00000174173.8,TRMT10C,chr3,101561833,101566446,+
ENSG00000180644.10,PRF1,chr10,70596400,70602788,-
ENSG00000169972.15,PUSL1,chr1,1308546,1311679,+
ENSG00000134107.7,BHLHE40,chr3,4978714,4985323,+
ENSG00000106330.14,MOSPD3,chr7,100612101,100616004,+
ENSG00000163464.9,CXCR1,chr2,218162840,218166969,-
ENSG00000147896.4,IFNK,chr9,27524289,27526498,+
ENSG00000242950.7,ERVW-1,chr7,92468379,92477986,-
ENSG00000132773.14,TOE1,chr1,45339937,45345623,+
ENSG00000136918.10,WDR38,chr9,124853265,124859596,+
ENSG00000137135.20,ARHGEF39,chr9,35658873,35675866,-
ENSG00000135175.6,OCM2,chr7,97984686,97991169,-
ENSG00000115325.16,DOK1,chr2,74548874,74557554,+
ENSG00000224051.9,CPTP,chr1,1324755,1328897,+
ENSG00000278889.4,OR2S2,chr9,35957107,35958154,-
ENSG00000178149.19,DALRD3,chr3,49015473,49022293,-
ENSG00000164611.15,PTTG1,chr5,160421800,160428748,+
ENSG00000144021.5,CIAO1,chr2,96266158,96274173,+
ENSG00000107185.12,RGP1,chr9,35748612,35759600,+
ENSG00000185972.7,CCIN,chr9,36165750,36172384,+
ENSG00000147669.13,POLR2K,chr8,100150609,100154005,+
ENSG00000120329.7,SLC25A2,chr5,141302634,141304049,-
ENSG00000113328.23,CCNG1,chr5,163437568,163457635,+
ENSG00000183891.8,TTC32,chr2,19896630,19902282,-
ENSG00000113272.16,THG1L,chr5,157731401,157741449,+
ENSG00000228049.9,POLR2J2,chr7,102665367,102671752,-
ENSG00000226479.4,TMEM185B,chr2,120217478,120223400,-
ENSG00000175793.12,SFN,chr1,26863148,26864456,+
ENSG00000172336.7,POP7,chr7,100695901,100708628,+
ENSG00000154518.12,ATP5MC3,chr2,175172967,175181764,-
ENSG00000115289.16,PCGF1,chr2,74505040,74508361,-
ENSG00000113119.15,TMCO6,chr5,140639395,140647730,+
ENSG00000284308.3,C2orf81,chr2,74414175,74421655,-
ENSG00000165283.18,STOML2,chr9,35099468,35103195,-
ENSG00000011009.14,LYPLA2,chr1,23791109,23795545,+
ENSG00000117399.16,CDC20,chr1,43358906,43363212,+
ENSG00000181904.11,C5orf24,chr5,134845679,134859735,+
ENSG00000175756.16,AURKAIP1,chr1,1373709,1375521,-
ENSG00000172354.12,GNB2,chr7,100673476,100679174,+
ENSG00000134222.18,PSRC1,chr1,109279052,109284107,-
ENSG00000131495.10,NDUFA2,chr5,140638739,140647823,-
ENSG00000188186.12,LAMTOR4,chr7,100148887,100155945,+
ENSG00000273802.4,H2BC8,chr6,26214569,26217252,-
ENSG00000277775.2,H3C7,chr6,26250141,26250635,-
ENSG00000144362.14,PHOSPHO2,chr2,169694434,169704808,+
ENSG00000163840.11,DTX3L,chr3,122564227,122575203,+
ENSG00000168209.8,DDIT4,chr10,72273918,72276039,+
ENSG00000135973.3,GPR45,chr2,105241742,105243467,+
ENSG00000244234.3,GMCL2,chr5,178184504,178187371,-
ENSG00000152518.10,ZFP36L2,chr2,43221824,43226612,-
ENSG00000158604.18,TMED4,chr7,44576391,44582309,-
ENSG00000221838.14,AP4M1,chr7,100100840,100110345,+
ENSG00000070610.16,GBA2,chr9,35734576,35749986,-
ENSG00000127184.15,COX7C,chr5,86617883,86621645,+
ENSG00000116586.14,LAMTOR2,chr1,156053915,156058817,+
ENSG00000188542.11,DUSP28,chr2,240560053,240565256,+
ENSG00000188290.13,HES4,chr1,998961,1000825,-
ENSG00000197956.12,S100A6,chr1,153532725,153536549,-
ENSG00000152795.20,HNRNPDL,chr4,82422564,82430494,-
ENSG00000143543.17,JTB,chr1,153974268,153978011,-
ENSG00000116741.9,RGS2,chr1,192809037,192812283,+
ENSG00000175768.15,TOMM5,chr9,37582645,37592619,-
ENSG00000125611.17,CHCHD5,chr2,112584239,112589275,+
ENSG00000157593.21,SLC35B2,chr6,44253871,44257890,-
ENSG00000198467.18,TPM2,chr9,35681991,35691116,-
ENSG00000165655.18,ZNF503,chr10,75397829,75402399,-
ENSG00000286053.3,ASDURF,chr2,189661384,189666437,+
ENSG00000173334.5,TRIB1,chr8,125430151,125438957,+
ENSG00000164266.12,SPINK1,chr5,147824571,147831679,-
ENSG00000048162.24,NOP16,chr5,176383932,176389007,-
ENSG00000178035.15,IMPDH2,chr3,49024314,49029452,-
ENSG00000068028.20,RASSF1,chr3,50329781,50340980,-
ENSG00000178252.21,WDR6,chr3,49007061,49015953,+
ENSG00000144120.15,TMEM177,chr2,119679136,119690407,+
ENSG00000168582.5,CRYGA,chr2,208160739,208163589,-
ENSG00000114391.16,RPL24,chr3,101677659,101686825,-
ENSG00000284356.1,TAF11L10,chr5,17597231,17597828,-
ENSG00000171314.11,PGAM1,chr10,97426104,97433444,+
ENSG00000115274.16,INO80B,chr2,74455077,74457958,+
ENSG00000163584.20,RPL22L1,chr3,170864874,170870475,-
ENSG00000230301.6,OR5H6,chr3,98263251,98265356,+
ENSG00000176410.8,DNAJC30,chr7,73680917,73683453,-
ENSG00000175879.10,HOXD8,chr2,176129327,176132695,+
ENSG00000106077.21,ABHD11,chr7,73736090,73738864,-
ENSG00000116560.13,SFPQ,chr1,35176377,35193446,-
ENSG00000221829.13,FANCG,chr9,35073792,35082444,-
ENSG00000187678.12,SPRY4,chr5,142310419,142326455,-
ENSG00000106400.14,ZNHIT1,chr7,101218116,101224195,+
ENSG00000075618.20,FSCN1,chr7,5592805,5606656,+
ENSG00000183718.8,TRIM52,chr5,181254076,181262068,-
ENSG00000170144.25,HNRNPA3,chr2,177212586,177226106,+
ENSG00000160050.18,CCDC28B,chr1,32200382,32205453,+
ENSG00000184709.8,LRRC26,chr9,137168757,137170058,-
ENSG00000065518.10,NDUFB4,chr3,120596272,120602507,+
ENSG00000164609.12,SLU7,chr5,160400534,160421711,-
ENSG00000240344.12,PPIL3,chr2,200870906,200889358,-
ENSG00000146618.3,FERD3L,chr7,19144781,19145421,-
ENSG00000168890.16,TMEM150A,chr2,85598546,85603201,-
ENSG00000115282.23,TTC31,chr2,74482616,74496915,+
ENSG00000113583.10,C5orf15,chr5,133955497,133968674,-
ENSG00000289761.1,ENSG00000289761,chr4,41143021,41143099,-
ENSG00000164898.14,FMC1,chr7,139339456,139347031,+
ENSG00000127951.9,FGL2,chr7,77193181,77199884,-
ENSG00000174038.13,SPATA31G1,chr9,35041094,35045986,+
ENSG00000197153.5,H3C12,chr6,27890314,27893106,-
ENSG00000286165.1,ENSG00000286165,chr2,189661518,189667881,+
ENSG00000189266.15,PNRC2,chr1,23956838,23963776,+
ENSG00000181965.6,NEUROG1,chr5,135534281,135535964,-
ENSG00000253251.5,SHLD3,chr5,65624732,65631064,+
ENSG00000163352.6,LENEP,chr1,154993585,154994315,+
ENSG00000164400.7,CSF2,chr5,132073783,132076170,+
ENSG00000180667.11,YOD1,chr1,207043848,207052980,-
ENSG00000164404.10,GDF9,chr5,132861180,132866884,-
ENSG00000147869.6,CER1,chr9,14717326,14722740,-
ENSG00000174748.24,RPL15,chr3,23916590,23924374,+
ENSG00000165282.18,PIGO,chr9,35085491,35096632,-
ENSG00000143977.16,SNRPG,chr2,70281203,70293766,-
ENSG00000167011.10,NAT16,chr7,101170495,101180301,-
ENSG00000188763.5,FZD9,chr7,73433777,73436120,+
ENSG00000006377.11,DLX6,chr7,97005552,97011040,+
ENSG00000284976.2,ENSG00000284976,chr9,137217493,137219361,+
ENSG00000223601.5,EBLN1,chr10,22208474,22218018,-
ENSG00000180228.16,PRKRA,chr2,178431291,178451512,-
ENSG00000178096.11,BOLA1,chr1,149886405,149900798,+
ENSG00000276180.3,H4C9,chr6,27139281,27140640,+
ENSG00000005238.22,ATOSB,chr9,35104111,35116357,-
ENSG00000188379.7,IFNA2,chr9,21384254,21385398,-
ENSG00000284635.2,SCYGR8,chr2,227745893,227746220,+
ENSG00000145040.4,UCN2,chr3,48561717,48563781,-
ENSG00000173349.6,SFT2D3,chr2,127701496,127705242,+
ENSG00000215375.9,MYL5,chr4,673518,682033,+
ENSG00000146006.9,LRRTM2,chr5,138868920,138875383,-
ENSG00000278828.2,H3C10,chr6,27810050,27811300,+
ENSG00000062582.16,MRPS24,chr7,43866555,43869893,-
ENSG00000172215.8,CXCR6,chr3,45940914,45948640,+
ENSG00000114993.18,RTKN,chr2,74424130,74442422,-
ENSG00000119760.18,SUPT7L,chr2,27642567,27663847,-
ENSG00000203667.12,COX20,chr1,244835300,244845480,+
ENSG00000114902.16,SPCS1,chr3,52704954,52711148,+
ENSG00000160691.21,SHC1,chr1,154962283,154974452,-
ENSG00000164296.9,TIGD6,chr5,149992251,150001160,-
ENSG00000115541.13,HSPE1,chr2,197500109,197513408,+
ENSG00000241468.10,ATP5MF,chr7,99448474,99466201,-
ENSG00000106244.15,PDAP1,chr7,99392047,99408831,-
ENSG00000131931.10,THAP1,chr8,42836248,42843364,-
ENSG00000174007.11,CEP19,chr3,196706267,196712603,-
ENSG00000163481.10,RNF25,chr2,218662080,218672009,-
ENSG00000164403.17,SHROOM1,chr5,132821270,132830924,-
ENSG00000145879.12,SPINK7,chr5,148312418,148315924,+
ENSG00000155100.13,OTUD6B,chr8,91070195,91087095,+
ENSG00000013441.19,CLK1,chr2,200853008,200864728,-
ENSG00000176087.18,SLC35A4,chr5,140564439,140569215,+
ENSG00000293600.3,ENSG00000293600,chr5,140564439,140569215,+
ENSG00000179528.17,LBX2,chr2,74497454,74503316,-
ENSG00000168894.12,RNF181,chr2,85595619,85598589,+
ENSG00000228672.4,PROB1,chr5,139390591,139395104,-
ENSG00000157992.14,KRTCAP3,chr2,27442336,27446486,+
ENSG00000119801.16,YPEL5,chr2,30146554,30160538,+
ENSG00000186364.14,NUDT17,chr1,145845602,145848954,+
ENSG00000217236.3,SP9,chr2,174334947,174338707,+
ENSG00000122678.19,POLM,chr7,44070914,44082985,-
ENSG00000289549.1,PPIAL4D,chr1,145241414,145242174,-
ENSG00000180535.6,BHLHA15,chr7,98211431,98215457,+
ENSG00000182180.16,MRPS16,chr10,73248759,73252693,-
ENSG00000156976.19,EIF4A2,chr3,186783204,186789901,+
ENSG00000035141.12,FAM136A,chr2,70295974,70302086,-
ENSG00000086061.18,DNAJA1,chr9,33025202,33041858,+
ENSG00000274049.4,INO80B-WBP1,chr2,74455087,74460884,+
ENSG00000187961.17,KLHL17,chr1,960554,965721,+
ENSG00000205442.13,IZUMO3,chr9,24542951,24545946,-
ENSG00000173250.3,GPR151,chr5,146513143,146516190,-
ENSG00000106006.7,HOXA6,chr7,27144102,27150603,-
ENSG00000122406.16,RPL5,chr1,92831989,92841924,+
ENSG00000113525.12,IL5,chr5,132541443,132556838,-
ENSG00000074582.17,BCS1L,chr2,218658763,218668759,+
ENSG00000006625.20,GGCT,chr7,30496615,30504866,-
ENSG00000119335.20,SET,chr9,128683423,128696400,+
ENSG00000213563.8,C8orf82,chr8,144525732,144529132,-
ENSG00000137078.12,SIT1,chr9,35649287,35650970,-
ENSG00000203811.2,H3C14,chr1,149840686,149841208,-
ENSG00000197982.15,C1orf122,chr1,37806978,37809886,+
ENSG00000205808.7,PLPP6,chr9,4662293,4665258,+
ENSG00000187791.14,SPATA31F3,chr9,34889061,34895797,-
ENSG00000286143.1,ENSG00000286143,chr2,219491866,219498244,+
ENSG00000144136.13,SLC20A1,chr2,112645852,112664727,+
ENSG00000137094.17,DNAJB5,chr9,34989640,34999403,+
ENSG00000115128.9,SF3B6,chr2,24066653,24076476,-
ENSG00000082153.20,BZW1,chr2,200810593,200827921,+
ENSG00000106268.18,NUDT1,chr7,2242202,2251824,+
ENSG00000186150.5,UBL4B,chr1,110112442,110113947,+
ENSG00000186367.7,MINAR2,chr5,129748093,129766732,+
ENSG00000160917.17,CPSF4,chr7,99438907,99458910,+
ENSG00000127993.17,RBM48,chr7,92528769,92540481,+
ENSG00000147883.14,CDKN2B,chr9,22002899,22009325,-
ENSG00000106384.14,MOGAT3,chr7,101195006,101201088,-
ENSG00000157259.9,GATAD1,chr7,92447447,92460075,+
ENSG00000184434.10,LRRC19,chr9,26993135,27005709,-
ENSG00000232113.3,TEX50,chr1,173635337,173637130,+
ENSG00000120235.5,IFNA6,chr9,21350252,21350956,-
ENSG00000135617.6,PRADC1,chr2,73228007,73233262,-
ENSG00000143942.7,CHAC2,chr2,53767790,53776958,+
ENSG00000146826.19,TRAPPC14,chr7,100154419,100158737,-
ENSG00000198715.15,GLMP,chr1,156290087,156295699,-
ENSG00000137185.15,ZSCAN9,chr6,28224885,28233487,+
ENSG00000142864.17,SERBP1,chr1,67406388,67430418,-
ENSG00000198522.16,GPN1,chr2,27628246,27652152,+
ENSG00000116096.9,SPR,chr2,72887373,72892158,+
ENSG00000004799.10,PDK4,chr7,95583496,95597638,-
ENSG00000107018.8,RLN1,chr9,5334929,5339876,-
ENSG00000053372.7,MRTO4,chr1,19251554,19260128,+
ENSG00000165644.13,COMTD1,chr10,75230308,75236088,-
ENSG00000143971.11,ETAA1,chr2,67397314,67412120,+
ENSG00000158552.15,ZFAND2B,chr2,219195236,219209651,+
ENSG00000169894.20,MUC3A,chr7,100949413,100968348,+
ENSG00000077454.19,LRCH4,chr7,100574010,100586236,-
ENSG00000189043.12,COXFA4,chr7,10931117,10940531,-
ENSG00000156928.7,MALSU1,chr7,23298738,23311729,+
ENSG00000114491.16,UMPS,chr3,124730432,124749384,+
ENSG00000285645.1,ENSG00000285645,chr9,35812959,35828732,-
ENSG00000239779.9,WBP1,chr2,74458262,74461077,+
ENSG00000163170.14,BOLA3,chr2,74133332,74147977,-
ENSG00000186889.12,TMEM17,chr2,62500217,62511894,-
ENSG00000125629.18,INSIG2,chr2,118088136,118112313,+
ENSG00000165280.20,VCP,chr9,35053927,35072725,-
ENSG00000179674.4,ARL14,chr3,160677159,160678448,+
ENSG00000229894.5,GK3,chr4,165277806,165279704,-
ENSG00000204930.10,FAM221B,chr9,35816390,35828747,-
ENSG00000143314.14,MRPL24,chr1,156737291,156741590,-
ENSG00000155366.19,RHOC,chr1,112699764,112707897,-
ENSG00000284981.3,UPK3BL2,chr7,102537918,102543759,-
ENSG00000115758.16,ODC1,chr2,10435416,10450116,-
ENSG00000115317.15,HTRA2,chr2,74529273,74533966,+
ENSG00000203724.13,C1orf53,chr1,197902448,197907492,+
ENSG00000197938.6,OR5H2,chr3,98282504,98284070,+
ENSG00000087087.22,SRRT,chr7,100875064,100888664,+
ENSG00000198830.15,HMGN2,chr1,26471494,26487537,+
ENSG00000107984.11,DKK1,chr10,52314273,52318042,+
ENSG00000121716.22,PILRB,chr7,100351626,100367831,+
ENSG00000278637.3,H4C1,chr6,26021648,26022847,+
ENSG00000176022.7,B3GALT6,chr1,1232236,1235041,+
ENSG00000136694.9,IL36A,chr2,113005458,113008044,+
ENSG00000260097.3,SPDYE6,chr7,102345745,102356444,-
ENSG00000169252.6,ADRB2,chr5,148826610,148828623,+
ENSG00000126524.14,SBDS,chr7,66987678,66995693,-
ENSG00000138379.6,MSTN,chr2,190055699,190062740,-
ENSG00000205307.13,SAP25,chr7,100572227,100573916,-
ENSG00000175309.18,PHYKPL,chr5,178207126,178233208,-
ENSG00000186130.7,ZBTB6,chr9,122908052,122913333,-
ENSG00000168564.8,CDKN2AIP,chr4,183444627,183452995,+
ENSG00000214558.5,ZC3H11C,chr6,65301475,65306574,+
ENSG00000138382.17,METTL5,chr2,169810080,169824931,-
ENSG00000189280.5,GJB5,chr1,34755012,34758512,+
ENSG00000156006.7,NAT2,chr8,18391246,18401220,+
ENSG00000078487.20,ZCWPW1,chr7,100400825,100428992,-
ENSG00000293562.1,ENSG00000293562,chr1,174022121,174022298,-
ENSG00000163521.18,GLB1L,chr2,219236597,219245478,-
ENSG00000268799.4,H3Y2,chr5,17490966,17492076,-
ENSG00000168131.4,OR2B2,chr6,27911184,27912396,-
ENSG00000177733.8,HNRNPA0,chr5,137745650,137754363,-
ENSG00000163882.12,POLR2H,chr3,184360855,184368596,+
ENSG00000197591.3,OR11L1,chr1,247840927,247841896,-
ENSG00000275713.3,H2BC9,chr6,26251613,26252075,+
ENSG00000117601.17,SERPINC1,chr1,173903413,173917543,-
ENSG00000172209.8,GPR22,chr7,107470017,107478011,+
ENSG00000155438.14,NIFK,chr2,121724714,121737120,-
ENSG00000146676.10,PURB,chr7,44876298,44885530,-
ENSG00000130305.19,NSUN5,chr7,73302515,73308867,-
ENSG00000115234.13,SNX17,chr2,27370495,27377535,+
ENSG00000138030.16,KHK,chr2,27086722,27100777,+
ENSG00000115523.19,GNLY,chr2,85685174,85698854,+
ENSG00000121966.8,CXCR4,chr2,136114348,136119177,-
ENSG00000171133.4,OR2K2,chr9,111327228,111330224,-
ENSG00000168887.13,C2orf68,chr2,85605253,85612066,-
ENSG00000198925.14,ATG9A,chr2,219219379,219230383,-
ENSG00000136942.17,RPL35,chr9,124857872,124862017,-
ENSG00000205186.4,FABP9,chr8,81458252,81461579,-
ENSG00000113083.17,LOX,chr5,122063150,122078634,-
ENSG00000096746.20,HNRNPH3,chr10,68331173,68344002,+
ENSG00000284820.1,ENSG00000284820,chr2,219209771,219222738,-
ENSG00000163793.14,DNAJC5G,chr2,27275429,27281499,+
ENSG00000164647.11,STEAP1,chr7,90154179,90164829,+
ENSG00000143570.21,SLC39A1,chr1,153959098,153968667,-
ENSG00000163516.16,ANKZF1,chr2,219229768,219236679,+
ENSG00000128694.14,OSGEPL1,chr2,189746414,189763230,-
ENSG00000163155.12,LYSMD1,chr1,151159747,151165948,-
ENSG00000143222.14,UFC1,chr1,161152775,161159368,+
ENSG00000113108.22,APBB3,chr5,140558267,140564781,-
ENSG00000109475.20,RPL34,chr4,108620507,108632886,+
ENSG00000130222.13,GADD45G,chr9,89604938,89609775,+
ENSG00000106031.9,HOXA13,chr7,27193502,27200091,-
ENSG00000136819.17,C9orf78,chr9,129827193,129835863,-
ENSG00000163608.17,RMP64,chr3,113001459,113019861,-
ENSG00000142686.9,C1orf216,chr1,35713874,35718894,-
ENSG00000170458.17,CD14,chr5,140630401,140633711,-
ENSG00000115657.16,ABCB6,chr2,219209764,219219012,-
ENSG00000197579.10,TOPORS,chr9,32540543,32552611,-
ENSG00000113013.18,HSPA9,chr5,138553755,138575675,-
ENSG00000163041.15,H3-3A,chr1,226061570,226073207,+
ENSG00000171865.12,RNASEH1,chr2,3541429,3558371,-
ENSG00000174255.8,ZNF80,chr3,114234630,114237578,-
ENSG00000120438.14,TCP1,chr6,159778497,159789707,-
ENSG00000214706.14,IFRD2,chr3,50286002,50292918,-
ENSG00000203760.11,CENPW,chr6,126340087,126349768,+
ENSG00000188846.15,RPL14,chr3,40457291,40468587,+
