"seqnames","start","end","width","strand","Conc","Conc_p53sh_MOF","Conc_Scr_MOF","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","annotation_category"
"chr10",90921079,90921579,501,"*",5.24194043967961,3.1818614762108,6.05767742144957,-2.09901439133506,0.000607960246074524,0.00872422953116942,"Promoter (<=1kb)",10,90912096,90921087,8992,2,"27063","ENST00000371697.4",0,"ENSG00000148677","ANKRD1","ankyrin repeat domain 1","Promoter (<=1 kb)"
"chr8",125655637,125656137,501,"*",8.56875010436513,7.81903435319453,9.05960697756655,-1.13057532854025,0.00109208135298102,0.0149251118240739,"Intron (ENST00000816149.1/105375746, intron 2 of 4)",8,125648327,125955592,307266,1,"105375746","ENST00000651999.1",7310,NA,"LINC02964","long intergenic non-protein coding RNA 2964","Other intron"
"chr2",65366536,65367036,501,"*",6.60175839951393,5.43562746726671,7.2381024651692,-1.49149559410169,0.00166942138553738,0.0199634974020511,"Promoter (<=1kb)",2,65312993,65366650,53658,2,"200734","ENST00000443619.6",0,"ENSG00000198369","SPRED2","sprouty related EVH1 domain containing 2","Promoter (<=1 kb)"
"chr14",61695035,61695535,501,"*",6.36687044646834,4.9570875298769,7.06609484591783,-1.64972979924387,0.00192182830286475,0.0220625889168873,"Promoter (<=1kb)",14,61695513,61721824,26312,1,"3091","ENST00000557446.5",0,"ENSG00000100644","HIF1A","hypoxia inducible factor 1 subunit alpha","Promoter (<=1 kb)"
"chr13",110485409,110485909,501,"*",5.39034248907263,3.69094336952266,6.14914510915867,-1.78370555598548,0.00254263576194895,0.0270272764325684,"3' UTR",13,110477948,110484107,6160,1,"1284","ENST00000483683.2",7461,"ENSG00000134871","COL4A2","collagen type IV alpha 2 chain","3' UTR"
"chr2",219279041,219279541,501,"*",6.21328825559987,5.02051164269912,6.857181273014,-1.47566704417919,0.00335214063197894,0.0335452276374014,"Promoter (<=1kb)",2,219279342,219284696,5355,1,"3300","ENST00000425450.5",0,"ENSG00000135924","DNAJB2","DnaJ heat shock protein family (Hsp40) member B2","Promoter (<=1 kb)"
"chr22",46035720,46036220,501,"*",6.08034470384485,4.72937994108867,6.7655853717257,-1.56824918627662,0.00357428970176285,0.0335452276374014,"Promoter (<=1kb)",22,46036104,46041092,4989,1,"124905136","ENST00000794652.1",0,NA,"LOC124905136","uncharacterized LOC124905136","Promoter (<=1 kb)"
"chr9",35111415,35111915,501,"*",6.2834570739371,4.90776330435706,6.97466304903593,-1.58200003802184,0.00363750416900473,0.0335452276374014,"Promoter (<=1kb)",9,35104121,35111588,7468,2,"80256","ENST00000603301.5",0,"ENSG00000005238","ATOSB","atos homolog B","Promoter (<=1 kb)"
"chr2",111705755,111706255,501,"*",6.80912910163785,5.97329212031461,7.33493949708163,-1.18618038914117,0.00374023444040713,0.0335452276374014,"Exon (ENST00000846965.1/ENST00000846965.1, exon 1 of 1)",2,111429324,111699033,269710,2,"541471","ENST00000644013.1",-6722,"ENSG00000172965","MIR4435-2HG","MIR4435-2 host gene","Other exon"
"chr21",7945318,7945818,501,"*",3.01858768558148,0,4.01858768558148,-2.22972398872206,0.0040529616829363,0.0352484849394763,"Distal Intergenic",21,7816677,7829632,12956,2,"102723475","ENST00000618699.3",-115686,"ENSG00000276289","LOC102723475","potassium voltage-gated channel subfamily E regulatory subunit 1B","Distal intergenic"
"chr17",76737281,76737781,501,"*",5.0734789786651,3.43559927065263,5.82079902179179,-1.68455965703978,0.00505159947549326,0.0426414426313696,"Promoter (<=1kb)",17,76734115,76737331,3217,2,"6427","ENST00000358156.7",0,"ENSG00000161547","SRSF2","serine and arginine rich splicing factor 2","Promoter (<=1 kb)"
"chr1",1289851,1290351,501,"*",3.019441473996,0,4.019441473996,-1.81845480385081,0.00924231180065871,0.0716903645078122,"Promoter (2-3kb)",1,1287109,1290943,3835,1,"6339","ENST00000379099.3",2742,"ENSG00000162572","SCNN1D","sodium channel epithelial 1 subunit delta","Promoter (2-3 kb)"
"chr2",236078287,236078787,501,"*",5.16618154355774,3.80334014078894,5.8543030214501,-1.48559194339852,0.00952520621577677,0.0719403732612614,"Intron (ENST00000304032.13/116987, intron 16 of 17)",2,236045937,236125482,79546,1,"116987","ENST00000453371.2",32350,"ENSG00000157985","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1","Other intron"
"chr16",75305371,75305871,501,"*",5.167703084541,2.8735634267403,6.01257908601476,-1.74336808056362,0.0106787812234429,0.0785848772084133,"Promoter (<=1kb)",16,75293908,75305438,11531,2,"10428","ENST00000562602.1",0,"ENSG00000153774","CFDP1","craniofacial development protein 1","Promoter (<=1 kb)"
"chr15",89087786,89088286,501,"*",7.91499520637439,7.18881434783685,8.39577520955416,-1.04636105127462,0.0110487497689069,0.0792747795919073,"Promoter (<=1kb)",15,89087248,89088149,902,2,"124903573","ENST00000762231.1",0,NA,"LOC124903573","uncharacterized LOC124903573","Promoter (<=1 kb)"
"chr16",87407478,87407978,501,"*",5.50940268546352,4.06635188464284,6.2162304894197,-1.48608509549241,0.012580103763507,0.0852636376612188,"3' UTR",16,87415312,87417926,2615,2,"23174","ENST00000565193.1",9948,"ENSG00000140948","ZCCHC14","zinc finger CCHC-type containing 14","3' UTR"
"chr20",50165954,50166454,501,"*",6.75354772960709,5.94907010675877,7.26696837405871,-1.1075477741699,0.0130127280687841,0.0852636376612188,"Promoter (<=1kb)",20,50154414,50166089,11676,2,"101927512","ENST00000768754.1",0,"ENSG00000237595","LINC01275","long intergenic non-protein coding RNA 1275","Promoter (<=1 kb)"
"chr19",3655703,3656203,501,"*",6.52976552330677,5.69092762077289,7.05674200522658,-1.13848700715635,0.0130790930776427,0.0852636376612188,"Intron (ENST00000679885.1/23396, intron 6 of 18)",19,3644089,3649429,5341,2,"23396","ENST00000592530.1",-6274,"ENSG00000186111","PIP5K1C","phosphatidylinositol-4-phosphate 5-kinase type 1 gamma","Other intron"
"chr17",77140531,77141031,501,"*",5.43474785268994,4.0050850545893,6.13854168808557,-1.47446546064436,0.0133624432462314,0.0852636376612188,"Promoter (<=1kb)",17,77140736,77143642,2907,1,"6397","ENST00000588880.5",0,"ENSG00000129657","SEC14L1","SEC14 like lipid binding 1","Promoter (<=1 kb)"
"chr2",10497780,10498280,501,"*",6.87598677294969,6.0205429733249,7.40935547503148,-1.14664380765968,0.0134041942307235,0.0852636376612188,"Exon (ENST00000824336.1/ENST00000824336.1, exon 3 of 3)",2,10453798,10457693,3896,1,"101929715","ENST00000670859.1",43982,NA,"ODC1-DT","ODC1 divergent transcript","Other exon"
"chr2",121809615,121810115,501,"*",6.61542469744034,5.89079212718577,7.09553349669426,-1.03660178600289,0.0136659488934358,0.0852636376612188,"Exon (ENST00000661690.1/101927801, exon 5 of 5)",2,121803723,121809962,6240,1,"101927801","ENST00000803225.1",5892,"ENSG00000224655","LINC01823","long intergenic non-protein coding RNA 1823","Other exon"
"chr12",95103104,95103604,501,"*",5.42243665084422,3.72920613820681,6.18011390747229,-1.55382179207163,0.0142649960250203,0.0852927887329337,"Intron (ENST00000343958.9/55785, intron 14 of 20)",12,95081170,95091787,10618,2,"55785","ENST00000548069.5",-11317,"ENSG00000180263","FGD6","FYVE, RhoGEF and PH domain containing 6","Other intron"
"chr1",39398612,39399112,501,"*",6.83451513382803,6.13250920492605,7.30469596539784,-1.00950507526738,0.0159343025928562,0.0933294866153007,"Intron (ENST00000361689.7/23499, intron 53 of 93)",1,39409503,39428092,18590,1,"23499","ENST00000530275.3",-10391,"ENSG00000127603","MACF1","microtubule actin crosslinking factor 1","Other intron"
"chr18",20920994,20921494,501,"*",5.05046300936521,3.65126042683618,5.74722370122467,-1.41557067451049,0.0189592338995477,0.104982625827305,"Distal Intergenic",18,20953290,20954870,1581,2,"6093","ENST00000578051.1",33376,"ENSG00000067900","ROCK1","Rho associated coiled-coil containing protein kinase 1","Distal intergenic"
"chr10",132096168,132096668,501,"*",4.46955910412749,2.38814400017482,5.28817857463665,-1.54453397802778,0.0216403111252051,0.117088692692695,"Intron (ENST00000668452.1/282973, intron 1 of 23)",10,132104672,132107558,2887,1,"282973","ENST00000669241.1",-8004,"ENSG00000188385","JAKMIP3","Janus kinase and microtubule interacting protein 3","Other intron"
"chrX",37871891,37872391,501,"*",5.0640689672126,3.69078587428815,5.7546989857611,-1.38251707909055,0.0220306251059425,0.117088692692695,"Intron (ENST00000465127.1/7102, intron 3 of 8)",23,37888698,37896849,8152,1,"94122","ENST00000752476.1",-16307,"ENSG00000147041","SYTL5","synaptotagmin like 5","Other intron"
"chr6",26103610,26104110,501,"*",5.92684931446476,4.9243362288539,6.51264853852121,-1.2059487845204,0.0230359454719324,0.118164742400503,"Promoter (<=1kb)",6,26103933,26104337,405,1,"8364","ENST00000377803.4",0,"ENSG00000197061","H4C3","H4 clustered histone 3","Promoter (<=1 kb)"
"chr2",203014390,203014890,501,"*",6.5570286339704,5.67125962118349,7.10181176165414,-1.13235598867814,0.0230565351025372,0.118164742400503,"Promoter (<=1kb)",2,202899557,203014798,115242,2,"55759","ENST00000477723.1",0,"ENSG00000138442","WDR12","WD repeat domain 12","Promoter (<=1 kb)"
"chr19",17305300,17305800,501,"*",8.90253526013336,8.34097808035082,9.30572614939954,-0.855333461915743,0.0238880300110632,0.118452397515726,"Promoter (<=1kb)",19,17305872,17306782,911,1,"64981","ENST00000602206.1",-72,"ENSG00000130312","MRPL34","mitochondrial ribosomal protein L34","Promoter (<=1 kb)"
"chr6",27139223,27139723,501,"*",5.52117918210205,4.31440377900468,6.16896718769275,-1.30579133255561,0.0243145367596164,0.118452397515726,"Promoter (<=1kb)",6,27139282,27139678,397,1,"8294","ENST00000615353.2",0,"ENSG00000276180","H4C9","H4 clustered histone 9","Promoter (<=1 kb)"
"chr7",44039021,44039521,501,"*",6.20092478148752,5.26269670864966,6.76469456767629,-1.16500520528705,0.0243508413011423,0.118452397515726,"Promoter (<=1kb)",7,44039049,44044370,5322,1,"255031","ENST00000737544.1",0,"ENSG00000235314","LINC00957","long intergenic non-protein coding RNA 957","Promoter (<=1 kb)"
"chr15",17008965,17009465,501,"*",3.65256970217554,0.803155597170885,4.54883959646779,-1.52813299162328,0.0262672425757524,0.125644976987349,"Distal Intergenic",15,20012741,20014208,1468,1,"105379202","ENST00000611556.1",-3003276,NA,"FAM30B","family with sequence similarity 30 member B","Distal intergenic"
"chr17",26937356,26937856,501,"*",3.59168231617231,0.803155597170885,4.48330855982427,-1.51124792507051,0.0275955924777362,0.129835000673939,"Distal Intergenic",17,26997724,26999949,2226,2,"124903955","ENST00000580280.2",62093,NA,"LOC124903955","uncharacterized LOC124903955","Distal intergenic"
"chrX",150200864,150201364,501,"*",5.91614310178642,5.12528183269337,6.4240656507694,-1.04565213520528,0.0307573333436777,0.139024972836872,"Intron (ENST00000449111.5/100272228, intron 11 of 14)",23,150228004,150228083,80,1,"100313839","ENST00000516645.3",-26640,"ENSG00000252454","MIR2114","microRNA 2114","Other intron"
"chr20",35305618,35306118,501,"*",6.55447947297838,5.54741817290748,7.14178808084561,-1.1788888312449,0.0310020845350517,0.139024972836872,"Promoter (<=1kb)",20,35303454,35307055,3602,2,"55245","ENST00000496812.5",937,"ENSG00000101019","UQCC1","ubiquinol-cytochrome c reductase complex assembly factor 1","Promoter (<=1 kb)"
"chr1",42963436,42963936,501,"*",5.67367148172152,4.67116914997432,6.25946712945251,-1.17195587922808,0.0326451508579261,0.143519179950568,"Intron (ENST00000755359.1/440584, intron 1 of 3)",1,42959519,42983357,23839,1,"440584","ENST00000755358.1",3917,"ENSG00000227533","SLC2A1-DT","SLC2A1 divergent transcript","Other intron"
"chr15",79178967,79179467,501,"*",6.62784722274991,5.69086987388616,7.19117516405091,-1.13090113125685,0.0336590437922329,0.143519179950568,"Intron (ENST00000685737.2/729911, intron 1 of 1)",15,79143284,79158228,14945,2,"107984750","ENST00000773180.1",-20739,NA,"LOC107984750","uncharacterized LOC107984750","Other intron"
"chr7",44606219,44606719,501,"*",6.70634569585863,6.10350217134705,7.13024128019168,-0.884506537419493,0.0338785256341978,0.143519179950568,"Promoter (<=1kb)",7,44606572,44708230,101659,1,"4967","ENST00000439616.6",0,"ENSG00000105953","OGDH","oxoglutarate dehydrogenase","Promoter (<=1 kb)"
"chr12",50247140,50247640,501,"*",7.44482571253529,6.49817979676735,8.01155584395539,-1.13648256575718,0.0340045443785317,0.143519179950568,"Promoter (2-3kb)",12,50222318,50249893,27576,2,"51474","ENST00000550592.1",2253,"ENSG00000050405","LIMA1","LIM domain and actin binding 1","Promoter (2-3 kb)"
"chr1",42967011,42967511,501,"*",6.50677440036014,5.88232073342696,6.94115936913742,-0.90130988262378,0.035448438958105,0.146999074077904,"Intron (ENST00000755359.1/440584, intron 2 of 3)",1,42959519,42983357,23839,1,"440584","ENST00000755358.1",7492,"ENSG00000227533","SLC2A1-DT","SLC2A1 divergent transcript","Other intron"
"chr11",65919116,65919616,501,"*",5.16865118374152,4.03594035003551,5.79526975625316,-1.21990070259464,0.0358534327019278,0.146999074077904,"Promoter (<=1kb)",11,65919274,65921401,2128,1,"10589","ENST00000525501.5",0,"ENSG00000175550","DRAP1","DR1 associated protein 1","Promoter (<=1 kb)"
"chr1",154431454,154431954,501,"*",6.3321654295688,5.30155086972494,6.92719009855857,-1.16524615061532,0.0381662334565436,0.154277591577859,"Promoter (2-3kb)",1,154429343,154449979,20637,1,"3570","ENST00000476006.5",2111,"ENSG00000160712","IL6R","interleukin 6 receptor","Promoter (2-3 kb)"
"chr20",58307010,58307510,501,"*",4.65521525415013,3.43557420653302,5.30654066451874,-1.23566037990762,0.0402887428069528,0.158395468295828,"Promoter (1-2kb)",20,58228934,58309416,80483,2,"55370","ENST00000780236.1",1906,NA,"PPP4R1L","protein phosphatase 4 regulatory subunit 1 like (pseudogene)","Promoter (1-2 kb)"
"chr20",57212397,57212897,501,"*",5.85447797164215,4.8738316744114,6.43293110953415,-1.13087909606207,0.0417967214740519,0.159942120840705,"Promoter (<=1kb)",20,57213709,57215005,1297,1,"102723590","ENST00000718807.1",-812,NA,"BMP7-AS1","BMP7 antisense RNA 1","Promoter (<=1 kb)"
"chr21",7963011,7963511,501,"*",4.82096451157054,3.52575112840562,5.49227972258506,-1.24326609876203,0.0432543476993676,0.163342076180507,"Distal Intergenic",21,7816677,7829632,12956,2,"102723475","ENST00000618699.3",-133379,"ENSG00000276289","LOC102723475","potassium voltage-gated channel subfamily E regulatory subunit 1B","Distal intergenic"
"chr5",177516934,177517434,501,"*",6.34999505170586,5.4120412714735,6.91366798255801,-1.10068537830418,0.045289756809958,0.168001492766102,"Promoter (<=1kb)",5,177511577,177516945,5369,2,"51428","ENST00000507955.6",0,"ENSG00000183258","DDX41","DEAD-box helicase 41","Promoter (<=1 kb)"
"chr2",91502177,91502677,501,"*",3.92374668965087,2.28877668012731,4.67050909360387,-1.28484924902325,0.048500183957726,0.173994409948342,"Distal Intergenic",2,91654694,91657280,2587,2,"654342","ENST00000745951.1",154603,"ENSG00000291150","LSP1P4","LSP1 pseudogene 4","Distal intergenic"
"chr3",4983873,4984373,501,"*",5.60021010793022,6.27597586260735,4.28746992676803,1.21895069859952,0.0501319112262779,0.177627882986935,"3' UTR",3,4896969,4980414,83446,2,"100507582","ENST00000668962.1",-3459,"ENSG00000235831","BHLHE40-AS1","BHLHE40 antisense RNA 1","3' UTR"
"chr6",26204318,26204818,501,"*",5.88644101487588,5.13965054947389,6.37605810503166,-0.965690552000326,0.0549757295602799,0.188103281702841,"Promoter (<=1kb)",6,26204610,26205021,412,1,"8367","ENST00000615164.3",0,"ENSG00000276966","H4C5","H4 clustered histone 5","Promoter (<=1 kb)"
"chr22",12599951,12600451,501,"*",2.75985625461429,0,3.6835403605225,-1.2195751414545,0.0558316069536055,0.188103281702841,"Distal Intergenic",22,12800736,12813586,12851,2,"105379428","ENST00000790069.1",213135,"ENSG00000278932","LOC105379428","uncharacterized LOC105379428","Distal intergenic"
"chr6",26285357,26285857,501,"*",6.29505304106543,5.66136969610334,6.73384753706357,-0.881482197752343,0.0563654432977153,0.188103281702841,"Promoter (<=1kb)",6,26285479,26301455,15977,1,"124901287","ENST00000771595.1",0,NA,"LOC124901287","uncharacterized LOC124901287","Promoter (<=1 kb)"
"chr1",212596287,212596787,501,"*",5.44480878665827,4.33929558082565,6.06329449106139,-1.12756174413636,0.059812813816645,0.19731353523422,"Intron (ENST00000366981.8/467, intron 1 of 3)",1,212608670,212619247,10578,1,"467","ENST00000465155.5",-11883,"ENSG00000162772","ATF3","activating transcription factor 3","Other intron"
"chr6",26122800,26123300,501,"*",6.41408532227877,5.85645884914113,6.81525808677365,-0.804550346989642,0.0668763462593384,0.206971409953827,"Promoter (<=1kb)",6,26086317,26123904,37588,2,"108783645","ENST00000707188.1",604,NA,"HFE-AS1","HFE antisense RNA 1","Promoter (<=1 kb)"
"chr16",88333338,88333838,501,"*",4.3852015264983,3.06649756258826,5.06246627178238,-1.1569700464128,0.0674702066750626,0.206971409953827,"Distal Intergenic",16,88382959,88440753,57795,1,"84627","ENST00000565624.3",-49121,"ENSG00000225614","ZNF469","zinc finger protein 469","Distal intergenic"
"chr14",68685608,68686108,501,"*",7.92963393261733,7.47010568010659,8.27761245248793,-0.709184731244472,0.067982651727431,0.206971409953827,"Promoter (<=1kb)",14,68683411,68685565,2155,2,"124903333","ENST00000556919.1",-43,NA,"RAD51B-AS1","RAD51B antisense RNA 1","Promoter (<=1 kb)"
"chr9",90857046,90857546,501,"*",5.67289213710916,4.76672436184743,6.22517022656078,-1.03014279949861,0.0685097001589322,0.206971409953827,"Intron (ENST00000375751.8/6850, intron 3 of 12)",9,90827488,90898549,71062,1,"6850","ENST00000375746.1",29558,"ENSG00000165025","SYK","spleen associated tyrosine kinase","Other intron"
"chr22",10717204,10717704,501,"*",3.75403797794417,2.28877668012731,4.46582365216354,-1.1677615124683,0.070605747715671,0.209949080671471,"Distal Intergenic",22,10742050,10753085,11036,1,"105379418","ENST00000779064.1",-24346,"ENSG00000301473","LOC105379418","uncharacterized LOC105379418","Distal intergenic"
"chr21",7966776,7967276,501,"*",4.79251506434345,3.7292674827913,5.39795857608042,-1.07670020979708,0.0735561931382077,0.213238660915814,"Distal Intergenic",21,7816677,7829632,12956,2,"102723475","ENST00000618699.3",-137144,"ENSG00000276289","LOC102723475","potassium voltage-gated channel subfamily E regulatory subunit 1B","Distal intergenic"
"chr8",125680067,125680567,501,"*",7.68970235541347,7.12168665393106,8.09619121532475,-0.806706156858705,0.0747785820636038,0.213592596127345,"Intron (ENST00000816149.1/105375746, intron 3 of 4)",8,125648327,125955592,307266,1,"105375746","ENST00000651999.1",31740,NA,"LINC02964","long intergenic non-protein coding RNA 2964","Other intron"
"chr5",177470654,177471154,501,"*",5.98145438432376,5.33936926268637,6.42422683905967,-0.857804584226331,0.0811607133843141,0.221839283250459,"Promoter (1-2kb)",5,177467490,177472870,5381,2,"1627","ENST00000506117.5",1716,"ENSG00000113758","DBN1","drebrin 1","Promoter (1-2 kb)"
"chr11",48013525,48014025,501,"*",6.34899243996426,5.71987666516913,6.78560996556969,-0.842720956662855,0.0858246108826464,0.228070956697403,"Intron (ENST00000698881.1/5795, intron 1 of 24)",11,48044804,48121147,76344,1,"5795","ENST00000526550.1",-30779,"ENSG00000149177","PTPRJ","protein tyrosine phosphatase receptor type J","Other intron"
"chr7",27134267,27134767,501,"*",5.38591241536206,4.56895315394135,5.90430949246129,-0.953223521086229,0.0877751719336217,0.230022613352282,"Exon (ENST00000521159.5/285943, exon 4 of 4)",7,27128507,27130780,2274,2,"3201","ENST00000610970.1",-3487,"ENSG00000197576","HOXA4","homeobox A4","Other exon"
"chr10",35409087,35409587,501,"*",5.43939708000494,4.52570992296911,5.99440166286527,-0.9922137011565,0.0887281972592512,0.230022613352282,"Intron (ENST00000490012.6/219771, intron 6 of 9)",10,35434111,35501661,67551,1,"219771","ENST00000470025.1",-24524,"ENSG00000108100","CCNY","cyclin Y","Other intron"
"chr6",27807884,27808384,501,"*",5.03796417014891,4.09619899093852,5.60298071318988,-1.0006303103236,0.0889634497634263,0.230022613352282,"Promoter (<=1kb)",6,27808173,27808667,495,1,"8329","ENST00000358739.5",0,"ENSG00000196747","H2AC13","H2A clustered histone 13","Promoter (<=1 kb)"
"chr8",125706300,125706800,501,"*",6.80723495129147,6.03588041993024,7.30715260929313,-0.921034300740227,0.0938126775194771,0.236177530246403,"Intron (ENST00000816149.1/105375746, intron 3 of 4)",8,125749045,125750261,1217,2,"105375747","ENST00000816249.1",43461,"ENSG00000253470","LOC105375747","uncharacterized LOC105375747","Other intron"
"chr22",10738964,10739464,501,"*",4.58892828275096,3.56893030276287,5.18049564695382,-1.00301820618374,0.0990634691629781,0.247227962171954,"Promoter (2-3kb)",22,10742050,10753085,11036,1,"105379418","ENST00000779064.1",-2586,"ENSG00000301473","LOC105379418","uncharacterized LOC105379418","Promoter (2-3 kb)"
"chr1",151311467,151311967,501,"*",5.78336215240729,5.15388899491909,6.22015037912175,-0.827478014164407,0.102265231095472,0.250536207832129,"Intron (ENST00000368874.8/5298, intron 2 of 10)",1,151303354,151306433,3080,2,"5298","ENST00000460323.1",-5034,"ENSG00000143393","PI4KB","phosphatidylinositol 4-kinase beta","Other intron"
"chr16",28211810,28212310,501,"*",5.94357381974507,4.98934233035234,6.51295170139008,-0.977924233924726,0.102456907496347,0.250536207832129,"Promoter (<=1kb)",16,28097976,28211965,113990,2,"23214","ENST00000304658.10",0,"ENSG00000169180","XPO6","exportin 6","Promoter (<=1 kb)"
"chr18",11857360,11857860,501,"*",6.78132538742758,6.18184093116263,7.20356941384872,-0.803523728321793,0.103007918202757,0.250536207832129,"Promoter (<=1kb)",18,11857440,11881172,23733,1,"2774","ENST00000602628.1",0,"ENSG00000141404","GNAL","G protein subunit alpha L","Promoter (<=1 kb)"
"chr1",236097088,236097588,501,"*",3.18683661795998,0.803155597170885,4.0415345989151,-1.01549801294041,0.106836180472276,0.257663729374312,"Exon (ENST00000720430.1/ENST00000720430.1, exon 1 of 3)",1,235975830,236065109,89280,2,"4811","ENST00000366595.7",-31979,"ENSG00000116962","NID1","nidogen 1","Other exon"
"chr9",6080322,6080822,501,"*",6.76588286199735,6.1609634454121,7.19079624032367,-0.801446844705398,0.109732466054285,0.262443481313166,"Distal Intergenic",9,6013866,6015625,1760,2,"26953","ENST00000623170.1",-64697,"ENSG00000137040","RANBP6","RAN binding protein 6","Distal intergenic"
"chr6",27132602,27133102,501,"*",5.86723010561742,5.22282520573707,6.3110949014184,-0.8229101189292,0.117772874820217,0.278803376688225,"Promoter (<=1kb)",6,27133043,27133535,493,1,"8969","ENST00000359193.4",0,"ENSG00000196787","H2AC11","H2A clustered histone 11","Promoter (<=1 kb)"
"chr8",128176724,128177224,501,"*",7.76798279257622,7.08515845266235,8.22956944441309,-0.841596828644134,0.118515721100918,0.278803376688225,"Intron (ENST00000651587.1/5820, intron 10 of 10)",8,128150116,128150188,73,1,"100302281","ENST00000408334.1",26608,"ENSG00000221261","MIR1208","microRNA 1208","Other intron"
"chr2",113240780,113241280,501,"*",6.06236719925854,5.48146424803652,6.47537063210198,-0.770886235355239,0.124880219185784,0.287001092874896,"Promoter (<=1kb)",2,113218522,113241779,23258,2,"7849","ENST00000497038.6",499,"ENSG00000125618","PAX8","paired box 8","Promoter (<=1 kb)"
"chrX",154378786,154379286,501,"*",5.50726889208405,4.45870476478393,6.10806282344029,-0.953875970719465,0.125578075600308,0.287001092874896,"Promoter (<=1kb)",23,154379273,154381291,2019,1,"2010","ENST00000369835.3",0,"ENSG00000102119","EMD","emerin","Promoter (<=1 kb)"
"chr13",45341082,45341582,501,"*",6.46483558348524,5.92444116286501,6.85706187559815,-0.743777701443269,0.126000479798735,0.287001092874896,"Promoter (<=1kb)",13,45341345,45393413,52069,1,"100190939","ENST00000517509.5",0,NA,"TPT1-AS1","TPT1 antisense RNA 1","Promoter (<=1 kb)"
"chr10",68153531,68154031,501,"*",5.58011211091397,4.87369293184318,6.05224699815292,-0.831328708040213,0.135700367030682,0.306661459352802,"Intron (ENST00000685154.1/84665, intron 6 of 6)",10,68158117,68166423,8307,1,"84665","ENST00000689002.1",-4086,"ENSG00000138347","MYPN","myopalladin","Other intron"
