"Gene","H4K16ac_Fold","H4K16ac_FDR","Peak_annotation","Distance_to_TSS","Peak_chr","Peak_start","Peak_end"
"TOR1AIP1",-2.14507244966677,0.00573106866618317,"Promoter (<=1kb)",0,"chr1",179882436,179882936
"TP53",-1.98378372845093,0.0463700895599328,"Promoter (<=1kb)",4,"chr17",7686923,7687423
"TPI1",-1.27745340587294,0.0424957806742772,"Promoter (<=1kb)",0,"chr12",6867483,6867983
"TRAPPC12",-4.82599838963653,0.00902851511578583,"Promoter (<=1kb)",-324,"chr2",3378851,3379351
"TRIP6",-1.34549896459225,0.0463700895599328,"Promoter (<=1kb)",-179,"chr7",100866708,100867208
"TRMO",-3.65569981018189,0.0185059362702848,"Promoter (<=1kb)",553,"chr9",97921415,97921915
"TRMT61A",-1.76813683293085,0.0153836044497207,"Promoter (<=1kb)",0,"chr14",103528913,103529413
"TSC22D2",-5.19983032173182,0.00376530486800055,"Promoter (<=1kb)",0,"chr3",150408090,150408590
"TSEN54",-4.91817765618876,0.00531616638791051,"Promoter (<=1kb)",0,"chr17",75515516,75516016
"TTC9C",-2.62907312882693,0.0144680186708651,"Promoter (<=1kb)",0,"chr11",62727802,62728302
"U2AF2",-1.95556463538114,0.00547281825423269,"Promoter (<=1kb)",0,"chr19",55654673,55655173
"UBE2Q2",-4.13460412067488,0.0102058656728714,"Promoter (<=1kb)",-198,"chr15",75842609,75843109
"UBE2V2",-3.3876206583768,0.00421496877531297,"Promoter (<=1kb)",-124,"chr8",48007791,48008291
"UBLCP1",-2.89426137821771,0.046462211042283,"Promoter (<=1kb)",71,"chr5",159263361,159263861
"USP9X",-1.51484341566547,0.0469345852738983,"Promoter (<=1kb)",-277,"chrX",41084668,41085168
"VCP",-1.60284023935817,0.0204511080949885,"Promoter (<=1kb)",0,"chr9",35072225,35072725
"YJU2",-2.11376303816157,0.0250873974608285,"Promoter (<=1kb)",0,"chr19",4246864,4247364
"ZMIZ2",-4.38281444387792,0.00184275507193784,"Promoter (<=1kb)",0,"chr7",44748326,44748826
"ZMYM4",-6.32320557831437,0.00242319832878703,"Promoter (<=1kb)",0,"chr1",35268433,35268933
"ZNF3",-2.15844341368097,0.000595355619610499,"Promoter (<=1kb)",0,"chr7",100081616,100082116
