"seqnames","start","end","width","strand","Conc","Conc_p53KD","Conc_Scramble","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","direction"
"chr17",7046952,7047452,501,"*",5.31830775522969,0,6.31830775522969,-7.24570352675528,3.64772114959965e-06,0.000652942085778337,"Promoter (2-3kb)",17,7041621,7044092,2472,2,"162515","ENST00000673828.2",-2860,"ENSG00000174326","SLC16A11","solute carrier family 16 member 11","down"
"chr1",161132338,161132838,501,"*",4.82490301926277,0,5.82490301926277,-6.88505551263067,4.54602047523094e-06,0.000770909366904951,"Promoter (<=1kb)",1,161120974,161132667,11694,2,"9191","ENST00000368006.8",0,"ENSG00000158796","DEDD","death effector domain containing","down"
"chr16",88315333,88315833,501,"*",4.91522742876287,0,5.91522742876287,-6.86971382325721,6.64019115994792e-06,0.00106973479586761,"Distal Intergenic",16,88268699,88294886,26188,1,"84627","ENST00000767805.1",46634,"ENSG00000225614","ZNF469","zinc finger protein 469","down"
"chr10",123153956,123154456,501,"*",5.28200915803164,0.522913575870329,6.25512139030691,-4.80601420018015,7.35492568106324e-06,0.00110547875581268,"Promoter (<=1kb)",10,123154402,123165212,10811,1,"9184","ENST00000368859.6",0,"ENSG00000154473","BUB3","BUB3 mitotic checkpoint protein","down"
"chr16",29789827,29790327,501,"*",4.77939221209565,0,5.77939221209565,-6.75356032821583,7.5482720756918e-06,0.00110547875581268,"Promoter (<=1kb)",16,29790727,29805384,14658,1,"3835","ENST00000691169.1",-400,"ENSG00000079616","KIF22","kinesin family member 22","down"
"chr5",154038889,154039389,501,"*",4.71910847798026,0,5.71910847798026,-6.68502242650584,8.60181798339977e-06,0.00120500250184844,"Promoter (<=1kb)",5,153990148,154038910,48763,2,"10827","ENST00000351797.9",0,"ENSG00000055147","FAM114A2","family with sequence similarity 114 member A2","down"
"chr11",73142783,73143283,501,"*",4.90241499345439,0,5.90241499345439,-6.74995218438461,1.07498250155754e-05,0.001443164008341,"Promoter (<=1kb)",11,72836745,73142318,305574,2,"9873","ENST00000409418.9",-465,"ENSG00000137478","FCHSD2","FCH and double SH3 domains 2","down"
"chr5",134758371,134758871,501,"*",4.66393337246939,0,5.66393337246939,-6.58173357828123,1.14323318422333e-05,0.00147339892782703,"Promoter (<=1kb)",5,134758771,134790122,31352,1,"9879","ENST00000628477.2",0,"ENSG00000145833","DDX46","DEAD-box helicase 46","down"
"chr2",3575104,3575604,501,"*",6.34768245969539,4.50694040732969,7.13078020661608,-2.05521201542979,1.2388642289342e-05,0.00153523867139461,"Promoter (<=1kb)",2,3575260,3580920,5661,1,"6201","ENST00000645674.2",0,"ENSG00000171863","RPS7","ribosomal protein S7","down"
"chr19",2541166,2541666,501,"*",4.6321615186653,0,5.6321615186653,-6.48931396461482,1.49899991071084e-05,0.00173631420053894,"Intron (ENST00000382159.8/2788, intron 3 of 4)",19,2491706,2494839,3134,2,"124904614","ENST00000776228.1",-46327,"ENSG00000301105","LOC124904614","uncharacterized LOC124904614","down"
"chr15",100803813,100804313,501,"*",4.6296831449884,0,5.6296831449884,-6.47565937073331,1.57016851800583e-05,0.00173631420053894,"Exon (ENST00000770601.1/105371024, exon 5 of 5)",15,100782417,100786189,3773,2,"440313","ENST00000639346.1",-17624,NA,"LOC440313","protein enabled homolog","down"
"chr5",177351544,177352044,501,"*",5.48079348471632,2.77326185179432,6.36590568956559,-2.75783450858662,1.59927625859164e-05,0.00173631420053894,"Promoter (<=1kb)",5,177315805,177351840,36036,2,"10960","ENST00000694903.1",0,"ENSG00000169223","LMAN2","lectin, mannose binding 2","down"
"chr3",15064985,15065485,501,"*",5.44117628274658,2.59607528208403,6.33712412611609,-2.86580612950141,1.65782444977496e-05,0.00173631420053894,"Promoter (<=1kb)",3,15009611,15065250,55640,2,"64432","ENST00000695375.1",0,"ENSG00000131368","MRPS25","mitochondrial ribosomal protein S25","down"
"chr19",40417016,40417516,501,"*",4.62149983684784,0,5.62149983684784,-6.44996583265741,1.68215523205948e-05,0.00173631420053894,"Promoter (2-3kb)",19,40413338,40414793,1456,2,"57716","ENST00000676042.1",-2223,"ENSG00000105227","PRX","periaxin","down"
"chr14",49767504,49768004,501,"*",4.75108620362187,0,5.75108620362187,-6.52504623997696,1.72445854802129e-05,0.00173631420053894,"Promoter (<=1kb)",14,49768130,49783105,14976,1,"23588","ENST00000555739.5",-126,"ENSG00000165516","KLHDC2","kelch domain containing 2","down"
"chr1",228082099,228082599,501,"*",4.61321512485571,0,5.61321512485571,-6.42104891213982,1.82965982883237e-05,0.00175945924087355,"Promoter (<=1kb)",1,228082708,228099212,16505,1,"375","ENST00000272102.10",-109,"ENSG00000143761","ARF1","ARF GTPase 1","down"
"chr10",79347554,79348054,501,"*",5.24708694967574,2.30243792635442,6.15021086606602,-2.94737964904574,1.85666089974241e-05,0.00175945924087355,"Promoter (<=1kb)",10,79347658,79354086,6429,1,"10105","ENST00000448165.1",0,"ENSG00000108179","PPIF","peptidylprolyl isomerase F","down"
"chr11",75562464,75562964,501,"*",5.64917977970923,3.3472383064904,6.49493876172094,-2.38149745856431,1.92911836365638e-05,0.00177589124791453,"Promoter (<=1kb)",11,75562809,75571940,9132,1,"871","ENST00000533449.6",0,"ENSG00000149257","SERPINH1","serpin family H member 1","down"
"chr22",29096577,29097077,501,"*",4.87896612307083,0,5.87896612307083,-6.54438096119262,2.09126442050481e-05,0.00184275507193784,"Intron (ENST00000400335.9/83999, intron 2 of 8)",22,29073131,29142112,68982,1,"83999","ENST00000407188.5",23446,"ENSG00000183762","KREMEN1","kringle containing transmembrane protein 1","down"
"chr19",10502341,10502841,501,"*",5.17687448672932,1.99095620780952,6.09534760894359,-3.18805205899226,2.15125010679356e-05,0.00184275507193784,"Promoter (<=1kb)",19,10499395,10502687,3293,2,"9817","ENST00000591419.2",0,"ENSG00000079999","KEAP1","kelch like ECH associated protein 1","down"
"chr17",7583095,7583595,501,"*",6.52046736006145,4.61667132350313,7.3135398068827,-2.04994899470623,2.23001640753131e-05,0.00184275507193784,"Promoter (<=1kb)",17,7581967,7583549,1583,2,"100996842","ENST00000842061.1",0,"ENSG00000233223","MPDU1-AS1","MPDU1 antisense RNA 1","down"
"chr7",44748326,44748826,501,"*",5.11109619669105,0.671239139121204,6.07747093533341,-4.38281444387792,2.23052289899366e-05,0.00184275507193784,"Promoter (<=1kb)",7,44748581,44768694,20114,1,"83637","ENST00000413916.5",0,"ENSG00000122515","ZMIZ2","zinc finger MIZ-type containing 2","down"
"chr11",119845566,119846066,501,"*",4.55091828427679,0,5.55091828427679,-6.29136022652845,2.43473929746265e-05,0.00189976295168535,"Intron (ENST00000813938.1/124902771, intron 3 of 3)",11,119854780,119867684,12905,1,"124902771","ENST00000813945.1",-8714,"ENSG00000287545","LOC124902771","uncharacterized LOC124902771","down"
"chr2",200408680,200409180,501,"*",5.16839534926422,0,6.15875608300228,-5.73204067142612,2.46831153543657e-05,0.00189976295168535,"Intron (ENST00000439084.5/26010, intron 2 of 4)",2,200393077,200467378,74302,1,"26010","ENST00000438761.5",15603,"ENSG00000196141","SPATS2L","spermatogenesis associated serine rich 2 like","down"
"chr9",97983499,97983999,501,"*",5.63035576829901,3.05060025560637,6.50435059045084,-2.55251719667486,2.535375757991e-05,0.00189976295168535,"Promoter (<=1kb)",9,97983341,98015943,32603,1,"10541","ENST00000339399.5",158,"ENSG00000136938","ANP32B","acidic nuclear phosphoprotein 32 family member B","down"
"chr1",23743333,23743833,501,"*",5.29160831437774,1.93335269580596,6.21949460214027,-3.28959228267793,2.82631610123215e-05,0.00200334216244036,"Promoter (<=1kb)",1,23743448,23762023,18576,1,"6924","ENST00000609199.2",0,"ENSG00000011007","ELOA","elongin A","down"
"chr19",43503953,43504453,501,"*",4.50017513395156,0,5.50017513395156,-6.20584472209742,2.85449525363333e-05,0.00200334216244036,"Promoter (<=1kb)",19,43474341,43504414,30074,2,"653583","ENST00000596141.2",0,"ENSG00000176531","PHLDB3","pleckstrin homology like domain family B member 3","down"
"chr1",171339325,171339825,501,"*",10.5433809997887,11.4102027096439,8.03996852232821,2.49751139854405,2.86014088989002e-05,0.00200334216244036,"Promoter (<=1kb)",1,171339299,171339959,661,1,"7151","ENST00000649925.1",26,NA,"TOP1P1","DNA topoisomerase I pseudogene 1","up"
"chr5",69188803,69189303,501,"*",4.69403555204016,0,5.69403555204016,-6.29095239818802,3.14381252007022e-05,0.00215518381695027,"Promoter (<=1kb)",5,69181462,69189461,8000,2,"112267932","ENST00000732377.1",158,NA,"LOC112267932","uncharacterized LOC112267932","down"
"chr1",35268433,35268933,501,"*",4.83775055888789,0,5.83775055888789,-6.32320557831437,3.60997888832332e-05,0.00242319832878703,"Promoter (<=1kb)",1,35268709,35422058,153350,1,"9202","ENST00000314607.11",0,"ENSG00000146463","ZMYM4","zinc finger MYM-type containing 4","down"
"chr22",38705697,38706197,501,"*",4.43764399338633,0,5.43764399338633,-6.05423505822111,3.88592114583899e-05,0.00255519141467209,"Promoter (<=1kb)",22,38705742,38716867,11126,1,"9567","ENST00000484657.5",0,"ENSG00000100226","GTPBP1","GTP binding protein 1","down"
"chr7",66075519,66076019,501,"*",4.40197866638683,0,5.40197866638683,-5.97464037003827,4.49752960048973e-05,0.00289820807455558,"Promoter (<=1kb)",7,66075800,66092930,17131,1,"435","ENST00000672586.1",0,"ENSG00000126522","ASL","argininosuccinate lyase","down"
"chr11",57514108,57514608,501,"*",4.49150435087894,0,5.49150435087894,-6.01907725701251,4.60733111447812e-05,0.00291074918644088,"Promoter (<=1kb)",11,57493993,57514615,20623,2,"8501","ENST00000533066.5",7,"ENSG00000149150","SLC43A1","solute carrier family 43 member 1","down"
"chr10",110567138,110567638,501,"*",5.14912516458922,0.928739612923563,6.10989929286934,-4.11969093077552,4.84846845756798e-05,0.00300418564813155,"Promoter (<=1kb)",10,110545410,110567213,21804,2,"105378483","ENST00000728672.1",0,NA,"LOC105378483","uncharacterized LOC105378483","down"
"chr17",752091,752591,501,"*",6.51144760191386,5.20605351969123,7.18535622574561,-1.60204611259583,5.13448296710988e-05,0.00312137813585434,"Promoter (<=1kb)",17,744421,752264,7844,2,"50628","ENST00000319004.6",0,"ENSG00000179409","GEMIN4","gem nuclear organelle associated protein 4","down"
"chr15",98785758,98786258,501,"*",4.34560782328432,0,5.34560782328432,-5.83298555684451,5.80202650570607e-05,0.00346187581507129,"Promoter (1-2kb)",15,98784426,98784502,77,1,"100616432","ENST00000580728.1",1332,"ENSG00000264480","MIR4714","microRNA 4714","down"
"chr19",44890485,44890985,501,"*",4.33493929861451,0,5.33493929861451,-5.79202732130836,6.268129992513e-05,0.00367198451561398,"Promoter (<=1kb)",19,44890569,44891525,957,1,"10452","ENST00000589253.1",0,"ENSG00000130204","TOMM40","translocase of outer mitochondrial membrane 40","down"
"chr3",150408090,150408590,501,"*",4.93207750331912,0,5.91700570557593,-5.19983032173182,6.54429151483645e-05,0.00376530486800055,"Promoter (<=1kb)",3,150408298,150466422,58125,1,"9819","ENST00000361875.8",0,"ENSG00000196428","TSC22D2","TSC22 domain family member 2","down"
"chr6",42217307,42217807,501,"*",4.47216158969524,0,5.47216158969524,-5.81475176190894,7.09033143337584e-05,0.00400790313655034,"Promoter (<=1kb)",6,42206694,42217861,11168,2,"55173","ENST00000718325.1",54,"ENSG00000048544","MRPS10","mitochondrial ribosomal protein S10","down"
"chr8",48007791,48008291,501,"*",5.48909414741695,1.74530599720678,6.43421775519493,-3.3876206583768,7.64226989088121e-05,0.00421496877531297,"Promoter (<=1kb)",8,48008415,48061417,53003,1,"7336","ENST00000523432.5",-124,"ENSG00000169139","UBE2V2","ubiquitin conjugating enzyme E2 V2","down"
"chr17",43387832,43388332,501,"*",4.38010005559124,0,5.38010005559124,-5.7183486494684,7.7509371068398e-05,0.00421496877531297,"Promoter (<=1kb)",17,43338741,43388312,49572,2,"100130581","ENST00000658096.1",0,"ENSG00000188825","LINC00910","long intergenic non-protein coding RNA 910","down"
"chr12",7994784,7995284,501,"*",4.31336261512562,0,5.31336261512562,-5.67350274938801,7.84910386464241e-05,0.00421496877531297,"Exon (ENST00000470614.1/ENST00000470614.1, exon 1 of 1)",12,7919230,8019007,99778,2,"6515","ENST00000707174.1",23723,"ENSG00000059804","SLC2A3","solute carrier family 2 member 3","down"
"chr20",23136762,23137262,501,"*",4.88544924026694,0.522913575870329,5.84994970172221,-3.8883378300457,8.3364815539787e-05,0.00440330222408514,"Exon (ENST00000737821.1/ENST00000737821.1, exon 1 of 1)",20,23125301,23132654,7354,2,"200261","ENST00000762245.1",-4108,"ENSG00000233746","LINC00656","long intergenic non-protein coding RNA 656","down"
"chr20",47280967,47281467,501,"*",4.30005219163688,0,5.30005219163688,-5.60512979290691,8.8658986632231e-05,0.0046074073375653,"Intron (ENST00000311275.11/23613, intron 10 of 21)",20,47210413,47298900,88488,2,"23613","ENST00000467200.6",17433,"ENSG00000101040","ZMYND8","zinc finger MYND-type containing 8","down"
"chr9",35657754,35658254,501,"*",5.64036629456508,2.67399816523222,6.5449866418607,-2.6885413529304,9.18930932111325e-05,0.00469967533851221,"Promoter (<=1kb)",9,35657750,35658019,270,2,"6023","ENST00000363046.2",0,"ENSG00000277027","RMRP","RNA component of mitochondrial RNA processing endoribonuclease","down"
"chr12",53218453,53218953,501,"*",4.30484790883548,0,5.30484790883548,-5.57833733044318,9.39087486048737e-05,0.00472082769921384,"Promoter (1-2kb)",12,53215374,53220084,4711,2,"5916","ENST00000548284.1",1131,"ENSG00000172819","RARG","retinoic acid receptor gamma","down"
"chr12",52945538,52946038,501,"*",5.05167256900167,0.928739612923563,6.00966520303489,-3.83356045866715,9.52370578674425e-05,0.00472082769921384,"Promoter (2-3kb)",12,52948871,52952900,4030,1,"3875","ENST00000388837.6",-2833,"ENSG00000111057","KRT18","keratin 18","down"
"chr1",153550518,153551018,501,"*",4.30962773721104,0,5.30962773721104,-5.54389422924871,0.000100793663800793,0.00478960701296911,"Promoter (<=1kb)",1,153543621,153550136,6516,2,"6275","ENST00000368714.1",-382,"ENSG00000196154","S100A4","S100 calcium binding protein A4","down"
"chr9",121075178,121075678,501,"*",4.50079772130198,0,5.50079772130198,-5.648124091029,0.000101033864118001,0.00478960701296911,"Promoter (<=1kb)",9,120932987,121075184,142198,2,"727","ENST00000696280.1",0,"ENSG00000106804","C5","complement C5","down"
"chr7",151226788,151227288,501,"*",4.44822765108208,0,5.44822765108208,-5.61366014150471,0.000102128356815778,0.00478960701296911,"Promoter (<=1kb)",7,151211484,151227205,15722,2,"10061","ENST00000287844.7",0,"ENSG00000033050","ABCF2","ATP binding cassette subfamily F member 2","down"
"chr3",119464265,119464765,501,"*",4.64601879920939,0,5.64601879920939,-5.71681970740992,0.000102570727465819,0.00478960701296911,"Promoter (<=1kb)",3,119447018,119463665,16648,2,"55254","ENST00000468676.5",-600,"ENSG00000176142","TMEM39A","transmembrane protein 39A","down"
"chr6",33571344,33571844,501,"*",4.88614158300321,0.522913575870329,5.85065928761137,-3.80567943487819,0.00010948884463161,0.00503961510575783,"Promoter (<=1kb)",6,33571434,33587888,16455,1,"449520","ENST00000738007.1",0,NA,"GGNBP1","gametogenetin binding protein 1 (pseudogene)","down"
"chr17",29580475,29580975,501,"*",4.24696193587412,0,5.24696193587412,-5.44522687902751,0.000113398832294833,0.00514607095287258,"Promoter (<=1kb)",17,29576380,29581381,5002,2,"28964","ENST00000585148.1",406,"ENSG00000108262","GIT1","GIT ArfGAP 1","down"
"chr15",65868971,65869471,501,"*",4.24945166763927,0,5.24945166763927,-5.4314241120303,0.000116574684340056,0.00521506259380617,"Promoter (<=1kb)",15,65869456,65888247,18792,1,"8766","ENST00000564910.5",0,"ENSG00000103769","RAB11A","RAB11A, member RAS oncogene family","down"
"chr7",149028912,149029412,501,"*",4.7577629348587,0,5.74074403447891,-4.82196715306175,0.000118549321587423,0.00521506259380617,"Promoter (<=1kb)",7,149003068,149028662,25595,2,"9601","ENST00000286091.9",-250,"ENSG00000155660","PDIA4","protein disulfide isomerase family A member 4","down"
"chr7",460940,461440,501,"*",4.91712895601512,0.343777112202407,5.88650725366579,-4.14859375677321,0.000119774870248807,0.00521506259380617,"Intron (ENST00000812371.1/ENST00000812371.1, intron 1 of 2)",7,446281,448823,2543,1,"124901566","ENST00000665027.1",14659,NA,"LOC124901566","uncharacterized LOC124901566","down"
"chr7",74092553,74093053,501,"*",5.49397579095386,2.05060025560637,6.4260925443652,-3.04782280179994,0.000123471031008218,0.00530431549211305,"Promoter (<=1kb)",7,74093079,74121458,28380,1,"3984","ENST00000538333.3",-26,"ENSG00000106683","LIMK1","LIM domain kinase 1","down"
"chr17",75515516,75516016,501,"*",4.89723986905189,0,5.88559939273142,-4.91817765618876,0.00012539684838026,0.00531616638791051,"Promoter (<=1kb)",17,75515944,75524723,8780,1,"283989","ENST00000679370.1",0,"ENSG00000182173","TSEN54","tRNA splicing endonuclease subunit 54","down"
"chr3",51995393,51995893,501,"*",6.33511689981975,5.07691882348362,6.99680649500667,-1.52676527445894,0.000131508788360074,0.00543713743454161,"Promoter (<=1kb)",3,51993522,51995857,2336,2,"6159","ENST00000648640.1",0,"ENSG00000162244","RPL29","ribosomal protein L29","down"
"chr17",81871523,81872023,501,"*",6.54316180007644,5.14243257670609,7.24027935827386,-1.62677644763354,0.000131625301022423,0.00543713743454161,"Promoter (<=1kb)",17,81869302,81871378,2077,2,"396","ENST00000584397.1",-145,"ENSG00000141522","ARHGDIA","Rho GDP dissociation inhibitor alpha","down"
"chr19",55654673,55655173,501,"*",6.4433279270492,4.50694040732969,7.24136198284018,-1.95556463538114,0.000134187660485531,0.00547281825423269,"Promoter (<=1kb)",19,55655035,55674716,19682,1,"11338","ENST00000308924.9",0,"ENSG00000063244","U2AF2","U2 small nuclear RNA auxiliary factor 2","down"
"chr17",2511644,2512144,501,"*",4.17622531323446,0,5.17622531323446,-5.3015826100647,0.000136662397444129,0.0055040780570623,"Promoter (<=1kb)",17,2416049,2511888,95840,2,"79066","ENST00000263092.11",0,"ENSG00000127804","METTL16","methyltransferase 16, RNA N6-adenosine","down"
"chr1",179882436,179882936,501,"*",5.68921161439847,3.41523534968818,6.5317808084655,-2.14507244966677,0.000145412087527333,0.00573106866618317,"Promoter (<=1kb)",1,179882696,179920077,37382,1,"26092","ENST00000435319.8",0,"ENSG00000143337","TOR1AIP1","torsin 1A interacting protein 1","down"
"chr6",3194882,3195382,501,"*",4.3856169107226,0,5.3856169107226,-5.37468810072646,0.000145855875427381,0.00573106866618317,"Promoter (<=1kb)",6,3189648,3195777,6130,2,"100507194","ENST00000814153.1",395,"ENSG00000230269","LINC02525","long intergenic non-protein coding RNA 2525","down"
"chr1",225817803,225818303,501,"*",4.6804531414222,0,5.65325138128865,-3.98744817848144,0.000151742061444426,0.00589051713221614,"Intron (ENST00000272167.10/2052, intron 1 of 8)",1,225825354,225845563,20210,1,"2052","ENST00000366837.5",-7051,"ENSG00000143819","EPHX1","epoxide hydrolase 1","down"
"chr7",4775363,4775863,501,"*",4.76832340328665,0,5.75559005150505,-4.70650638722681,0.000161709091488009,0.00620269872350433,"Promoter (<=1kb)",7,4775615,4791714,16100,1,"9907","ENST00000647984.1",0,"ENSG00000242802","AP5Z1","adaptor related protein complex 5 subunit zeta 1","down"
"chr4",127781947,127782447,501,"*",4.79731762453093,0,5.77225093966402,-4.03409083086368,0.000170327979831955,0.00645643236492422,"Promoter (<=1kb)",4,127782322,127820469,38148,1,"22824","ENST00000508549.5",0,"ENSG00000164070","HSPA4L","heat shock protein family A (Hsp70) member 4 like","down"
"chr16",89325903,89326403,501,"*",4.11282121372736,0,5.11282121372736,-5.09755759612411,0.000181721199451947,0.00680820586783923,"Promoter (2-3kb)",16,89300696,89328986,28291,2,"29123","ENST00000563291.1",2583,"ENSG00000167522","ANKRD11","ankyrin repeat domain containing 11","down"
"chr15",64841998,64842498,501,"*",4.21240725995111,0,5.21240725995111,-5.10161094061219,0.00019577729873007,0.00719811202485636,"Promoter (<=1kb)",15,64841948,64930920,88973,1,"80301","ENST00000437723.1",50,"ENSG00000241839","PLEKHO2","pleckstrin homology domain containing O2","down"
"chrX",14029059,14029559,501,"*",4.10578307847813,0,5.10578307847813,-5.04447630275578,0.000196596479884345,0.00719811202485636,"Promoter (<=1kb)",23,14009111,14029615,20505,2,"54960","ENST00000332885.7",56,"ENSG00000046647","GEMIN8","gem nuclear organelle associated protein 8","down"
"chr6",125956681,125957181,501,"*",4.29972845941629,0,5.29972845941629,-5.10821263310062,0.000207108239538814,0.00748906804721547,"Promoter (<=1kb)",6,125956770,125980244,23475,1,"135114","ENST00000229633.7",0,"ENSG00000111911","HINT3","histidine triad nucleotide binding protein 3","down"
"chrX",71181510,71182010,501,"*",5.61140190301526,3.74004950843028,6.39940506752675,-1.87873842801836,0.000209191844894287,0.00748906804721547,"Promoter (<=1kb)",23,71150179,71182076,31898,2,"124905197","ENST00000740249.1",66,NA,"LOC124905197","uncharacterized LOC124905197","down"
"chrX",149939160,149939660,501,"*",4.17062755078389,0,5.17062755078389,-5.02463156599194,0.000213381349145493,0.00755510666974482,"Promoter (<=1kb)",23,149939739,149944612,4874,1,"100272228","ENST00000458274.2",-79,"ENSG00000235703","EOLA2-DT","EOLA2 divergent transcript","down"
"chr11",69658664,69659164,501,"*",5.33908006009513,2.59607528208403,6.22709388821146,-2.4009087954107,0.000226309075650176,0.00792573741027029,"Intron (ENST00000538554.6/220064, intron 4 of 6)",11,69665649,69668012,2364,2,"220064","ENST00000537272.6",8848,"ENSG00000149716","LTO1","LTO1 maturation factor of ABCE1","down"
"chr14",103880434,103880934,501,"*",4.10146936634528,0,5.10146936634528,-4.91834987494902,0.000237879689968363,0.00817621769513532,"Downstream (<=300bp)",14,103875055,103877478,2424,1,"105370689","ENST00000556653.1",5379,NA,"LOC105370689","uncharacterized LOC105370689","down"
"chr3",48186585,48187085,501,"*",4.05506652814347,0,5.05506652814347,-4.8936313725974,0.000238536456655096,0.00817621769513532,"Promoter (<=1kb)",3,48177366,48187966,10601,2,"993","ENST00000443342.5",881,"ENSG00000164045","CDC25A","cell division cycle 25A","down"
"chr2",110100891,110101391,501,"*",5.1930494609749,2.63556275632753,6.06499463603586,-2.24868305291306,0.000242230775996235,0.00821544800273545,"Intron (ENST00000837856.1/ENST00000837856.1, intron 2 of 2)",2,110086433,110086523,91,2,"100616123","ENST00000583272.1",-14368,"ENSG00000264979","MIR4436B1","microRNA 4436b-1","down"
