"geneId","ENSEMBL","SYMBOL","GENENAME","peak_count","highest_logFC","highest_logFC_chrom","highest_logFC_start","highest_logFC_end","lowest_logFC","lowest_logFC_chrom","lowest_logFC_start","lowest_logFC_end","rank_highest_logFC","rank_lowest_logFC","rank_highest_abs_logFC"
"375","ENSG00000143761","ARF1","ARF GTPase 1",1,-6.42104891213982,"chr1",228082099,228082599,-6.42104891213982,"chr1",228082099,228082599,189,23,23
"9202","ENSG00000146463","ZMYM4","zinc finger MYM-type containing 4",1,-6.32320557831437,"chr1",35268433,35268933,-6.32320557831437,"chr1",35268433,35268933,188,24,24
"124902771","ENSG00000287545","LOC124902771","uncharacterized LOC124902771",1,-6.29136022652845,"chr11",119845566,119846066,-6.29136022652845,"chr11",119845566,119846066,187,25,25
"112267932",NA,"LOC112267932","uncharacterized LOC112267932",1,-6.29095239818802,"chr5",69188803,69189303,-6.29095239818802,"chr5",69188803,69189303,186,26,26
"653583","ENSG00000176531","PHLDB3","pleckstrin homology like domain family B member 3",1,-6.20584472209742,"chr19",43503953,43504453,-6.20584472209742,"chr19",43503953,43504453,185,27,27
"9567","ENSG00000100226","GTPBP1","GTP binding protein 1",1,-6.05423505822111,"chr22",38705697,38706197,-6.05423505822111,"chr22",38705697,38706197,184,28,28
"8501","ENSG00000149150","SLC43A1","solute carrier family 43 member 1",1,-6.01907725701251,"chr11",57514108,57514608,-6.01907725701251,"chr11",57514108,57514608,183,29,29
"435","ENSG00000126522","ASL","argininosuccinate lyase",1,-5.97464037003827,"chr7",66075519,66076019,-5.97464037003827,"chr7",66075519,66076019,182,30,30
"100616432","ENSG00000264480","MIR4714","microRNA 4714",1,-5.83298555684451,"chr15",98785758,98786258,-5.83298555684451,"chr15",98785758,98786258,181,31,31
"55173","ENSG00000048544","MRPS10","mitochondrial ribosomal protein S10",1,-5.81475176190894,"chr6",42217307,42217807,-5.81475176190894,"chr6",42217307,42217807,180,32,32
"10452","ENSG00000130204","TOMM40","translocase of outer mitochondrial membrane 40",1,-5.79202732130836,"chr19",44890485,44890985,-5.79202732130836,"chr19",44890485,44890985,179,33,33
"26010","ENSG00000196141","SPATS2L","spermatogenesis associated serine rich 2 like",1,-5.73204067142612,"chr2",200408680,200409180,-5.73204067142612,"chr2",200408680,200409180,178,34,34
"100130581","ENSG00000188825","LINC00910","long intergenic non-protein coding RNA 910",1,-5.7183486494684,"chr17",43387832,43388332,-5.7183486494684,"chr17",43387832,43388332,177,35,35
"55254","ENSG00000176142","TMEM39A","transmembrane protein 39A",1,-5.71681970740992,"chr3",119464265,119464765,-5.71681970740992,"chr3",119464265,119464765,176,36,36
"6515","ENSG00000059804","SLC2A3","solute carrier family 2 member 3",1,-5.67350274938801,"chr12",7994784,7995284,-5.67350274938801,"chr12",7994784,7995284,175,37,37
"727","ENSG00000106804","C5","complement C5",1,-5.648124091029,"chr9",121075178,121075678,-5.648124091029,"chr9",121075178,121075678,174,38,38
"10061","ENSG00000033050","ABCF2","ATP binding cassette subfamily F member 2",1,-5.61366014150471,"chr7",151226788,151227288,-5.61366014150471,"chr7",151226788,151227288,173,39,39
"3615","ENSG00000178035","IMPDH2","inosine monophosphate dehydrogenase 2",1,-5.61150536969534,"chr3",49028966,49029466,-5.61150536969534,"chr3",49028966,49029466,172,40,40
"23613","ENSG00000101040","ZMYND8","zinc finger MYND-type containing 8",1,-5.60512979290691,"chr20",47280967,47281467,-5.60512979290691,"chr20",47280967,47281467,171,41,41
"5916","ENSG00000172819","RARG","retinoic acid receptor gamma",1,-5.57833733044318,"chr12",53218453,53218953,-5.57833733044318,"chr12",53218453,53218953,170,42,42
"6275","ENSG00000196154","S100A4","S100 calcium binding protein A4",1,-5.54389422924871,"chr1",153550518,153551018,-5.54389422924871,"chr1",153550518,153551018,169,43,43
"28964","ENSG00000108262","GIT1","GIT ArfGAP 1",1,-5.44522687902751,"chr17",29580475,29580975,-5.44522687902751,"chr17",29580475,29580975,168,44,44
"8766","ENSG00000103769","RAB11A","RAB11A, member RAS oncogene family",1,-5.4314241120303,"chr15",65868971,65869471,-5.4314241120303,"chr15",65868971,65869471,167,45,45
"100507194","ENSG00000230269","LINC02525","long intergenic non-protein coding RNA 2525",1,-5.37468810072646,"chr6",3194882,3195382,-5.37468810072646,"chr6",3194882,3195382,166,46,46
"79066","ENSG00000127804","METTL16","methyltransferase 16, RNA N6-adenosine",1,-5.3015826100647,"chr17",2511644,2512144,-5.3015826100647,"chr17",2511644,2512144,165,47,47
"9819","ENSG00000196428","TSC22D2","TSC22 domain family member 2",1,-5.19983032173182,"chr3",150408090,150408590,-5.19983032173182,"chr3",150408090,150408590,164,48,48
"135114","ENSG00000111911","HINT3","histidine triad nucleotide binding protein 3",1,-5.10821263310062,"chr6",125956681,125957181,-5.10821263310062,"chr6",125956681,125957181,163,49,49
"80301","ENSG00000241839","PLEKHO2","pleckstrin homology domain containing O2",1,-5.10161094061219,"chr15",64841998,64842498,-5.10161094061219,"chr15",64841998,64842498,162,50,50
"29123","ENSG00000167522","ANKRD11","ankyrin repeat domain containing 11",1,-5.09755759612411,"chr16",89325903,89326403,-5.09755759612411,"chr16",89325903,89326403,161,51,51
"54960","ENSG00000046647","GEMIN8","gem nuclear organelle associated protein 8",1,-5.04447630275578,"chrX",14029059,14029559,-5.04447630275578,"chrX",14029059,14029559,160,52,52
"100272228","ENSG00000235703","EOLA2-DT","EOLA2 divergent transcript",1,-5.02463156599194,"chrX",149939160,149939660,-5.02463156599194,"chrX",149939160,149939660,159,53,53
"105370689",NA,"LOC105370689","uncharacterized LOC105370689",1,-4.91834987494902,"chr14",103880434,103880934,-4.91834987494902,"chr14",103880434,103880934,158,54,54
"283989","ENSG00000182173","TSEN54","tRNA splicing endonuclease subunit 54",1,-4.91817765618876,"chr17",75515516,75516016,-4.91817765618876,"chr17",75515516,75516016,157,55,55
"993","ENSG00000164045","CDC25A","cell division cycle 25A",1,-4.8936313725974,"chr3",48186585,48187085,-4.8936313725974,"chr3",48186585,48187085,156,56,56
"51112","ENSG00000171853","TRAPPC12","trafficking protein particle complex subunit 12",1,-4.82599838963653,"chr2",3378851,3379351,-4.82599838963653,"chr2",3378851,3379351,155,57,57
"124904621","ENSG00000274210","RNVU1-27","RNA, variant U1 small nuclear 27",1,-4.82506829705604,"chr1",148522590,148523090,-4.82506829705604,"chr1",148522590,148523090,154,58,58
"9601","ENSG00000155660","PDIA4","protein disulfide isomerase family A member 4",1,-4.82196715306175,"chr7",149028912,149029412,-4.82196715306175,"chr7",149028912,149029412,153,59,59
"9184","ENSG00000154473","BUB3","BUB3 mitotic checkpoint protein",1,-4.80601420018015,"chr10",123153956,123154456,-4.80601420018015,"chr10",123153956,123154456,152,60,60
"51330","ENSG00000006327","TNFRSF12A","TNF receptor superfamily member 12A",1,-4.73826934672162,"chr16",3021245,3021745,-4.73826934672162,"chr16",3021245,3021745,151,61,61
"8784","ENSG00000186891","TNFRSF18","TNF receptor superfamily member 18",1,-4.72329748243427,"chr1",1201484,1201984,-4.72329748243427,"chr1",1201484,1201984,150,62,62
"105371922",NA,"LOC105371922","uncharacterized LOC105371922",1,-4.72064738073247,"chr17",80584047,80584547,-4.72064738073247,"chr17",80584047,80584547,149,63,63
"9907","ENSG00000242802","AP5Z1","adaptor related protein complex 5 subunit zeta 1",1,-4.70650638722681,"chr7",4775363,4775863,-4.70650638722681,"chr7",4775363,4775863,148,64,64
"105373411","ENSG00000231083","LOC105373411","uncharacterized LOC105373411",1,-4.65360735024883,"chr2",8631924,8632424,-4.65360735024883,"chr2",8631924,8632424,147,65,65
"147","ENSG00000170214","ADRA1B","adrenoceptor alpha 1B",1,-4.65042636111053,"chr5",159916013,159916513,-4.65042636111053,"chr5",159916013,159916513,146,66,66
"101928059","ENSG00000284738","LOC101928059","uncharacterized LOC101928059",1,-4.55349847103853,"chr1",153923313,153923813,-4.55349847103853,"chr1",153923313,153923813,145,67,67
"83637","ENSG00000122515","ZMIZ2","zinc finger MIZ-type containing 2",1,-4.38281444387792,"chr7",44748326,44748826,-4.38281444387792,"chr7",44748326,44748826,144,68,68
"79075","ENSG00000136982","DSCC1","DNA replication and sister chromatid cohesion 1",1,-4.29186619733906,"chr8",119855919,119856419,-4.29186619733906,"chr8",119855919,119856419,143,69,69
"84909","ENSG00000148120","AOPEP","aminopeptidase O (putative)",1,-4.16923862043285,"chr9",95031351,95031851,-4.16923862043285,"chr9",95031351,95031851,142,70,70
"6468","ENSG00000107829","FBXW4","F-box and WD repeat domain containing 4",1,-4.16865260813796,"chr10",101694009,101694509,-4.16865260813796,"chr10",101694009,101694509,141,71,71
"124901566",NA,"LOC124901566","uncharacterized LOC124901566",1,-4.14859375677321,"chr7",460940,461440,-4.14859375677321,"chr7",460940,461440,140,72,72
"92912","ENSG00000140367","UBE2Q2","ubiquitin conjugating enzyme E2 Q2",1,-4.13460412067488,"chr15",75842609,75843109,-4.13460412067488,"chr15",75842609,75843109,139,73,73
"105378483",NA,"LOC105378483","uncharacterized LOC105378483",1,-4.11969093077552,"chr10",110567138,110567638,-4.11969093077552,"chr10",110567138,110567638,138,74,74
"22824","ENSG00000164070","HSPA4L","heat shock protein family A (Hsp70) member 4 like",1,-4.03409083086368,"chr4",127781947,127782447,-4.03409083086368,"chr4",127781947,127782447,137,75,75
"11142","ENSG00000168734","PKIG","cAMP-dependent protein kinase inhibitor gamma",1,-4.00938451991166,"chr20",44531842,44532342,-4.00938451991166,"chr20",44531842,44532342,136,76,76
"2052","ENSG00000143819","EPHX1","epoxide hydrolase 1",1,-3.98744817848144,"chr1",225817803,225818303,-3.98744817848144,"chr1",225817803,225818303,135,77,77
"105372664",NA,"LOC105372664","uncharacterized LOC105372664",1,3.95072556144344,"chr20",52001855,52002355,3.95072556144344,"chr20",52001855,52002355,1,211,78
"200261","ENSG00000233746","LINC00656","long intergenic non-protein coding RNA 656",2,-1.58524396983991,"chr20",23140790,23141290,-3.8883378300457,"chr20",23136762,23137262,34,78,79
"3875","ENSG00000111057","KRT18","keratin 18",1,-3.83356045866715,"chr12",52945538,52946038,-3.83356045866715,"chr12",52945538,52946038,134,79,80
"449520",NA,"GGNBP1","gametogenetin binding protein 1 (pseudogene)",1,-3.80567943487819,"chr6",33571344,33571844,-3.80567943487819,"chr6",33571344,33571844,133,80,81
"4775","ENSG00000072736","NFATC3","nuclear factor of activated T cells 3",1,-3.69896161746697,"chr16",68085186,68085686,-3.69896161746697,"chr16",68085186,68085686,132,81,82
"51531","ENSG00000136932","TRMO","tRNA methyltransferase O",1,-3.65569981018189,"chr9",97921415,97921915,-3.65569981018189,"chr9",97921415,97921915,131,82,83
"3892","ENSG00000170442","KRT86","keratin 86",1,-3.644998776146,"chr12",52280609,52281109,-3.644998776146,"chr12",52280609,52281109,130,83,84
"100505994","ENSG00000248323","LUCAT1","lung cancer associated transcript 1",1,-3.41120551556583,"chr5",91314094,91314594,-3.41120551556583,"chr5",91314094,91314594,129,84,85
"7336","ENSG00000169139","UBE2V2","ubiquitin conjugating enzyme E2 V2",1,-3.3876206583768,"chr8",48007791,48008291,-3.3876206583768,"chr8",48007791,48008291,128,85,86
"124909376","ENSG00000223343","LOC124909376","uncharacterized LOC124909376",1,-3.30002738959739,"chr3",48989942,48990442,-3.30002738959739,"chr3",48989942,48990442,127,86,87
"6924","ENSG00000011007","ELOA","elongin A",1,-3.28959228267793,"chr1",23743333,23743833,-3.28959228267793,"chr1",23743333,23743833,126,87,88
"7150","ENSG00000198900","TOP1","DNA topoisomerase I",2,3.2406678439062,"chr20",41113809,41114309,3.11054830866766,"chr20",41099899,41100399,2,210,89
"4836","ENSG00000136448","NMT1","N-myristoyltransferase 1",1,-3.21622947180225,"chr17",45051485,45051985,-3.21622947180225,"chr17",45051485,45051985,125,88,90
"11165","ENSG00000272325","NUDT3","nudix hydrolase 3",1,-3.20018294152249,"chr6",34391188,34391688,-3.20018294152249,"chr6",34391188,34391688,124,89,91
"9817","ENSG00000079999","KEAP1","kelch like ECH associated protein 1",1,-3.18805205899226,"chr19",10502341,10502841,-3.18805205899226,"chr19",10502341,10502841,123,90,92
"10913","ENSG00000135960","EDAR","ectodysplasin A receptor",1,-3.14108886104607,"chr2",108967112,108967612,-3.14108886104607,"chr2",108967112,108967612,122,91,93
"11337","ENSG00000170296","GABARAP","GABA type A receptor-associated protein",1,-3.13846378190671,"chr17",7242325,7242825,-3.13846378190671,"chr17",7242325,7242825,121,92,94
"5110","ENSG00000120265","PCMT1","protein-L-isoaspartate (D-aspartate) O-methyltransferase",1,-3.09573229163183,"chr6",149749119,149749619,-3.09573229163183,"chr6",149749119,149749619,120,93,95
"3984","ENSG00000106683","LIMK1","LIM domain kinase 1",1,-3.04782280179994,"chr7",74092553,74093053,-3.04782280179994,"chr7",74092553,74093053,119,94,96
"105379321","ENSG00000289521","LOC105379321","uncharacterized LOC105379321",1,-3.0310763612936,"chr8",22693279,22693779,-3.0310763612936,"chr8",22693279,22693779,118,95,97
"10105","ENSG00000108179","PPIF","peptidylprolyl isomerase F",1,-2.94737964904574,"chr10",79347554,79348054,-2.94737964904574,"chr10",79347554,79348054,117,96,98
"25829","ENSG00000198792","TMEM184B","transmembrane protein 184B",1,-2.94017231836828,"chr22",38230080,38230580,-2.94017231836828,"chr22",38230080,38230580,116,97,99
"134510","ENSG00000164332","UBLCP1","ubiquitin like domain containing CTD phosphatase 1",1,-2.89426137821771,"chr5",159263361,159263861,-2.89426137821771,"chr5",159263361,159263861,115,98,100
"51750","ENSG00000258366","RTEL1","regulator of telomere elongation helicase 1",1,2.88985837868417,"chr20",63680241,63680741,2.88985837868417,"chr20",63680241,63680741,3,209,101
"23603","ENSG00000110880","CORO1C","coronin 1C",1,-2.87289645583534,"chr12",108661623,108662123,-2.87289645583534,"chr12",108661623,108662123,114,99,102
"64432","ENSG00000131368","MRPS25","mitochondrial ribosomal protein S25",1,-2.86580612950141,"chr3",15064985,15065485,-2.86580612950141,"chr3",15064985,15065485,113,100,103
"124901803",NA,"LOC124901803","uncharacterized LOC124901803",1,-2.81532620427293,"chr7",157299589,157300089,-2.81532620427293,"chr7",157299589,157300089,112,101,104
"100128731","ENSG00000228474","OST4","oligosaccharyltransferase complex subunit 4, non-catalytic",1,-2.8079071689536,"chr2",27071299,27071799,-2.8079071689536,"chr2",27071299,27071799,111,102,105
"23499","ENSG00000127603","MACF1","microtubule actin crosslinking factor 1",1,-2.80354780679428,"chr1",39192022,39192522,-2.80354780679428,"chr1",39192022,39192522,110,103,106
"10960","ENSG00000169223","LMAN2","lectin, mannose binding 2",1,-2.75783450858662,"chr5",177351544,177352044,-2.75783450858662,"chr5",177351544,177352044,109,104,107
"56731","ENSG00000125520","SLC2A4RG","SLC2A4 regulator",1,-2.74685632648292,"chr20",63740823,63741323,-2.74685632648292,"chr20",63740823,63741323,108,105,108
"165100","ENSG00000177673","TEX44","testis expressed 44",1,-2.74488048936133,"chr2",231612637,231613137,-2.74488048936133,"chr2",231612637,231613137,107,106,109
"6023","ENSG00000277027","RMRP","RNA component of mitochondrial RNA processing endoribonuclease",1,-2.6885413529304,"chr9",35657754,35658254,-2.6885413529304,"chr9",35657754,35658254,106,107,110
"283237","ENSG00000162222","TTC9C","tetratricopeptide repeat domain 9C",1,-2.62907312882693,"chr11",62727802,62728302,-2.62907312882693,"chr11",62727802,62728302,105,108,111
"10098","ENSG00000168785","TSPAN5","tetraspanin 5",1,-2.60080922825344,"chr4",98523225,98523725,-2.60080922825344,"chr4",98523225,98523725,104,109,112
"10541","ENSG00000136938","ANP32B","acidic nuclear phosphoprotein 32 family member B",1,-2.55251719667486,"chr9",97983499,97983999,-2.55251719667486,"chr9",97983499,97983999,103,110,113
"378805","ENSG00000231721","LINC-PINT","long intergenic non-protein coding RNA, p53 induced transcript",1,-2.52473239727182,"chr7",131008068,131008568,-2.52473239727182,"chr7",131008068,131008568,102,111,114
"5609","ENSG00000076984","MAP2K7","mitogen-activated protein kinase kinase 7",1,-2.49926393498471,"chr19",7903515,7904015,-2.49926393498471,"chr19",7903515,7904015,101,112,115
"7151",NA,"TOP1P1","DNA topoisomerase I pseudogene 1",1,2.49751139854405,"chr1",171339325,171339825,2.49751139854405,"chr1",171339325,171339825,4,208,116
"928","ENSG00000010278","CD9","CD9 molecule",1,-2.47002326343868,"chr12",6228795,6229295,-2.47002326343868,"chr12",6228795,6229295,100,113,117
"131474","ENSG00000163528","CHCHD4","coiled-coil-helix-coiled-coil-helix domain containing 4",1,-2.44329816168043,"chr3",14124340,14124840,-2.44329816168043,"chr3",14124340,14124840,99,114,118
"101928046",NA,"LOC101928046","uncharacterized LOC101928046",1,-2.42266065518352,"chr14",70254946,70255446,-2.42266065518352,"chr14",70254946,70255446,98,115,119
"25870","ENSG00000129103","SUMF2","sulfatase modifying factor 2",1,-2.40342031054413,"chr7",56064119,56064619,-2.40342031054413,"chr7",56064119,56064619,97,116,120
"220064","ENSG00000149716","LTO1","LTO1 maturation factor of ABCE1",1,-2.4009087954107,"chr11",69658664,69659164,-2.4009087954107,"chr11",69658664,69659164,96,117,121
"100506753",NA,"MAILR","macrophage interferon regulatory lncRNA",1,-2.38170006439598,"chr8",102864002,102864502,-2.38170006439598,"chr8",102864002,102864502,95,118,122
"871","ENSG00000149257","SERPINH1","serpin family H member 1",1,-2.38149745856431,"chr11",75562464,75562964,-2.38149745856431,"chr11",75562464,75562964,94,119,123
"8174","ENSG00000099866","MADCAM1","mucosal vascular addressin cell adhesion molecule 1",1,-2.34948407960677,"chr19",488645,489145,-2.34948407960677,"chr19",488645,489145,93,120,124
"7008","ENSG00000167074","TEF","TEF transcription factor, PAR bZIP family member",1,-2.34906461647591,"chr22",41367026,41367526,-2.34906461647591,"chr22",41367026,41367526,92,121,125
"56907","ENSG00000134278","SPIRE1","spire type actin nucleation factor 1",1,-2.33753943327583,"chr18",12657616,12658116,-2.33753943327583,"chr18",12657616,12658116,91,122,126
"4351","ENSG00000178802","MPI","mannose phosphate isomerase",1,-2.32897212999055,"chr15",74889973,74890473,-2.32897212999055,"chr15",74889973,74890473,90,123,127
"6926","ENSG00000135111","TBX3","T-box transcription factor 3",1,-2.31818165530018,"chr12",114684666,114685166,-2.31818165530018,"chr12",114684666,114685166,89,124,128
"8331","ENSG00000276368","H2AC14","H2A clustered histone 14",1,-2.2837476170146,"chr6",27814552,27815052,-2.2837476170146,"chr6",27814552,27815052,88,125,129
"100616123","ENSG00000264979","MIR4436B1","microRNA 4436b-1",1,-2.24868305291306,"chr2",110100891,110101391,-2.24868305291306,"chr2",110100891,110101391,87,126,130
"653857","ENSG00000106526","ACTR3C","actin related protein 3C",1,-2.236622852075,"chr7",150322731,150323231,-2.236622852075,"chr7",150322731,150323231,86,127,131
"114841035","ENSG00000286264","LOC114841035","uncharacterized LOC114841035",1,-2.22901707671132,"chr11",64241166,64241666,-2.22901707671132,"chr11",64241166,64241666,85,128,132
"27245","ENSG00000126705","AHDC1","AT-hook DNA binding motif containing 1",1,-2.17645679452097,"chr1",27542659,27543159,-2.17645679452097,"chr1",27542659,27543159,84,129,133
"2101","ENSG00000173153","ESRRA","estrogen related receptor alpha",1,-2.16281059836227,"chr11",64305229,64305729,-2.16281059836227,"chr11",64305229,64305729,83,130,134
"7551","ENSG00000166526","ZNF3","zinc finger protein 3",1,-2.15844341368097,"chr7",100081616,100082116,-2.15844341368097,"chr7",100081616,100082116,82,131,135
"26092","ENSG00000143337","TOR1AIP1","torsin 1A interacting protein 1",1,-2.14507244966677,"chr1",179882436,179882936,-2.14507244966677,"chr1",179882436,179882936,81,132,136
"55702","ENSG00000105248","YJU2","YJU2 splicing factor homolog",1,-2.11376303816157,"chr19",4246864,4247364,-2.11376303816157,"chr19",4246864,4247364,80,133,137
"1534","ENSG00000008283","CYB561","cytochrome b561",1,-2.10061556787273,"chr17",63446485,63446985,-2.10061556787273,"chr17",63446485,63446985,79,134,138
"6201","ENSG00000171863","RPS7","ribosomal protein S7",1,-2.05521201542979,"chr2",3575104,3575604,-2.05521201542979,"chr2",3575104,3575604,78,135,139
"100996842","ENSG00000233223","MPDU1-AS1","MPDU1 antisense RNA 1",1,-2.04994899470623,"chr17",7583095,7583595,-2.04994899470623,"chr17",7583095,7583595,77,136,140
"541565","ENSG00000241852","C8orf58","chromosome 8 open reading frame 58",1,-2.04275548397199,"chr8",22599187,22599687,-2.04275548397199,"chr8",22599187,22599687,76,137,141
"57580","ENSG00000124126","PREX1","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1",1,-2.03089893722803,"chr20",48828450,48828950,-2.03089893722803,"chr20",48828450,48828950,75,138,142
"10922","ENSG00000164896","FASTK","Fas activated serine/threonine kinase",1,-2.02443456482352,"chr7",151081415,151081915,-2.02443456482352,"chr7",151081415,151081915,74,139,143
"414926","ENSG00000245750","LINC00593","long intergenic non-protein coding RNA 593",1,-2.01885164910003,"chr15",69857252,69857752,-2.01885164910003,"chr15",69857252,69857752,73,140,144
"3398","ENSG00000115738","ID2","inhibitor of DNA binding 2",1,-1.99329109593403,"chr2",8684979,8685479,-1.99329109593403,"chr2",8684979,8685479,72,141,145
"7157","ENSG00000141510","TP53","tumor protein p53",1,-1.98378372845093,"chr17",7686923,7687423,-1.98378372845093,"chr17",7686923,7687423,71,142,146
"23404","ENSG00000130713","EXOSC2","exosome component 2",1,-1.9837284506621,"chr9",130692685,130693185,-1.9837284506621,"chr9",130692685,130693185,70,143,147
"1112","ENSG00000053254","FOXN3","forkhead box N3",1,-1.98246216770572,"chr14",89365527,89366027,-1.98246216770572,"chr14",89365527,89366027,69,144,148
"105377769",NA,"TRIM7-AS2","TRIM7 antisense RNA 2",1,-1.96074816972948,"chr5",181184266,181184766,-1.96074816972948,"chr5",181184266,181184766,68,145,149
"11338","ENSG00000063244","U2AF2","U2 small nuclear RNA auxiliary factor 2",1,-1.95556463538114,"chr19",55654673,55655173,-1.95556463538114,"chr19",55654673,55655173,67,146,150
"79990","ENSG00000068137","PLEKHH3","pleckstrin homology, MyTH4 and FERM domain containing H3",1,-1.90404845614423,"chr17",42678156,42678656,-1.90404845614423,"chr17",42678156,42678656,66,147,151
"112267993",NA,"LOC112267993","uncharacterized LOC112267993",1,-1.89249509923094,"chr7",22822721,22823221,-1.89249509923094,"chr7",22822721,22823221,65,148,152
"2120","ENSG00000139083","ETV6","ETS variant transcription factor 6",1,-1.88762485076819,"chr12",11727077,11727577,-1.88762485076819,"chr12",11727077,11727577,64,149,153
"105373629",NA,"LOC105373629","uncharacterized LOC105373629",1,-1.88631040483611,"chr2",134677292,134677792,-1.88631040483611,"chr2",134677292,134677792,63,150,154
"124905197",NA,"LOC124905197","uncharacterized LOC124905197",1,-1.87873842801836,"chrX",71181510,71182010,-1.87873842801836,"chrX",71181510,71182010,62,151,155
"1798","ENSG00000172269","DPAGT1","dolichyl-phosphate N-acetylglucosaminephosphotransferase 1",1,-1.85629119168457,"chr11",119101761,119102261,-1.85629119168457,"chr11",119101761,119102261,61,152,156
"2248","ENSG00000186895","FGF3","fibroblast growth factor 3",1,-1.84033744222388,"chr11",69820276,69820776,-1.84033744222388,"chr11",69820276,69820776,60,153,157
"27250","ENSG00000150593","PDCD4","programmed cell death 4",1,-1.81226477279356,"chr10",110871360,110871860,-1.81226477279356,"chr10",110871360,110871860,59,154,158
"55652","ENSG00000211584","SLC48A1","solute carrier family 48 member 1",1,-1.78923993256896,"chr12",47752921,47753421,-1.78923993256896,"chr12",47752921,47753421,58,155,159
"115708","ENSG00000166166","TRMT61A","tRNA methyltransferase 61A",1,-1.76813683293085,"chr14",103528913,103529413,-1.76813683293085,"chr14",103528913,103529413,57,156,160
