chrom	start0	end	peak_id	score	strand	direction	fold	fdr	gene_chrom	gene_tss_start0	gene_tss_end	gene_id	gene_score	gene_strand	gene_name	gene_type	distance_to_TSS	dataset	coord_key	annotation_category	annotated_gene_id	annotated_gene_name	promoter_within_2kb
chr6	150914527	150915028	YEATS2KD_peak_000028	0	.	loss	-5.12211169914051	0.0256456368786518	chr6	150934967	150934968	ENSG00000218996	0	+	ARL4AP5	processed_pseudogene	19940	YEATS2KD	chr6:150914527-150915028	Other intron	ENSG00000120254	MTHFD1L	False
chr7	28020813	28021314	YEATS2KD_peak_000033	0	.	gain	3.66965990306731	0.0263906221963067	chr7	28118218	28118219	ENSG00000206623	0	-	RNU6-979P	snRNA	96905	YEATS2KD	chr7:28020813-28021314	Promoter (<=1 kb)	ENSG00000153814	JAZF1	False
chr7	74434977	74435478	YEATS2KD_peak_000014	0	.	loss	-1.85905539939515	0.0233625267651967	chr7	74452462	74452463	ENSG00000006704	0	+	GTF2IRD1	protein_coding	16985	YEATS2KD	chr7:74434977-74435478	Distal intergenic	ENSG00000006704	GTF2IRD1	False
chr7	74447762	74448263	YEATS2KD_peak_000008	0	.	loss	-3.26134218044692	0.0233625267651967	chr7	74452462	74452463	ENSG00000006704	0	+	GTF2IRD1	protein_coding	4200	YEATS2KD	chr7:74447762-74448263	Distal intergenic	ENSG00000006704	GTF2IRD1	False
chr7	100101026	100101527	YEATS2KD_peak_000021	0	.	loss	-0.630613241101217	0.024053318342939	chr7	100100840	100100841	ENSG00000221838	0	+	AP4M1	protein_coding	186	YEATS2KD	chr7:100101026-100101527	Promoter (<=1 kb)	ENSG00000166508	MCM7	True
chr8	42892495	42892996	YEATS2KD_peak_000043	0	.	gain	4.36367544982888	0.0328445358581396	chr8	42896274	42896275	ENSG00000284062	0	-	MIR4469	miRNA	3279	YEATS2KD	chr8:42892495-42892996	Other intron	ENSG00000284062	MIR4469	False
chr8	125700110	125700611	YEATS2KD_peak_000031	0	.	gain	0.792132605866247	0.0263906221963067	chr8	125750274	125750275	ENSG00000253470	0	-	ENSG00000253470	lncRNA	49664	YEATS2KD	chr8:125700110-125700611	Other intron	ENSG00000253470	LOC105375747	False
chr8	127247096	127247597	YEATS2KD_peak_000005	0	.	gain	0.958306166130182	0.0149686490097595	chr8	127227540	127227541	ENSG00000254166	0	-	CASC19	lncRNA	19556	YEATS2KD	chr8:127247096-127247597	Promoter (2-3 kb)		CASC21	False
chr8	141094876	141095377	YEATS2KD_peak_000047	0	.	loss	-4.02018127650192	0.038836746409752	chr8	141095603	141095604	ENSG00000307200	0	-	ENSG00000307200	lncRNA	227	YEATS2KD	chr8:141094876-141095377	Other intron	ENSG00000105339	DENND3	True
chr9	33366246	33366747	YEATS2KD_peak_000032	0	.	loss	-4.92548862363192	0.0263906221963067	chr9	33375630	33375631	ENSG00000305061	0	+	ENSG00000305061	lncRNA	8884	YEATS2KD	chr9:33366246-33366747	Promoter (1-2 kb)	ENSG00000086102	NFX1	False
chr9	34142789	34143290	YEATS2KD_peak_000046	0	.	loss	-3.54455651226664	0.0357236394363042	chr9	34134695	34134696	ENSG00000239392	0	-	ENSG00000239392	processed_pseudogene	8094	YEATS2KD	chr9:34142789-34143290	Distal intergenic	ENSG00000198876	DCAF12	False
chr9	96417714	96418215	YEATS2KD_peak_000009	0	.	loss	-1.78987035004743	0.0233625267651967	chr9	96418469	96418470	ENSG00000165244	0	-	ZNF367	protein_coding	255	YEATS2KD	chr9:96417714-96418215	Promoter (<=1 kb)	ENSG00000165244	ZNF367	True
chr9	114300914	114301415	YEATS2KD_peak_000018	0	.	loss	-4.05650481102104	0.0233625267651967	chr9	114322950	114322951	ENSG00000229314	0	+	ORM1	protein_coding	21536	YEATS2KD	chr9:114300914-114301415	Promoter (<=1 kb)	ENSG00000196739	COL27A1	False
chr9	127450957	127451458	YEATS2KD_peak_000048	0	.	loss	-0.688710336536719	0.038836746409752	chr9	127451468	127451469	ENSG00000148356	0	+	LRSAM1	protein_coding	11	YEATS2KD	chr9:127450957-127451458	Promoter (<=1 kb)	ENSG00000197958	RPL12	True
chr9	130107127	130107628	YEATS2KD_peak_000003	0	.	gain	3.3959323638705	0.0149686490097595	chr9	130120805	130120806	ENSG00000223188	0	+	Y_RNA	misc_RNA	13178	YEATS2KD	chr9:130107127-130107628	Promoter (<=1 kb)	ENSG00000148358	GPR107	False
chr10	5813622	5814123	YEATS2KD_peak_000038	0	.	loss	-0.811965072707566	0.026427681494301	chr10	5813984	5813985	ENSG00000272764	0	+	ENSG00000272764	lncRNA	0	YEATS2KD	chr10:5813622-5814123	Promoter (<=1 kb)	ENSG00000057608	GDI2	True
chr10	92648631	92649132	YEATS2KD_peak_000034	0	.	gain	4.76748041672186	0.026427681494301	chr10	92659043	92659044	ENSG00000264313	0	+	RN7SL644P	misc_RNA	9912	YEATS2KD	chr10:92648631-92649132	Other intron	ENSG00000152804	HHEX	False
chr11	78214953	78215454	YEATS2KD_peak_000061	0	.	loss	-3.43221492321456	0.0487277247185273	chr11	78223814	78223815	ENSG00000288538	0	+	ENSG00000288538	lncRNA	8361	YEATS2KD	chr11:78214953-78215454	3' UTR	ENSG00000118369	USP35	False
chr11	118161562	118162063	YEATS2KD_peak_000045	0	.	loss	-4.21913938899165	0.0356844243080056	chr11	118156595	118156596	ENSG00000309913	0	+	ENSG00000309913	lncRNA	4967	YEATS2KD	chr11:118161562-118162063	Other intron	ENSG00000177098	SCN4B	False
chr11	126252128	126252629	YEATS2KD_peak_000026	0	.	loss	-5.13172949777146	0.0256456368786518	chr11	126245034	126245035	ENSG00000240098	0	+	RN7SL351P	misc_RNA	7094	YEATS2KD	chr11:126252128-126252629	Other intron	ENSG00000197798	FAM118B	False
chr12	2855087	2855588	YEATS2KD_peak_000004	0	.	loss	-6.52439533991555	0.0149686490097595	chr12	2857061	2857062	ENSG00000283297	0	-	TEX52	protein_coding	1474	YEATS2KD	chr12:2855087-2855588	Promoter (1-2 kb)	ENSG00000283297	TEX52	True
chr12	2897645	2898146	YEATS2KD_peak_000057	0	.	loss	-3.69037134892831	0.0426578335778807	chr12	2885818	2885819	ENSG00000278356	0	+	ENSG00000278356	lncRNA	11827	YEATS2KD	chr12:2897645-2898146	Other intron	ENSG00000078246	TULP3	False
chr12	51961601	51962102	YEATS2KD_peak_000015	0	.	loss	-2.34497037834859	0.0233625267651967	chr12	51951674	51951675	ENSG00000135503	0	+	ACVR1B	protein_coding	9927	YEATS2KD	chr12:51961601-51962102	Other intron	ENSG00000135503	ACVR1B	False
chr12	103881888	103882389	YEATS2KD_peak_000053	0	.	loss	-3.88212153677297	0.0389825049892592	chr12	103915866	103915867	ENSG00000214198	0	-	TTC41P	transcribed_unitary_pseudogene	33478	YEATS2KD	chr12:103881888-103882389	Promoter (<=1 kb)	ENSG00000214198	TTC41P	False
chr13	50589601	50590102	YEATS2KD_peak_000035	0	.	gain	4.76748041672186	0.026427681494301	chr13	50393746	50393747	ENSG00000286191	0	-	ENSG00000286191	lncRNA	195855	YEATS2KD	chr13:50589601-50590102	Other intron	ENSG00000186047	DLEU1-AS1	False
chr13	112875519	112876020	YEATS2KD_peak_000050	0	.	loss	-3.77382326126396	0.038836746409752	chr13	112894329	112894330	ENSG00000126217	0	+	MCF2L	protein_coding	18310	YEATS2KD	chr13:112875519-112876020	Promoter (2-3 kb)	ENSG00000068650	ATP11A	False
chr15	57816371	57816872	YEATS2KD_peak_000017	0	.	gain	3.71853230504039	0.0233625267651967	chr15	57887883	57887884	ENSG00000295231	0	+	ENSG00000295231	lncRNA	71012	YEATS2KD	chr15:57816371-57816872	Distal intergenic		LOC105370834	False
chr15	58332362	58332863	YEATS2KD_peak_000059	0	.	gain	1.35854223720385	0.0483233695629193	chr15	58284369	58284370	ENSG00000304588	0	-	ENSG00000304588	lncRNA	47993	YEATS2KD	chr15:58332362-58332863	Other intron	ENSG00000128918	ALDH1A2	False
chr15	65094729	65095230	YEATS2KD_peak_000049	0	.	loss	-3.94929156310767	0.038836746409752	chr15	65089688	65089689	ENSG00000278737	0	-	ENSG00000278737	lncRNA	5041	YEATS2KD	chr15:65094729-65095230	Other exon	ENSG00000246922	UBAP1L	False
chr17	43138112	43138613	YEATS2KD_peak_000042	0	.	loss	-4.44425393254245	0.0314817032331437	chr17	43144955	43144956	ENSG00000267681	0	+	ENSG00000267681	transcribed_processed_pseudogene	6343	YEATS2KD	chr17:43138112-43138613	Other exon	ENSG00000198496	NBR2	False
chr17	43377252	43377753	YEATS2KD_peak_000011	0	.	loss	-5.78587425773247	0.0233625267651967	chr17	43368795	43368796	ENSG00000307839	0	+	ENSG00000307839	lncRNA	8457	YEATS2KD	chr17:43377252-43377753	Other exon	ENSG00000188825	LINC00910	False
chr17	48440525	48441026	YEATS2KD_peak_000054	0	.	gain	3.8813072317665	0.0389825049892592	chr17	48430274	48430275	ENSG00000141293	0	-	SKAP1	protein_coding	10251	YEATS2KD	chr17:48440525-48441026	Distal intergenic	ENSG00000141293	SKAP1	False
chr20	32657497	32657998	YEATS2KD_peak_000040	0	.	gain	4.5113420864454	0.0310955232282462	chr20	32673940	32673941	ENSG00000198547	0	-	C20orf203	protein_coding	15943	YEATS2KD	chr20:32657497-32657998	Promoter (<=1 kb)	ENSG00000198547	C20orf203	False
chr20	33339012	33339513	YEATS2KD_peak_000036	0	.	loss	-4.75177617822886	0.026427681494301	chr20	33347719	33347720	ENSG00000125997	0	+	BPIFB9P	transcribed_unitary_pseudogene	8207	YEATS2KD	chr20:33339012-33339513	Distal intergenic	ENSG00000101391	CDK5RAP1	False
chr20	34744930	34745431	YEATS2KD_peak_000013	0	.	loss	-3.83863272953696	0.0233625267651967	chr20	34741400	34741401	ENSG00000286803	0	+	ENSG00000286803	lncRNA	3530	YEATS2KD	chr20:34744930-34745431	Other intron	ENSG00000198646	NCOA6	False
chr20	38434902	38435403	YEATS2KD_peak_000029	0	.	loss	-0.63197927424993	0.0263906221963067	chr20	38435408	38435409	ENSG00000196756	0	-	SNHG17	lncRNA	6	YEATS2KD	chr20:38434902-38435403	Promoter (<=1 kb)	ENSG00000196756	SNHG17	True
chr20	45084616	45085117	YEATS2KD_peak_000001	0	.	loss	-6.87918645854009	0.0149686490097595	chr20	45101187	45101188	ENSG00000124134	0	-	KCNS1	protein_coding	16071	YEATS2KD	chr20:45084616-45085117	Distal intergenic	ENSG00000124134	KCNS1	False
chr20	58236671	58237172	YEATS2KD_peak_000022	0	.	gain	0.973867234977222	0.024053318342939	chr20	58228652	58228653	ENSG00000124227	0	-	ANKRD60	protein_coding	8019	YEATS2KD	chr20:58236671-58237172	Promoter (<=1 kb)		PPP4R1L	False
chr21	45258122	45258623	YEATS2KD_peak_000030	0	.	loss	-4.97319235477824	0.0263906221963067	chr21	45259234	45259235	ENSG00000298733	0	-	ENSG00000298733	lncRNA	612	YEATS2KD	chr21:45258122-45258623	Promoter (<=1 kb)	ENSG00000182586	LINC00334	True
chr21	46248254	46248755	YEATS2KD_peak_000058	0	.	loss	-3.56397560621006	0.0462224870311827	chr21	46246889	46246890	ENSG00000228137	0	+	ENSG00000228137	lncRNA	1365	YEATS2KD	chr21:46248254-46248755	Other intron	ENSG00000160294	MCM3AP	True
chr21	46533528	46534029	YEATS2KD_peak_000044	0	.	gain	3.33816668701587	0.0356844243080056	chr21	46525617	46525618	ENSG00000202239	0	+	RNU6-396P	snRNA	7911	YEATS2KD	chr21:46533528-46534029	Other exon	ENSG00000160305	DIP2A	False
chr22	45413309	45413810	YEATS2KD_peak_000055	0	.	loss	-1.41317798400975	0.0408049883062784	chr22	45413618	45413619	ENSG00000077935	0	-	SMC1B	protein_coding	0	YEATS2KD	chr22:45413309-45413810	Promoter (<=1 kb)	ENSG00000128408	RIBC2	True
chrX	71102166	71102667	YEATS2KD_peak_000037	0	.	loss	-4.75177617822886	0.026427681494301	chrX	71106787	71106788	ENSG00000204165	0	-	CXorf65	protein_coding	4121	YEATS2KD	chrX:71102166-71102667	Promoter (1-2 kb)	ENSG00000204165	CXorf65	False
chrX	118839119	118839620	YEATS2KD_peak_000051	0	.	loss	-1.88303755344017	0.038836746409752	chrX	118839537	118839538	ENSG00000203650	0	+	LINC01285	lncRNA	0	YEATS2KD	chrX:118839119-118839620	Promoter (<=1 kb)	ENSG00000203650	LINC01285	True
