chrom,start,end,region_id,gene_name,strand,gene_start,gene_end,source_region_chrom,source_region_start,source_region_end,distance_region_center_to_TSS
chr16,29790136,29790137,ENSG00000079616.16,KIF22,+,29790136,29805388,chr16,29789826,29790327,60
chr5,154038954,154038955,ENSG00000037749.15,MFAP3,+,154038954,154220478,chr5,154038888,154039389,184
chr11,73142484,73142485,ENSG00000137478.17,FCHSD2,-,72836041,73142485,chr11,73142782,73143283,548
chr5,134758770,134758771,ENSG00000145833.18,DDX46,+,134758770,134831121,chr5,134758370,134758871,150
chr2,3575197,3575198,ENSG00000171863.17,RPS7,+,3575197,3580952,chr2,3575103,3575604,156
chr19,2476121,2476122,ENSG00000099860.12,GADD45B,+,2476121,2478805,chr19,2541165,2541666,65294
chr15,100861923,100861924,ENSG00000184254.20,ALDH1A3,+,100861923,100916760,chr15,100803812,100804313,57861
chr5,177351839,177351840,ENSG00000169223.18,LMAN2,-,177315804,177351840,chr5,177351543,177352044,46
chr3,15065338,15065339,ENSG00000131368.11,MRPS25,-,15009610,15065339,chr3,15064984,15065485,104
chr19,40415069,40415070,ENSG00000105227.18,PRX,-,40393763,40415070,chr19,40417015,40417516,2196
chr14,49767539,49767540,ENSG00000165516.13,KLHDC2,+,49767539,49828902,chr14,49767503,49768004,214
chr1,228081840,228081841,ENSG00000143761.19,ARF1,+,228081840,228099212,chr1,228082098,228082599,508
chr10,79347460,79347461,ENSG00000108179.16,PPIF,+,79347460,79355350,chr10,79347553,79348054,343
chr11,75561563,75561564,ENSG00000149257.18,SERPINH1,+,75561563,75575646,chr11,75562463,75562964,1150
chr22,29072936,29072937,ENSG00000183762.15,KREMEN1,+,29072936,29168333,chr22,29096576,29097077,23890
chr19,10503557,10503558,ENSG00000079999.16,KEAP1,-,10484511,10503558,chr19,10502340,10502841,967
chr17,7583213,7583214,ENSG00000129255.18,MPDU1,+,7583213,7594419,chr17,7583094,7583595,131
chr7,44748547,44748548,ENSG00000122515.18,ZMIZ2,+,44748547,44770112,chr7,44748325,44748826,28
chr11,119729487,119729488,ENSG00000110400.12,NECTIN1,-,119623407,119729488,chr11,119845565,119846066,116328
chr2,200510007,200510008,ENSG00000163535.20,SGO2,+,200510007,200584096,chr2,200408679,200409180,101078
chr9,97983125,97983126,ENSG00000136938.11,ANP32B,+,97983125,98017079,chr9,97983498,97983999,623
chr1,23743152,23743153,ENSG00000011007.15,ELOA,+,23743152,23762059,chr1,23743332,23743833,430
chr19,43505300,43505301,ENSG00000176531.14,PHLDB3,-,43473624,43505301,chr19,43503952,43504453,1098
chr1,171314090,171314091,ENSG00000076258.12,FMO4,+,171314090,171343757,chr1,171339324,171339825,25484
chr5,69189536,69189537,ENSG00000153044.12,CENPH,+,69189536,69210357,chr5,69188802,69189303,484
chr1,35268663,35268664,ENSG00000146463.14,ZMYM4,+,35268663,35423213,chr1,35268432,35268933,19
chr22,38705741,38705742,ENSG00000100226.18,GTPBP1,+,38705741,38738299,chr22,38705696,38706197,205
chr7,66075799,66075800,ENSG00000126522.19,ASL,+,66075799,66094697,chr7,66075518,66076019,31
chr11,57515779,57515780,ENSG00000149150.11,SLC43A1,-,57484063,57515780,chr11,57514107,57514608,1422
chr10,110567667,110567668,ENSG00000108055.13,SMC3,+,110567667,110606063,chr10,110567137,110567638,280
chr17,753998,753999,ENSG00000179409.12,GEMIN4,-,742839,753999,chr17,752090,752591,1658
chr15,98648538,98648539,ENSG00000140443.15,IGF1R,+,98648538,98964530,chr15,98785757,98786258,137469
chr19,44890568,44890569,ENSG00000130204.15,TOMM40,+,44890568,44903695,chr19,44890484,44890985,166
chr3,150408240,150408241,ENSG00000196428.15,TSC22D2,+,150408240,150466422,chr3,150408089,150408590,99
chr6,42217880,42217881,ENSG00000048544.9,MRPS10,-,42205716,42217881,chr6,42217306,42217807,324
chr8,48008409,48008410,ENSG00000169139.14,UBE2V2,+,48008409,48067523,chr8,48007790,48008291,369
chr17,43398149,43398150,ENSG00000175906.7,ARL4D,+,43398149,43408660,chr17,43387831,43388332,10068
chr12,8019006,8019007,ENSG00000059804.20,SLC2A3,-,7919227,8019007,chr12,7994783,7995284,23973
chr20,23086392,23086393,ENSG00000125810.12,CD93,-,23065138,23086393,chr20,23136761,23137262,50619
chr20,47357805,47357806,ENSG00000101040.22,ZMYND8,-,47209213,47357806,chr20,47280966,47281467,76589
chr9,35658276,35658277,ENSG00000159884.13,CCDC107,+,35658276,35661524,chr9,35657753,35658254,273
chr12,53207309,53207310,ENSG00000139626.18,ITGB7,-,53191317,53207310,chr12,53218452,53218953,11393
chr12,52945687,52945688,ENSG00000111057.13,KRT18,+,52945687,52952911,chr12,52945537,52946038,100
chr1,153550150,153550151,ENSG00000188015.12,S100A3,-,153547328,153550151,chr1,153550517,153551018,617
chr9,121075194,121075195,ENSG00000106804.12,C5,-,120932986,121075195,chr9,121075177,121075678,233
chr7,151227165,151227166,ENSG00000285292.1,ABCF2-H2BK1,-,151207836,151227166,chr7,151226787,151227288,128
chr3,119468790,119468791,ENSG00000163389.14,POGLUT1,+,119468790,119494708,chr3,119464264,119464765,4276
chr6,33580304,33580305,ENSG00000030110.16,BAK1,-,33568790,33580305,chr6,33571343,33571844,8711
chr17,29589768,29589769,ENSG00000198720.15,ANKRD13B,+,29589768,29614761,chr17,29580474,29580975,9044
chr15,65792306,65792307,ENSG00000174485.18,DENND4A,-,65658045,65792307,chr15,65868970,65869471,76914
chr7,149028666,149028667,ENSG00000155660.13,PDIA4,-,149003045,149028667,chr7,149028911,149029412,495
chr7,520704,520705,ENSG00000197461.15,PDGFA,-,497257,520705,chr7,460939,461440,59515
chr7,74082932,74082933,ENSG00000106683.17,LIMK1,+,74082932,74122527,chr7,74092552,74093053,9870
chr17,75515620,75515621,ENSG00000177303.12,CASKIN2,-,75500260,75515621,chr17,75515515,75516016,145
chr3,51996020,51996021,ENSG00000162244.14,RPL29,-,51993521,51996021,chr3,51995392,51995893,378
chr17,81871377,81871378,ENSG00000141522.15,ARHGDIA,-,81867718,81871378,chr17,81871522,81872023,395
chr19,55654114,55654115,ENSG00000063244.16,U2AF2,+,55654114,55674717,chr19,55654672,55655173,808
chr17,2511903,2511904,ENSG00000127804.14,METTL16,-,2405561,2511904,chr17,2511643,2512144,10
chr1,179883033,179883034,ENSG00000169905.15,TOR1AIP2,-,179839966,179883034,chr1,179882435,179882936,348
chr6,3231402,3231403,ENSG00000180822.14,PSMG4,+,3231402,3304360,chr6,3194881,3195382,36271
chr1,225810047,225810048,ENSG00000143819.15,EPHX1,+,225810047,225845567,chr1,225817802,225818303,8005
chr7,4775609,4775610,ENSG00000242802.11,AP5Z1,+,4775609,4794397,chr7,4775362,4775863,3
chr4,127781820,127781821,ENSG00000164070.14,HSPA4L,+,127781820,127840733,chr4,127781946,127782447,376
chr16,89418291,89418292,ENSG00000288715.2,ENSG00000288715,-,89317045,89418292,chr16,89325902,89326403,92139
chr15,64841882,64841883,ENSG00000249240.2,ENSG00000249240,+,64841882,64930920,chr15,64841997,64842498,365
chrX,14029927,14029928,ENSG00000046647.17,GEMIN8,-,13998098,14029928,chrX,14029058,14029559,619
chr6,125956732,125956733,ENSG00000111911.9,HINT3,+,125956732,125980315,chr6,125956680,125957181,198
chrX,71212810,71212811,ENSG00000169562.15,GJB1,+,71212810,71225519,chrX,71181509,71182010,31051
chrX,149938880,149938881,ENSG00000197021.11,EOLA2,-,149921939,149938881,chrX,149939159,149939660,529
chr11,69675415,69675416,ENSG00000149716.15,LTO1,-,69653071,69675416,chr11,69658663,69659164,16502
chr14,103847615,103847616,ENSG00000088808.20,PPP1R13B,-,103733176,103847616,chr14,103880433,103880934,33068
chr3,48188427,48188428,ENSG00000164045.14,CDC25A,-,48157145,48188428,chr3,48186584,48187085,1593
chr2,110116074,110116075,ENSG00000144063.6,MALL,-,110083869,110116075,chr2,110100890,110101391,14934
chr15,70098175,70098176,ENSG00000140332.20,TLE3,-,70047773,70098176,chr15,69857251,69857752,240674
chr1,148483301,148483302,ENSG00000236334.3,PPIAL4G,-,148482547,148483302,chr1,148522589,148523090,39538
chr2,3379668,3379669,ENSG00000171853.18,TRAPPC12,+,3379668,3485094,chr2,3378850,3379351,568
chr19,41859847,41859848,ENSG00000105372.10,RPS19,+,41859847,41872931,chr19,41859961,41860462,364
chr17,80545074,80545075,ENSG00000289764.2,ENSG00000289764,+,80545074,80545134,chr17,80584046,80584547,39222
chr1,1206813,1206814,ENSG00000186891.15,TNFRSF18,-,1203507,1206814,chr1,1201483,1201984,5080
chr16,3022540,3022541,ENSG00000131652.16,THOC6,+,3022540,3027755,chr16,3021244,3021745,1046
chr10,101695297,101695298,ENSG00000107829.17,FBXW4,-,101610662,101695298,chr10,101694008,101694509,1039
chr5,159865079,159865080,ENSG00000170214.6,ADRA1B,+,159865079,159973012,chr5,159916012,159916513,51183
chr2,27073829,27073830,ENSG00000228474.8,OST4,-,27058734,27073830,chr2,27071298,27071799,2281
chr15,75843109,75843110,ENSG00000140367.14,UBE2Q2,+,75843109,75901116,chr15,75842608,75843109,251
chr2,8678844,8678845,ENSG00000115738.12,ID2,+,8678844,8684461,chr2,8631923,8632424,46671
chr17,7242485,7242486,ENSG00000170296.12,GABARAP,-,7240007,7242486,chr17,7242324,7242825,89
chr1,153923359,153923360,ENSG00000143614.13,GATAD2B,-,153789029,153923360,chr1,153923312,153923813,203
chr7,150323262,150323263,ENSG00000127399.16,LRRC61,+,150323262,150338156,chr7,150322730,150323231,282
chr7,2679275,2679276,ENSG00000174945.16,AMZ1,+,2679275,2775500,chr7,2757505,2758006,78480
chr14,89619495,89619496,ENSG00000053254.18,FOXN3,-,89124870,89619496,chr14,89365526,89366027,253719
chr20,44531747,44531748,ENSG00000168734.16,PKIG,+,44531747,44624819,chr20,44531841,44532342,344
chr8,119856021,119856022,ENSG00000136982.8,DSCC1,-,119833943,119856022,chr8,119855918,119856419,147
chr11,62727686,62727687,ENSG00000162222.16,TTC9C,+,62727686,62740293,chr11,62727801,62728302,365
chr7,56064001,56064002,ENSG00000129103.21,SUMF2,+,56064001,56087955,chr7,56064118,56064619,367
chr9,19380298,19380299,ENSG00000137154.15,RPS6,-,19200286,19380299,chr9,19379343,19379844,705
chr2,231592863,231592864,ENSG00000177673.4,TEX44,+,231592863,231594276,chr2,231612636,231613137,20023
chr2,108989371,108989372,ENSG00000135960.12,EDAR,-,108894470,108989372,chr2,108967111,108967612,22010
chr14,103523166,103523167,ENSG00000166165.16,CKB,-,103519659,103523167,chr14,103528912,103529413,5996
chr9,94726603,94726604,ENSG00000148120.21,AOPEP,+,94726603,95151793,chr9,95031350,95031851,304997
chr12,6199714,6199715,ENSG00000010278.17,CD9,+,6199714,6238271,chr12,6228794,6229295,29330
chr19,7903822,7903823,ENSG00000076984.20,MAP2K7,+,7903822,7914480,chr19,7903514,7904015,58
chr1,39081315,39081316,ENSG00000127603.33,MACF1,+,39081315,39487755,chr1,39192021,39192522,110956
chr8,22693479,22693480,ENSG00000179388.9,EGR3,-,22687658,22693480,chr8,22693278,22693779,49
chr19,1592910,1592911,ENSG00000071655.20,MBD3,-,1573595,1592911,chr19,1591939,1592440,721
chr20,34311801,34311802,ENSG00000101444.14,AHCY,-,34280262,34311802,chr20,34302516,34303017,9035
chr12,52291533,52291534,ENSG00000205426.11,KRT81,-,52285912,52291534,chr12,52280608,52281109,10675
chr9,129587809,129587810,ENSG00000148335.17,NTMT1,+,129587809,129636744,chr9,129413988,129414489,173571
chr1,45326894,45326895,ENSG00000186603.7,HPDL,+,45326894,45328710,chr1,45326813,45327314,169
chr9,97922569,97922570,ENSG00000136932.18,TRMO,-,97894511,97922570,chr9,97921414,97921915,905
chr20,51802577,51802578,ENSG00000101115.14,SALL4,-,51782330,51802578,chr20,52001854,52002355,199527
chr5,181205308,181205309,ENSG00000146054.20,TRIM7,-,181193923,181205309,chr5,181184265,181184766,20793
chr17,18183033,18183034,ENSG00000091542.10,ALKBH5,+,18183033,18209954,chr17,18183112,18183613,329
chr11,119102197,119102198,ENSG00000172375.16,C2CD2L,+,119102197,119118544,chr11,119101760,119102261,187
chr13,44372085,44372086,ENSG00000151778.13,SERP2,+,44372085,44397716,chr13,44281110,44281611,90725
chr20,48828095,48828096,ENSG00000124126.16,PREX1,-,48624248,48828096,chr20,48828449,48828950,604
chr9,35072724,35072725,ENSG00000165280.20,VCP,-,35053927,35072725,chr9,35072224,35072725,250
chr5,91383347,91383348,ENSG00000113369.10,ARRDC3,-,91368630,91383348,chr5,91314093,91314594,69004
chr7,151080880,151080881,ENSG00000164896.23,FASTK,-,151076584,151080881,chr7,151081414,151081915,784
chr16,68084750,68084751,ENSG00000072736.20,NFATC3,+,68084750,68229259,chr16,68085185,68085686,685
chr19,2456991,2456992,ENSG00000176619.15,LMNB2,-,2427637,2456992,chr19,2462580,2463081,5839
chr4,52751896,52751897,ENSG00000226887.10,ERVMER34-1,-,52722617,52751897,chr4,52712645,52713146,39001
chr6,111873478,111873479,ENSG00000010810.20,FYN,-,111660331,111873479,chr6,111793648,111794149,79580
chr22,41367332,41367333,ENSG00000167074.17,TEF,+,41367332,41399326,chr22,41367025,41367526,57
chr3,14124875,14124876,ENSG00000163528.15,CHCHD4,-,14112076,14124876,chr3,14124339,14124840,286
chr7,131110095,131110096,ENSG00000128585.20,MKLN1,+,131110095,131496632,chr7,131008067,131008568,101778
chr12,114684413,114684414,ENSG00000135111.17,TBX3,-,114670254,114684414,chr12,114684665,114685166,502
chr2,134719167,134719168,ENSG00000152128.15,TMEM163,-,134455758,134719168,chr2,134677291,134677792,41626
chr6,34392831,34392832,ENSG00000272325.4,NUDT3,-,34263256,34392832,chr6,34391187,34391688,1394
chr19,4247061,4247062,ENSG00000105248.18,YJU2,+,4247061,4269091,chr19,4246863,4247364,52
chr5,135400022,135400023,ENSG00000113648.19,MACROH2A1,-,135332640,135400023,chr5,135263550,135264051,136222
chr15,74890004,74890005,ENSG00000178802.20,MPI,+,74890004,74902219,chr15,74889972,74890473,218
chr20,62367332,62367333,ENSG00000130702.16,LAMA5,-,62307954,62367333,chr20,62387028,62387529,19946
chr20,63739757,63739758,ENSG00000125520.16,SLC2A4RG,+,63739757,63744603,chr20,63740822,63741323,1315
chr7,45112047,45112048,ENSG00000136270.16,TBRG4,-,45097496,45112048,chr7,45110913,45111414,884
chr6,149749196,149749197,ENSG00000120265.23,PCMT1,+,149749196,149811422,chr6,149749118,149749619,172
chr8,22599587,22599588,ENSG00000241852.13,C8orf58,+,22599587,22604271,chr8,22599186,22599687,151
chr16,2155691,2155692,ENSG00000131653.16,TRAF7,+,2155691,2178129,chr16,2153848,2154349,1593
chr19,489175,489176,ENSG00000099866.18,MADCAM1,+,489175,505343,chr19,488644,489145,281
chr15,72654696,72654697,ENSG00000215186.8,GOLGA6B,+,72654696,72669599,chr15,72616575,72617076,37871
chr12,11649613,11649614,ENSG00000139083.13,ETV6,+,11649613,11895386,chr12,11727076,11727577,77713
chr3,48989857,48989858,ENSG00000178467.20,P4HTM,+,48989857,49007153,chr3,48989941,48990442,334
chr11,69819415,69819416,ENSG00000186895.4,FGF3,-,69809967,69819416,chr11,69820275,69820776,1110
chr9,34612604,34612605,ENSG00000164967.12,RPP25L,-,34610485,34612605,chr9,34611929,34612430,425
chr12,9664968,9664969,ENSG00000069493.16,CLEC2D,+,9664968,9699553,chr12,9647462,9647963,17256
chr17,45061136,45061137,ENSG00000172992.15,DCAKD,-,45023337,45061137,chr17,45051484,45051985,9402
chr14,70189479,70189480,ENSG00000100678.22,SLC8A3,-,70044214,70189480,chr14,70254945,70255446,65716
chr17,42677063,42677064,ENSG00000068137.17,PLEKHH3,-,42667913,42677064,chr17,42678155,42678656,1342
chr4,108620507,108620508,ENSG00000109475.20,RPL34,+,108620507,108632886,chr4,108620562,108621063,305
chr19,19138512,19138513,ENSG00000064545.17,TMEM161A,-,19119147,19138513,chr19,19138042,19138543,220
chr9,21995300,21995301,ENSG00000147889.19,CDKN2A,-,21966923,21995301,chr9,21994449,21994950,601
chr16,89948013,89948014,ENSG00000140995.19,DEF8,+,89948013,89968079,chr16,89972310,89972811,24547
chr7,157335380,157335381,ENSG00000105993.17,DNAJB6,+,157335380,157432974,chr7,157299588,157300089,35542
chr18,12658042,12658043,ENSG00000128789.24,PSMG2,+,12658042,12728945,chr18,12657615,12658116,177
chr14,101964518,101964519,ENSG00000197102.16,DYNC1H1,+,101964518,102056443,chr14,101947809,101948310,16459
chr5,151770950,151770951,ENSG00000145907.18,G3BP1,+,151770950,151812911,chr5,151771148,151771649,448
chr11,64305079,64305080,ENSG00000173153.19,ESRRA,+,64305079,64317859,chr11,64305228,64305729,399
chr15,75023549,75023550,ENSG00000138621.14,PPCDC,+,75023549,75117462,chr15,75023485,75023986,186
chr22,38214777,38214778,ENSG00000184381.22,PLA2G6,-,38111494,38214778,chr22,38230079,38230580,15552
chr8,47960184,47960185,ENSG00000104738.21,MCM4,+,47960184,47979181,chr8,47960027,47960528,93
chr1,27490307,27490308,ENSG00000158195.13,WASF2,-,27404225,27490308,chr1,27542658,27543159,52601
chr10,110871789,110871790,ENSG00000150593.20,PDCD4,+,110871789,110900013,chr10,110871359,110871860,180
chr12,6867118,6867119,ENSG00000111669.17,TPI1,+,6867118,6878513,chr12,6867482,6867983,614
chr8,102863859,102863860,ENSG00000289653.1,ENSG00000289653,-,102858045,102863860,chr8,102864001,102864502,392
chr7,32957403,32957404,ENSG00000122642.13,FKBP9,+,32957403,33006931,chr7,32957183,32957684,30
chr13,99446310,99446311,ENSG00000125304.12,TM9SF2,+,99446310,99564048,chr13,99498456,99498957,52396
chr7,76048036,76048037,ENSG00000146701.14,MDH2,+,76048036,76067508,chr7,76048038,76048539,252
chr20,63696367,63696368,ENSG00000243509.8,TNFRSF6B,+,63696367,63698689,chr20,63680240,63680741,15877
chr12,108633893,108633894,ENSG00000110876.13,SELPLG,-,108620412,108633894,chr12,108661622,108662123,27979
chr13,41060606,41060607,ENSG00000120688.11,WBP4,+,41060606,41084012,chr13,41060322,41060823,34
chr7,139341359,139341360,ENSG00000269955.2,FMC1-LUC7L2,+,139341359,139422599,chr7,139340849,139341350,260
chr12,47753915,47753916,ENSG00000211584.16,SLC48A1,+,47753915,47782751,chr12,47752920,47753421,745
chr17,7687545,7687546,ENSG00000141510.21,TP53,-,7661778,7687546,chr17,7686922,7687423,373
chr7,100867125,100867126,ENSG00000087077.16,TRIP6,+,100867125,100873524,chr7,100866707,100867208,168
chr17,15475732,15475733,ENSG00000239704.14,CDRT4,-,15433936,15475733,chr17,15463969,15464470,11513
chr5,159263071,159263072,ENSG00000164332.10,UBLCP1,+,159263071,159287721,chr5,159263360,159263861,539
chr17,8124113,8124114,ENSG00000179111.10,HES7,-,8120591,8124114,chr17,8138688,8139189,14825
chr5,139646374,139646375,ENSG00000171604.14,CXXC5,+,139646374,139683882,chr5,139660678,139661179,14554
chr12,6942918,6942919,ENSG00000111678.13,C12orf57,+,6942918,6946009,chr12,6937496,6937997,5172
chr4,98658712,98658713,ENSG00000168785.10,TSPAN5,-,98470364,98658713,chr4,98523224,98523725,135238
chr10,97821897,97821898,ENSG00000155265.14,GOLGA7B,+,97821897,97871580,chr10,97843008,97843509,21361
chr7,22822890,22822891,ENSG00000196683.13,TOMM7,-,22812627,22822891,chr7,22822720,22823221,80
chrX,41085345,41085346,ENSG00000124486.17,USP9X,+,41085345,41236579,chrX,41084667,41085168,428
chr19,42302097,42302098,ENSG00000188368.13,PRR19,+,42302097,42310821,chr19,42302310,42302811,463
chr6,27814776,27814777,ENSG00000276368.2,H2AC14,-,27814301,27814777,chr6,27814551,27815052,25
chr12,52192310,52192311,ENSG00000167767.15,KRT80,-,52168995,52192311,chr12,52147123,52147624,44937
chr2,174248660,174248661,ENSG00000138430.18,OLA1,-,174072446,174248661,chr2,174248834,174249335,424
chr11,61892135,61892136,ENSG00000221968.11,FADS3,-,61873514,61892136,chr11,61871163,61871664,20722
chr2,10297409,10297410,ENSG00000115756.15,HPCAL1,+,10297409,10427835,chr2,10302481,10302982,5322
chr13,113297087,113297088,ENSG00000185896.13,LAMP1,+,113297087,113324413,chr13,113296787,113297288,50
chr9,130693720,130693721,ENSG00000130713.19,EXOSC2,+,130693720,130707608,chr9,130692684,130693185,786
chr6,24720899,24720900,ENSG00000112308.16,C6orf62,-,24704104,24720900,chr6,24721506,24722007,857
