"seqnames","start","end","width","strand","Conc","Conc_p53KD","Conc_Scramble","Fold","p.value","FDR"
"chrX",149939160,149939660,501,"*",4.17062755078389,0,5.17062755078389,-5.02463156599194,0.000213381349145493,0.00755510666974482
"chr11",69658664,69659164,501,"*",5.33908006009513,2.59607528208403,6.22709388821146,-2.4009087954107,0.000226309075650176,0.00792573741027029
"chr14",103880434,103880934,501,"*",4.10146936634528,0,5.10146936634528,-4.91834987494902,0.000237879689968363,0.00817621769513532
"chr3",48186585,48187085,501,"*",4.05506652814347,0,5.05506652814347,-4.8936313725974,0.000238536456655096,0.00817621769513532
"chr2",110100891,110101391,501,"*",5.1930494609749,2.63556275632753,6.06499463603586,-2.24868305291306,0.000242230775996235,0.00821544800273545
"chr15",69857252,69857752,501,"*",5.35375292101548,3.18200724425841,6.18405534251645,-2.01885164910003,0.000254055991877064,0.00852675422737396
"chr1",148522590,148523090,501,"*",4.05059823540754,0,5.05059823540754,-4.82506829705604,0.00026330384912712,0.00874603094729466
"chr2",3378851,3379351,501,"*",4.11245261416125,0,5.11245261416125,-4.82599838963653,0.000274610329406273,0.00902851511578583
"chr19",41859962,41860462,501,"*",6.86903417492178,5.47038040934284,7.56566646186995,-1.59059357178803,0.000280669547738359,0.00913451800821206
"chr17",80584047,80584547,501,"*",4.00839388573898,0,5.00839388573898,-4.72064738073247,0.000297701352809289,0.0095919375875153
"chr1",1201484,1201984,501,"*",4.03749807553229,0,5.03749807553229,-4.72329748243427,0.000302382856079474,0.00964631249790165
"chr16",3021245,3021745,501,"*",4.10771135221243,0,5.10771135221243,-4.73826934672162,0.000310516890043054,0.00974205939825343
"chr10",101694009,101694509,501,"*",4.52465571662697,0,5.50463151841371,-4.16865260813796,0.000311431445692149,0.00974205939825343
"chr5",159916013,159916513,501,"*",3.98895557918687,0,4.98895557918687,-4.65042636111053,0.000324794056880404,0.0100623697237371
"chr2",27071299,27071799,501,"*",5.08056824986761,1.59898171425524,6.01450061108938,-2.8079071689536,0.000329606908697299,0.0101142234268828
"chr15",75842609,75843109,501,"*",4.5418862787086,0,5.5221014509604,-4.13460412067488,0.000335760943924386,0.0102058656728714
"chr2",8631924,8632424,501,"*",4.29836473708735,0,5.29836473708735,-4.65360735024883,0.000387904000088636,0.0116148467683032
"chr17",7242325,7242825,501,"*",5.00033708576986,0.937951075149173,5.9565016134704,-3.13846378190671,0.000389324472680553,0.0116148467683032
"chr1",153923313,153923813,501,"*",4.1314743668922,0,5.1314743668922,-4.55349847103853,0.00040389957691248,0.0119391232735047
"chr7",150322731,150323231,501,"*",4.78722883547326,2.1037893526705,5.67032584772426,-2.236622852075,0.000436788994852464,0.0127939467401331
"chr7",2757506,2758006,501,"*",5.78347611760558,3.97676951427345,6.56097561481767,-1.76495325977625,0.000488726441905284,0.0141862756380074
"chr14",89365527,89366027,501,"*",5.59735390023904,3.32676630095142,6.4395318715992,-1.98246216770572,0.0005063994554848,0.0144498537826234
"chr20",44531842,44532342,501,"*",4.73701902157798,0,5.72400509165867,-4.00938451991166,0.000509601543545478,0.0144498537826234
"chr8",119855919,119856419,501,"*",3.93655464778031,0,4.93655464778031,-4.29186619733906,0.000511261120800454,0.0144498537826234
"chr11",62727802,62728302,501,"*",5.65661723424054,2.34377711220241,6.58213674893474,-2.62907312882693,0.000516394210785067,0.0144680186708651
"chr7",56064119,56064619,501,"*",4.8744841666156,1.81074975044244,5.78552526033769,-2.40342031054413,0.000525336808353624,0.0145916827285808
"chr9",19379344,19379844,501,"*",5.910473065378,4.30154613017071,6.65218414562781,-1.65593620787955,0.000550158784609385,0.0151505265300123
"chr2",231612637,231613137,501,"*",4.9196240663968,1.25987917003653,5.86138862440577,-2.74488048936133,0.00055507713831228,0.0151564283020522
"chr2",108967112,108967612,501,"*",4.34259479732643,0.155087007709125,5.3024520429384,-3.14108886104607,0.000561616234314034,0.015206113503864
"chr14",103528913,103529413,501,"*",5.47768821121265,3.63272916482704,6.2614689430804,-1.76813683293085,0.000577007892236647,0.0153836044497207
"chr9",95031351,95031851,501,"*",3.88261084237095,0,4.88261084237095,-4.16923862043285,0.00058244463545256,0.0153836044497207
"chr12",6228795,6229295,501,"*",4.60711293778499,1.43612393533898,5.52471334145671,-2.47002326343868,0.000582495264700786,0.0153836044497207
"chr19",7903515,7904015,501,"*",5.8697996240598,2.66570520708977,6.78932244766434,-2.49926393498471,0.000626498602009623,0.0164112072819106
"chr1",39192022,39192522,501,"*",4.77485626772397,0.937951075149173,5.72347176321666,-2.80354780679428,0.000636947082085364,0.0164374001622942
"chr8",22693279,22693779,501,"*",5.13467159860504,0.937951075149173,6.09478793522207,-3.0310763612936,0.000637701744347231,0.0164374001622942
"chr19",1591940,1592440,501,"*",6.66710049881476,5.31852014798618,7.35175923917185,-1.50592086696299,0.00065828581300745,0.0168333086469048
"chr20",34302517,34303017,501,"*",6.04410869275406,4.79894319748385,6.70233434280686,-1.4418919551044,0.000707274868184826,0.0177818261323512
"chr12",52280609,52281109,501,"*",4.44113295940269,0,5.42514007975326,-3.644998776146,0.000708286053461007,0.0177818261323512
"chr9",129413989,129414489,501,"*",5.82726797626222,4.07431055715419,6.59560649979704,-1.70545461077476,0.000711935310699349,0.0177818261323512
"chr1",45326814,45327314,501,"*",5.74942377057117,4.25435935340558,6.46771744065126,-1.57647572551508,0.000724414618807764,0.0179543377061432
"chr9",97921415,97921915,501,"*",4.54896412052152,0,5.53412895789105,-3.65569981018189,0.000752413920362292,0.0185059362702848
"chr5",181184266,181184766,501,"*",4.9708282123221,2.63272916482704,5.82061075352791,-1.96074816972948,0.000790062487979323,0.0191397092952585
"chr17",18183113,18183613,501,"*",6.00744633782195,4.70538041772099,6.6805096764927,-1.46532542503249,0.000805914692787028,0.0193780383594015
"chr11",119101761,119102261,501,"*",6.18201934015185,4.05986963346318,7.00600963201923,-1.85629119168457,0.000820823702433498,0.0195903256980795
"chr13",44281111,44281611,501,"*",5.3747688435743,3.59607528208403,6.14754367750255,-1.69404549838532,0.000835788560082868,0.0198008142690221
"chr20",48828450,48828950,501,"*",4.93793769116186,2.39403987215541,5.80861504000247,-2.03089893722803,0.000850961290974045,0.0200131188286013
"chr9",35072225,35072725,501,"*",5.74156099264992,4.15508700770912,6.47882869372652,-1.60284023935817,0.00087593200406841,0.0204511080949885
"chr5",91314094,91314594,501,"*",4.33487357240998,0,5.31201172592327,-3.41120551556583,0.000900226861557011,0.0208671291218467
"chr7",151081415,151081915,501,"*",4.95263043179252,2.39403987215541,5.82467802304214,-2.02443456482352,0.000914070801883075,0.0210366865976233
"chr16",68085186,68085686,501,"*",3.7382065957149,0,4.7382065957149,-3.69896161746697,0.000983983470859952,0.0224850691000763
"chr19",2462581,2463081,501,"*",5.84723113112767,4.43693632727926,6.54657416342459,-1.4998839877945,0.00100410862527962,0.0227833661313445
"chr4",52712646,52713146,501,"*",5.84653130508018,4.49859132776689,6.53103355516344,-1.46968459148588,0.00101375901783056,0.0228414794087417
"chr6",111793649,111794149,501,"*",5.46228094735834,3.82417537473507,6.20964422106046,-1.60709212982622,0.00104732938006162,0.0234339948788788
"chr22",41367026,41367526,501,"*",5.73351837809565,2.51370211364472,6.65393795274725,-2.34906461647591,0.00107112261140775,0.0238010831307294
"chr3",14124340,14124840,501,"*",5.04912175218438,1.66570520708977,5.97828593562255,-2.44329816168043,0.00108634694540911,0.0239740401240284
"chr7",131008068,131008568,501,"*",4.89675118438917,1.34377711220241,5.83394361909749,-2.52473239727182,0.00112208943291616,0.0245943683867746
"chr12",114684666,114685166,501,"*",5.06114146617318,1.74530599720678,5.98681950636322,-2.31818165530018,0.00116409153254114,0.0250873974608285
"chr2",134677292,134677792,501,"*",5.56141945763854,3.20843434535158,6.41282623352777,-1.88631040483611,0.00116557546495654,0.0250873974608285
"chr6",34391188,34391688,501,"*",4.2433175721596,0,5.21894512404956,-3.20018294152249,0.00117033825769123,0.0250873974608285
"chr19",4246864,4247364,501,"*",4.53062647461348,1.6712391391212,5.42763710049487,-2.11376303816157,0.00117572843469432,0.0250873974608285
"chr5",135263551,135264051,501,"*",5.60133642742396,4.04953831088752,6.33157666825657,-1.55370076134645,0.00119184231649796,0.0252639206826081
"chr15",74889973,74890473,501,"*",5.10441938126188,1.74530599720678,6.03234962071362,-2.32897212999055,0.00120593543414437,0.0253155648107775
"chr20",62387029,62387529,501,"*",6.14203870280355,4.51080370699819,6.8880833296015,-1.58278251681534,0.00120999285563617,0.0253155648107775
"chr20",63740823,63741323,501,"*",4.27861150526242,0.155087007709125,5.23662161290124,-2.74685632648292,0.00122062554204174,0.0253732612674741
"chr7",45110914,45111414,501,"*",5.55251800206093,3.66985764489258,6.34230300960179,-1.68996114687735,0.00126659892675075,0.0261601393717366
"chr6",149749119,149749619,501,"*",4.15858874758752,0,5.1391125501116,-3.09573229163183,0.00135482195571371,0.0278040531293603
"chr8",22599187,22599687,501,"*",4.83103672499867,1.99537487684733,5.72627614444522,-2.04275548397199,0.00142896688295258,0.0291400714991976
"chr16",2153849,2154349,501,"*",5.6461430936975,4.25528079069332,6.34094591764823,-1.46352637751556,0.00148228964695993,0.0300373411478296
"chr19",488645,489145,501,"*",4.76802307664604,1.34377711220241,5.69921177668966,-2.34948407960677,0.00151920804487043,0.0304074563347914
"chr15",72616576,72617076,501,"*",5.89020017320047,4.48941070836479,6.58733180384206,-1.46055485175981,0.00152309170120728,0.0304074563347914
"chr12",11727077,11727577,501,"*",4.82012458428852,2.39068928698926,5.67958683868347,-1.88762485076819,0.00152886651962638,0.0304074563347914
"chr3",48989942,48990442,501,"*",3.63050974269795,0,4.63050974269795,-3.30002738959739,0.00154258646387883,0.0304921078933594
"chr11",69820276,69820776,501,"*",4.76112319694959,2.39403987215541,5.61405120928896,-1.84033744222388,0.00156407464107189,0.0307283444727661
"chr9",34611930,34612430,501,"*",5.79652281089874,4.48862734208188,6.47106512860227,-1.41227440413875,0.00165285154388058,0.0322756828750499
"chr12",9647463,9647963,501,"*",5.17229579317458,3.25435935340559,5.96753679499019,-1.6694524799361,0.0016693560442507,0.0324015974372033
"chr17",45051485,45051985,501,"*",3.61900306394498,0,4.61900306394498,-3.21622947180225,0.0017030765835079,0.0327680191839872
"chr14",70254946,70255446,501,"*",4.38411950216326,0.522913575870329,5.33360847198566,-2.42266065518352,0.0017085745570794,0.0327680191839872
"chr17",42678156,42678656,501,"*",5.03370445731204,2.47701510259649,5.9055756005815,-1.90404845614423,0.00172826800213452,0.0329495828572629
"chr4",108620563,108621063,501,"*",5.61547080681005,3.37422583782207,6.45421791402585,-1.76767712280142,0.00175455399583921,0.033253958674082
"chr19",19138043,19138543,501,"*",5.56134318388089,3.80698416778353,6.329925707389,-1.59513927592965,0.00182941259742726,0.0344474927102648
"chr9",21994450,21994950,501,"*",5.04524584776383,2.90131218712234,5.8720387557096,-1.74099767690695,0.00183891022537727,0.0344474927102648
"chr16",89972311,89972811,501,"*",5.73237273260545,3.88977585869386,6.51577117247249,-1.61701005070316,0.00186029777274664,0.0346467018716167
"chr7",157299589,157300089,501,"*",4.01806935291199,0,4.99658579807752,-2.81532620427293,0.00192955361806633,0.0355258386137699
"chr18",12657616,12658116,501,"*",4.56048006799401,0.928739612923563,5.50107934188022,-2.33753943327583,0.00200027524577435,0.0366186752379826
"chr14",101947810,101948310,501,"*",5.95277098957497,3.9942714777007,6.75409860246456,-1.64279568699129,0.00210034262168206,0.0382333555201107
"chr5",151771149,151771649,501,"*",5.88635974758506,4.18394421497639,6.64571059653568,-1.54325015495521,0.00222186250193367,0.0402182077597206
"chr11",64305229,64305729,501,"*",5.5035248824869,2.15113203426001,6.43111002663233,-2.16281059836227,0.00224625899619876,0.0404326619315777
"chr15",75023486,75023986,501,"*",5.86429612116542,4.66985764489258,6.50865406323056,-1.33350794737468,0.00234054097736709,0.0418367886583068
"chr22",38230080,38230580,501,"*",3.55896974983151,0,4.55896974983151,-2.94017231836828,0.0023502354894952,0.0418367886583068
"chr8",47960028,47960528,501,"*",6.1697662019,5.10225384170218,6.77654854888289,-1.26599376266524,0.00238598945158983,0.0421453618458237
"chr1",27542659,27543159,501,"*",4.82223602535899,1.25987917003653,5.75984454573992,-2.17645679452097,0.00239373098007006,0.0421453618458237
"chr10",110871360,110871860,501,"*",5.01515091305475,2.51677914059933,5.88148421562567,-1.81226477279356,0.00242071880517855,0.0423888912515506
"chr12",6867483,6867983,501,"*",6.28310676116784,5.1872117989664,6.89866825295231,-1.27745340587294,0.0024400122361084,0.0424957806742772
"chr8",102864002,102864502,501,"*",4.33379314323926,0.343777112202407,5.28766623693483,-2.38170006439598,0.00249817959865993,0.0431180774279267
"chr7",32957184,32957684,501,"*",5.23299391253768,3.15311087624414,6.05140801064583,-1.66902945340259,0.0025041976799182,0.0431180774279267
"chr13",99498457,99498957,501,"*",5.14094439196549,2.77583267522761,5.99366065146318,-1.74893873793544,0.00251589030305718,0.0431180774279267
"chr7",76048039,76048539,501,"*",6.19195191457543,4.52883916450536,6.94405210020034,-1.51605638733043,0.00257432594087708,0.043601945597182
"chr12",108661623,108662123,501,"*",3.60855964039225,0,4.60855964039225,-2.87289645583534,0.0025847211697895,0.043601945597182
"chr13",41060323,41060823,501,"*",5.41867776356196,3.47701510259649,6.21750282278604,-1.6057765719548,0.00269004391584354,0.0451422994627494
"chr7",139340850,139341350,501,"*",5.68506596934072,4.16665223297913,6.40834534609895,-1.46477047956167,0.00270651866018323,0.0451834358710382
"chr12",47752921,47753421,501,"*",4.77702266013716,2.20843434535158,5.64999395900693,-1.78923993256896,0.00279898765533193,0.0463700895599328
"chr17",7686923,7687423,501,"*",5.28165150721295,2.10787607659148,6.19941552314467,-1.98378372845093,0.00282880909566655,0.0463700895599328
"chr7",100866708,100867208,501,"*",6.13520023035176,4.87979655114558,6.79615043089363,-1.34549896459225,0.0028349228726214,0.0463700895599328
"chr17",15463970,15464470,501,"*",4.8169500704516,2.55547652283788,5.65807071964543,-1.70544585551402,0.00283516686632736,0.0463700895599328
"chr5",159263361,159263861,501,"*",4.37948747591031,0,5.37948747591031,-2.89426137821771,0.00286292053284118,0.046462211042283
"chr17",8138689,8139189,501,"*",6.00016668285092,4.54665193763637,6.7093419029032,-1.43117682783611,0.00286963997436819,0.046462211042283
"chr5",139660679,139661179,501,"*",5.93000114182923,4.47622497479753,6.63923474121655,-1.42958439442481,0.00292272858596804,0.0469345852738983
"chr20",23140790,23141290,501,"*",5.38324654214775,3.45671438946574,6.17979384819617,-1.58524396983991,0.00295230888097566,0.0469345852738983
"chr12",6937497,6937997,501,"*",5.82208515969052,4.67054855736809,6.45421791402585,-1.29080890502076,0.00299833266140419,0.0469345852738983
"chr4",98523225,98523725,501,"*",4.36602845907354,0,5.34365882618678,-2.60080922825344,0.00299979055029043,0.0469345852738983
"chr10",97843009,97843509,501,"*",5.38414215789438,3.59461986732458,6.15875608300228,-1.5432665538905,0.00301612773907006,0.0469345852738983
"chr7",22822721,22823221,501,"*",4.4618103491344,1.59316298283569,5.35950382948722,-1.89249509923094,0.00302988946944941,0.0469345852738983
"chr2",8684979,8685479,501,"*",5.09586080925996,1.92873961292356,6.01323354953922,-1.99329109593403,0.0030348080246261,0.0469345852738983
"chrX",41084668,41085168,501,"*",5.29914150585793,3.57739310243755,6.06197412437,-1.51484341566547,0.00304317570517793,0.0469345852738983
"chr19",42302311,42302811,501,"*",5.45991846347426,3.79085715891723,6.21313114240828,-1.49870264485695,0.0030573349443459,0.0469345852738983
"chr6",27814552,27815052,501,"*",4.34314805583073,0.343777112202407,5.29732406950919,-2.2837476170146,0.00305905118172521,0.0469345852738983
"chr12",52147124,52147624,501,"*",6.56886533779629,5.410792854029,7.20289086232807,-1.28855192760188,0.00307991325421455,0.0470307132942146
"chr2",174248835,174249335,501,"*",6.21906221522891,4.87860108015217,6.90173041821581,-1.37730923270232,0.00310446686730444,0.0470652101919716
"chr11",61871164,61871664,501,"*",4.72623146258673,2.25251471140557,5.59014870320866,-1.75397581540574,0.0031113872659497,0.0470652101919716
"chr2",10302482,10302982,501,"*",5.98812868111809,4.29281312451823,6.74618695734742,-1.49660675952137,0.00319542490713142,0.048110556312044
"chr13",113296788,113297288,501,"*",5.72183786668387,3.74136542722611,6.52638143469852,-1.58618958279175,0.0032147584083868,0.0481765190317315
"chr9",130692685,130693185,501,"*",5.13637976984042,1.92873961292356,6.05610574036648,-1.9837284506621,0.0032412022987971,0.04834793429039
