GL000194.1	3229	3659	Scramble_H4K16ac_rep1_peak_1	GL000194.1	1633	4194	p53KD_H4K16ac_rep1_peak_3
GL000225.1	50790	52071	Scramble_H4K16ac_rep1_peak_33	GL000225.1	50786	52048	p53KD_H4K16ac_rep1_peak_60
GL000225.1	62313	63034	Scramble_H4K16ac_rep1_peak_35	GL000225.1	61809	63047	p53KD_H4K16ac_rep1_peak_62
GL000225.1	66202	67622	Scramble_H4K16ac_rep1_peak_36	GL000225.1	64991	68387	p53KD_H4K16ac_rep1_peak_63
GL000225.1	70466	71178	Scramble_H4K16ac_rep1_peak_37	GL000225.1	70415	71288	p53KD_H4K16ac_rep1_peak_64
GL000225.1	73902	74559	Scramble_H4K16ac_rep1_peak_38	GL000225.1	73898	74896	p53KD_H4K16ac_rep1_peak_65
GL000225.1	85563	86617	Scramble_H4K16ac_rep1_peak_39	GL000225.1	84397	86638	p53KD_H4K16ac_rep1_peak_67
GL000225.1	92617	92934	Scramble_H4K16ac_rep1_peak_40	GL000225.1	92249	94115	p53KD_H4K16ac_rep1_peak_69
GL000225.1	94616	95639	Scramble_H4K16ac_rep1_peak_40	GL000225.1	94954	95647	p53KD_H4K16ac_rep1_peak_70
GL000225.1	98401	99494	Scramble_H4K16ac_rep1_peak_41	GL000225.1	98325	99455	p53KD_H4K16ac_rep1_peak_71
GL000225.1	110261	113103	Scramble_H4K16ac_rep1_peak_42	GL000225.1	110254	114261	p53KD_H4K16ac_rep1_peak_74
GL000225.1	115308	115573	Scramble_H4K16ac_rep1_peak_43	GL000225.1	115096	115598	p53KD_H4K16ac_rep1_peak_74
GL000225.1	116933	117856	Scramble_H4K16ac_rep1_peak_44	GL000225.1	116662	119186	p53KD_H4K16ac_rep1_peak_75
GL000225.1	119143	119261	Scramble_H4K16ac_rep1_peak_45	GL000225.1	116662	119186	p53KD_H4K16ac_rep1_peak_75
GL000225.1	120190	120725	Scramble_H4K16ac_rep1_peak_45	GL000225.1	120088	121529	p53KD_H4K16ac_rep1_peak_76
GL000225.1	122861	123222	Scramble_H4K16ac_rep1_peak_46	GL000225.1	122810	123192	p53KD_H4K16ac_rep1_peak_77
GL000225.1	125202	126030	Scramble_H4K16ac_rep1_peak_47	GL000225.1	125087	126045	p53KD_H4K16ac_rep1_peak_78
GL000225.1	130430	132038	Scramble_H4K16ac_rep1_peak_48	GL000225.1	129094	133886	p53KD_H4K16ac_rep1_peak_79
GL000225.1	132842	133857	Scramble_H4K16ac_rep1_peak_48	GL000225.1	129094	133886	p53KD_H4K16ac_rep1_peak_79
GL000226.1	705	14866	Scramble_H4K16ac_rep1_peak_49	GL000226.1	669	14974	p53KD_H4K16ac_rep1_peak_82
GL000253.2	4388019	4388869	Scramble_H4K16ac_rep1_peak_53	GL000253.2	4387951	4388802	p53KD_H4K16ac_rep1_peak_92
GL383563.3	57498	57854	Scramble_H4K16ac_rep1_peak_69	GL383563.3	57154	57991	p53KD_H4K16ac_rep1_peak_119
GL383563.3	64044	67792	Scramble_H4K16ac_rep1_peak_70	GL383563.3	62681	67518	p53KD_H4K16ac_rep1_peak_120
GL877875.1	20390	21903	Scramble_H4K16ac_rep1_peak_81	GL877875.1	21025	21868	p53KD_H4K16ac_rep1_peak_127
GL877875.1	30148	31292	Scramble_H4K16ac_rep1_peak_82	GL877875.1	30276	31081	p53KD_H4K16ac_rep1_peak_130
KI270303.1	329	1461	Scramble_H4K16ac_rep1_peak_88	KI270303.1	241	1618	p53KD_H4K16ac_rep1_peak_134
KI270304.1	499	1897	Scramble_H4K16ac_rep1_peak_89	KI270304.1	495	1934	p53KD_H4K16ac_rep1_peak_135
KI270310.1	580	1029	Scramble_H4K16ac_rep1_peak_90	KI270310.1	548	1037	p53KD_H4K16ac_rep1_peak_136
KI270333.1	335	2291	Scramble_H4K16ac_rep1_peak_91	KI270333.1	387	2506	p53KD_H4K16ac_rep1_peak_139
KI270337.1	467	893	Scramble_H4K16ac_rep1_peak_93	KI270337.1	145	892	p53KD_H4K16ac_rep1_peak_141
KI270395.1	123	908	Scramble_H4K16ac_rep1_peak_94	KI270395.1	67	1128	p53KD_H4K16ac_rep1_peak_143
KI270411.1	262	2207	Scramble_H4K16ac_rep1_peak_95	KI270411.1	264	2380	p53KD_H4K16ac_rep1_peak_145
KI270438.1	101517	102186	Scramble_H4K16ac_rep1_peak_97	KI270438.1	101318	102318	p53KD_H4K16ac_rep1_peak_152
KI270438.1	103902	106333	Scramble_H4K16ac_rep1_peak_98	KI270438.1	103881	107038	p53KD_H4K16ac_rep1_peak_153
KI270438.1	108711	112446	Scramble_H4K16ac_rep1_peak_99	KI270438.1	108633	112463	p53KD_H4K16ac_rep1_peak_154
KI270465.1	391	1345	Scramble_H4K16ac_rep1_peak_101	KI270465.1	89	1615	p53KD_H4K16ac_rep1_peak_163
KI270467.1	2085	2553	Scramble_H4K16ac_rep1_peak_103	KI270467.1	2062	2604	p53KD_H4K16ac_rep1_peak_165
KI270544.1	151	1097	Scramble_H4K16ac_rep1_peak_104	KI270544.1	57	1132	p53KD_H4K16ac_rep1_peak_177
KI270709.1	4183	8352	Scramble_H4K16ac_rep1_peak_105	KI270709.1	1821	8595	p53KD_H4K16ac_rep1_peak_182
KI270709.1	10851	17313	Scramble_H4K16ac_rep1_peak_106	KI270709.1	9950	17470	p53KD_H4K16ac_rep1_peak_183
KI270715.1	33418	33642	Scramble_H4K16ac_rep1_peak_107	KI270715.1	31700	33672	p53KD_H4K16ac_rep1_peak_189
KI270715.1	72591	73575	Scramble_H4K16ac_rep1_peak_108	KI270715.1	71827	74356	p53KD_H4K16ac_rep1_peak_195
KI270715.1	78793	79901	Scramble_H4K16ac_rep1_peak_109	KI270715.1	79023	79823	p53KD_H4K16ac_rep1_peak_197
KI270715.1	85359	85955	Scramble_H4K16ac_rep1_peak_110	KI270715.1	83716	87002	p53KD_H4K16ac_rep1_peak_199
KI270715.1	88337	90456	Scramble_H4K16ac_rep1_peak_111	KI270715.1	88383	90491	p53KD_H4K16ac_rep1_peak_200
KI270715.1	94926	95726	Scramble_H4K16ac_rep1_peak_112	KI270715.1	94968	98044	p53KD_H4K16ac_rep1_peak_201
KI270715.1	144366	149833	Scramble_H4K16ac_rep1_peak_114	KI270715.1	140521	150005	p53KD_H4K16ac_rep1_peak_206
KI270715.1	157136	157982	Scramble_H4K16ac_rep1_peak_115	KI270715.1	153435	158079	p53KD_H4K16ac_rep1_peak_207
KI270716.1	105230	105363	Scramble_H4K16ac_rep1_peak_117	KI270716.1	104255	106774	p53KD_H4K16ac_rep1_peak_215
KI270716.1	106421	106764	Scramble_H4K16ac_rep1_peak_118	KI270716.1	104255	106774	p53KD_H4K16ac_rep1_peak_215
KI270716.1	116456	116948	Scramble_H4K16ac_rep1_peak_119	KI270716.1	114800	116869	p53KD_H4K16ac_rep1_peak_217
KI270716.1	132867	133138	Scramble_H4K16ac_rep1_peak_120	KI270716.1	132146	136184	p53KD_H4K16ac_rep1_peak_221
KI270716.1	134190	134493	Scramble_H4K16ac_rep1_peak_120	KI270716.1	132146	136184	p53KD_H4K16ac_rep1_peak_221
KI270716.1	141797	142086	Scramble_H4K16ac_rep1_peak_121	KI270716.1	141208	142085	p53KD_H4K16ac_rep1_peak_223
KI270716.1	146681	148847	Scramble_H4K16ac_rep1_peak_122	KI270716.1	144038	151512	p53KD_H4K16ac_rep1_peak_224
KI270716.1	149837	149926	Scramble_H4K16ac_rep1_peak_122	KI270716.1	144038	151512	p53KD_H4K16ac_rep1_peak_224
KI270728.1	232697	233112	Scramble_H4K16ac_rep1_peak_125	KI270728.1	232581	232812	p53KD_H4K16ac_rep1_peak_229
KI270733.1	118930	179720	Scramble_H4K16ac_rep1_peak_127	KI270733.1	171035	179746	p53KD_H4K16ac_rep1_peak_236
KI270733.1	118930	179720	Scramble_H4K16ac_rep1_peak_127	KI270733.1	118545	170152	p53KD_H4K16ac_rep1_peak_235
KI270744.1	11104	13716	Scramble_H4K16ac_rep1_peak_131	KI270744.1	11056	13840	p53KD_H4K16ac_rep1_peak_245
KI270744.1	116493	117002	Scramble_H4K16ac_rep1_peak_134	KI270744.1	116471	118581	p53KD_H4K16ac_rep1_peak_248
KI270744.1	118230	118551	Scramble_H4K16ac_rep1_peak_135	KI270744.1	116471	118581	p53KD_H4K16ac_rep1_peak_248
KI270744.1	119770	121505	Scramble_H4K16ac_rep1_peak_136	KI270744.1	119791	121515	p53KD_H4K16ac_rep1_peak_249
KI270744.1	124291	125087	Scramble_H4K16ac_rep1_peak_137	KI270744.1	124184	125174	p53KD_H4K16ac_rep1_peak_251
KI270748.1	80294	81173	Scramble_H4K16ac_rep1_peak_138	KI270748.1	80881	81561	p53KD_H4K16ac_rep1_peak_265
KI270751.1	38372	39777	Scramble_H4K16ac_rep1_peak_139	KI270751.1	38404	39883	p53KD_H4K16ac_rep1_peak_266
KI270762.1	203628	204940	Scramble_H4K16ac_rep1_peak_140	KI270762.1	202861	205077	p53KD_H4K16ac_rep1_peak_283
KI270762.1	207859	209988	Scramble_H4K16ac_rep1_peak_141	KI270762.1	206023	209715	p53KD_H4K16ac_rep1_peak_283
KI270762.1	213126	214771	Scramble_H4K16ac_rep1_peak_142	KI270762.1	212642	214719	p53KD_H4K16ac_rep1_peak_284
KI270789.1	103552	107127	Scramble_H4K16ac_rep1_peak_149	KI270789.1	103541	107286	p53KD_H4K16ac_rep1_peak_311
KI270810.1	167	2210	Scramble_H4K16ac_rep1_peak_157	KI270810.1	274	2168	p53KD_H4K16ac_rep1_peak_325
KI270855.1	126878	128068	Scramble_H4K16ac_rep1_peak_189	KI270855.1	127422	127725	p53KD_H4K16ac_rep1_peak_358
KI270857.1	2063744	2065831	Scramble_H4K16ac_rep1_peak_199	KI270857.1	2065161	2065736	p53KD_H4K16ac_rep1_peak_364
KI270857.1	2739286	2739914	Scramble_H4K16ac_rep1_peak_204	KI270857.1	2739505	2739932	p53KD_H4K16ac_rep1_peak_366
KI270879.1	130360	131780	Scramble_H4K16ac_rep1_peak_229	KI270879.1	130921	131384	p53KD_H4K16ac_rep1_peak_392
KI270896.1	359614	360099	Scramble_H4K16ac_rep1_peak_233	KI270896.1	359563	360162	p53KD_H4K16ac_rep1_peak_401
KI270905.1	2233899	2235138	Scramble_H4K16ac_rep1_peak_238	KI270905.1	2233901	2235173	p53KD_H4K16ac_rep1_peak_416
KN196476.1	301941	303581	Scramble_H4K16ac_rep1_peak_251	KN196476.1	301298	303638	p53KD_H4K16ac_rep1_peak_438
KN196484.1	105832	106673	Scramble_H4K16ac_rep1_peak_260	KN196484.1	106109	106556	p53KD_H4K16ac_rep1_peak_446
KN196484.1	245642	246699	Scramble_H4K16ac_rep1_peak_261	KN196484.1	245676	245917	p53KD_H4K16ac_rep1_peak_447
KN196487.1	2201	2675	Scramble_H4K16ac_rep1_peak_263	KN196487.1	2237	2689	p53KD_H4K16ac_rep1_peak_450
KQ458386.1	63440	69486	Scramble_H4K16ac_rep1_peak_281	KQ458386.1	64936	65452	p53KD_H4K16ac_rep1_peak_485
KQ458386.1	70738	73574	Scramble_H4K16ac_rep1_peak_281	KQ458386.1	70223	71221	p53KD_H4K16ac_rep1_peak_488
KQ458386.1	70738	73574	Scramble_H4K16ac_rep1_peak_281	KQ458386.1	72237	72272	p53KD_H4K16ac_rep1_peak_488
KQ458386.1	93128	94676	Scramble_H4K16ac_rep1_peak_285	KQ458386.1	92730	93431	p53KD_H4K16ac_rep1_peak_491
KQ458386.1	101343	104429	Scramble_H4K16ac_rep1_peak_286	KQ458386.1	102632	102913	p53KD_H4K16ac_rep1_peak_493
KQ458386.1	258581	261564	Scramble_H4K16ac_rep1_peak_288	KQ458386.1	259280	261164	p53KD_H4K16ac_rep1_peak_498
KQ458386.1	340105	340412	Scramble_H4K16ac_rep1_peak_291	KQ458386.1	340239	340408	p53KD_H4K16ac_rep1_peak_500
KQ983257.1	114448	115326	Scramble_H4K16ac_rep1_peak_294	KQ983257.1	114451	115254	p53KD_H4K16ac_rep1_peak_503
KQ983257.1	203853	206991	Scramble_H4K16ac_rep1_peak_295	KQ983257.1	203807	207029	p53KD_H4K16ac_rep1_peak_504
KQ983258.1	114481	115266	Scramble_H4K16ac_rep1_peak_296	KQ983258.1	114427	115337	p53KD_H4K16ac_rep1_peak_505
KV575244.1	389451	390570	Scramble_H4K16ac_rep1_peak_300	KV575244.1	389691	390183	p53KD_H4K16ac_rep1_peak_510
KV575244.1	443901	444647	Scramble_H4K16ac_rep1_peak_302	KV575244.1	444008	444483	p53KD_H4K16ac_rep1_peak_511
KV575245.1	103656	104969	Scramble_H4K16ac_rep1_peak_314	KV575245.1	104156	104715	p53KD_H4K16ac_rep1_peak_516
KV766196.1	45814	47355	Scramble_H4K16ac_rep1_peak_317	KV766196.1	46642	48468	p53KD_H4K16ac_rep1_peak_518
KV880768.1	342599	343447	Scramble_H4K16ac_rep1_peak_326	KV880768.1	343296	343574	p53KD_H4K16ac_rep1_peak_519
KV880768.1	1583315	1584323	Scramble_H4K16ac_rep1_peak_334	KV880768.1	1583447	1583973	p53KD_H4K16ac_rep1_peak_526
KZ208906.1	148499	149792	Scramble_H4K16ac_rep1_peak_336	KZ208906.1	149444	149895	p53KD_H4K16ac_rep1_peak_527
KZ208906.1	151650	152270	Scramble_H4K16ac_rep1_peak_337	KZ208906.1	150791	152316	p53KD_H4K16ac_rep1_peak_528
KZ208906.1	153819	154148	Scramble_H4K16ac_rep1_peak_338	KZ208906.1	153259	153959	p53KD_H4K16ac_rep1_peak_528
KZ208906.1	155719	158855	Scramble_H4K16ac_rep1_peak_339	KZ208906.1	156138	156818	p53KD_H4K16ac_rep1_peak_529
KZ208906.1	164168	165239	Scramble_H4K16ac_rep1_peak_341	KZ208906.1	164921	165637	p53KD_H4K16ac_rep1_peak_530
KZ208906.1	167332	168435	Scramble_H4K16ac_rep1_peak_342	KZ208906.1	166711	167784	p53KD_H4K16ac_rep1_peak_530
KZ208906.1	169902	172346	Scramble_H4K16ac_rep1_peak_343	KZ208906.1	171076	174139	p53KD_H4K16ac_rep1_peak_531
KZ208906.1	173828	174611	Scramble_H4K16ac_rep1_peak_344	KZ208906.1	171076	174139	p53KD_H4K16ac_rep1_peak_531
KZ208906.1	176136	177007	Scramble_H4K16ac_rep1_peak_345	KZ208906.1	175335	176303	p53KD_H4K16ac_rep1_peak_532
KZ208906.1	178238	178920	Scramble_H4K16ac_rep1_peak_346	KZ208906.1	177918	178553	p53KD_H4K16ac_rep1_peak_532
KZ208906.1	183024	183508	Scramble_H4K16ac_rep1_peak_348	KZ208906.1	181404	183334	p53KD_H4K16ac_rep1_peak_532
KZ208906.1	196322	196581	Scramble_H4K16ac_rep1_peak_351	KZ208906.1	195637	196490	p53KD_H4K16ac_rep1_peak_537
KZ208906.1	214224	214626	Scramble_H4K16ac_rep1_peak_357	KZ208906.1	214202	215097	p53KD_H4K16ac_rep1_peak_542
KZ208906.1	218948	219436	Scramble_H4K16ac_rep1_peak_359	KZ208906.1	218638	218971	p53KD_H4K16ac_rep1_peak_544
KZ559100.1	7395	7650	Scramble_H4K16ac_rep1_peak_376	KZ559100.1	7374	7984	p53KD_H4K16ac_rep1_peak_554
KZ559109.1	199257	200563	Scramble_H4K16ac_rep1_peak_379	KZ559109.1	199921	200303	p53KD_H4K16ac_rep1_peak_555
ML143345.1	17342	18662	Scramble_H4K16ac_rep1_peak_382	ML143345.1	16850	25613	p53KD_H4K16ac_rep1_peak_557
ML143345.1	20176	22684	Scramble_H4K16ac_rep1_peak_383	ML143345.1	16850	25613	p53KD_H4K16ac_rep1_peak_557
ML143345.1	23816	25197	Scramble_H4K16ac_rep1_peak_384	ML143345.1	16850	25613	p53KD_H4K16ac_rep1_peak_557
ML143345.1	26722	27933	Scramble_H4K16ac_rep1_peak_385	ML143345.1	26702	36111	p53KD_H4K16ac_rep1_peak_557
ML143345.1	32628	35352	Scramble_H4K16ac_rep1_peak_386	ML143345.1	26702	36111	p53KD_H4K16ac_rep1_peak_557
ML143345.1	44350	45558	Scramble_H4K16ac_rep1_peak_387	ML143345.1	41923	50494	p53KD_H4K16ac_rep1_peak_559
ML143345.1	74435	75863	Scramble_H4K16ac_rep1_peak_388	ML143345.1	73030	76301	p53KD_H4K16ac_rep1_peak_565
ML143366.1	116182	119050	Scramble_H4K16ac_rep1_peak_396	ML143366.1	117598	118079	p53KD_H4K16ac_rep1_peak_585
ML143366.1	271292	274223	Scramble_H4K16ac_rep1_peak_397	ML143366.1	270831	272822	p53KD_H4K16ac_rep1_peak_586
ML143367.1	102151	103781	Scramble_H4K16ac_rep1_peak_399	ML143367.1	102009	103789	p53KD_H4K16ac_rep1_peak_588
ML143367.1	305179	305480	Scramble_H4K16ac_rep1_peak_403	ML143367.1	305122	305441	p53KD_H4K16ac_rep1_peak_592
ML143369.1	57944	59185	Scramble_H4K16ac_rep1_peak_404	ML143369.1	58591	59199	p53KD_H4K16ac_rep1_peak_594
ML143369.1	65140	67997	Scramble_H4K16ac_rep1_peak_406	ML143369.1	65845	66479	p53KD_H4K16ac_rep1_peak_596
ML143369.1	65140	67997	Scramble_H4K16ac_rep1_peak_406	ML143369.1	67791	68031	p53KD_H4K16ac_rep1_peak_596
ML143371.1	225	5950	Scramble_H4K16ac_rep1_peak_408	ML143371.1	161	5961	p53KD_H4K16ac_rep1_peak_598
ML143371.1	7011	7278	Scramble_H4K16ac_rep1_peak_409	ML143371.1	7016	8206	p53KD_H4K16ac_rep1_peak_599
ML143371.1	325422	327043	Scramble_H4K16ac_rep1_peak_410	ML143371.1	325527	326131	p53KD_H4K16ac_rep1_peak_600
ML143371.1	328060	328471	Scramble_H4K16ac_rep1_peak_410	ML143371.1	327872	328676	p53KD_H4K16ac_rep1_peak_601
ML143372.1	136617	137632	Scramble_H4K16ac_rep1_peak_414	ML143372.1	136605	136924	p53KD_H4K16ac_rep1_peak_608
ML143372.1	294074	294322	Scramble_H4K16ac_rep1_peak_416	ML143372.1	293749	294435	p53KD_H4K16ac_rep1_peak_611
ML143374.1	6599	7767	Scramble_H4K16ac_rep1_peak_417	ML143374.1	7349	7716	p53KD_H4K16ac_rep1_peak_612
ML143374.1	65043	66854	Scramble_H4K16ac_rep1_peak_421	ML143374.1	64770	66869	p53KD_H4K16ac_rep1_peak_616
ML143374.1	87436	88159	Scramble_H4K16ac_rep1_peak_422	ML143374.1	87547	87691	p53KD_H4K16ac_rep1_peak_618
ML143374.1	110138	110545	Scramble_H4K16ac_rep1_peak_424	ML143374.1	109735	110796	p53KD_H4K16ac_rep1_peak_620
ML143377.1	432872	438667	Scramble_H4K16ac_rep1_peak_433	ML143377.1	432426	438468	p53KD_H4K16ac_rep1_peak_631
ML143377.1	439698	482715	Scramble_H4K16ac_rep1_peak_434	ML143377.1	439734	483083	p53KD_H4K16ac_rep1_peak_632
ML143377.1	484070	519185	Scramble_H4K16ac_rep1_peak_435	ML143377.1	484086	519259	p53KD_H4K16ac_rep1_peak_632
ML143380.1	79061	80127	Scramble_H4K16ac_rep1_peak_436	ML143380.1	79082	80101	p53KD_H4K16ac_rep1_peak_634
ML143380.1	119852	123159	Scramble_H4K16ac_rep1_peak_437	ML143380.1	119466	120143	p53KD_H4K16ac_rep1_peak_635
ML143380.1	119852	123159	Scramble_H4K16ac_rep1_peak_437	ML143380.1	122244	122369	p53KD_H4K16ac_rep1_peak_636
ML143380.1	272160	273692	Scramble_H4K16ac_rep1_peak_439	ML143380.1	273112	273875	p53KD_H4K16ac_rep1_peak_637
MU273330.1	436460	437556	Scramble_H4K16ac_rep1_peak_441	MU273330.1	434821	437621	p53KD_H4K16ac_rep1_peak_640
MU273352.1	33017	34177	Scramble_H4K16ac_rep1_peak_472	MU273352.1	32579	34197	p53KD_H4K16ac_rep1_peak_667
MU273360.1	37082	39269	Scramble_H4K16ac_rep1_peak_475	MU273360.1	36939	39276	p53KD_H4K16ac_rep1_peak_668
MU273369.1	165006	165836	Scramble_H4K16ac_rep1_peak_480	MU273369.1	165690	166885	p53KD_H4K16ac_rep1_peak_671
MU273372.1	48728	49237	Scramble_H4K16ac_rep1_peak_484	MU273372.1	48876	49080	p53KD_H4K16ac_rep1_peak_674
chr1	28911	30307	Scramble_H4K16ac_rep1_peak_519	chr1	28973	29345	p53KD_H4K16ac_rep1_peak_702
chr1	37675	38433	Scramble_H4K16ac_rep1_peak_522	chr1	37935	38582	p53KD_H4K16ac_rep1_peak_704
chr1	199155	200495	Scramble_H4K16ac_rep1_peak_523	chr1	199472	199788	p53KD_H4K16ac_rep1_peak_709
chr1	1078679	1079787	Scramble_H4K16ac_rep1_peak_533	chr1	1078446	1079178	p53KD_H4K16ac_rep1_peak_723
chr1	1349940	1350038	Scramble_H4K16ac_rep1_peak_545	chr1	1349967	1351186	p53KD_H4K16ac_rep1_peak_729
chr1	1746068	1746848	Scramble_H4K16ac_rep1_peak_557	chr1	1746135	1746341	p53KD_H4K16ac_rep1_peak_733
chr1	2653952	2655965	Scramble_H4K16ac_rep1_peak_568	chr1	2652331	2655479	p53KD_H4K16ac_rep1_peak_744
chr1	2749794	2750659	Scramble_H4K16ac_rep1_peak_570	chr1	2750086	2750642	p53KD_H4K16ac_rep1_peak_753
chr1	10938642	10939114	Scramble_H4K16ac_rep1_peak_618	chr1	10939034	10940019	p53KD_H4K16ac_rep1_peak_776
chr1	16740100	16741120	Scramble_H4K16ac_rep1_peak_659	chr1	16740313	16740485	p53KD_H4K16ac_rep1_peak_783
chr1	28506164	28509440	Scramble_H4K16ac_rep1_peak_756	chr1	28506079	28506396	p53KD_H4K16ac_rep1_peak_810
chr1	32650759	32651759	Scramble_H4K16ac_rep1_peak_785	chr1	32650627	32651228	p53KD_H4K16ac_rep1_peak_818
chr1	42681705	42682515	Scramble_H4K16ac_rep1_peak_844	chr1	42681982	42682029	p53KD_H4K16ac_rep1_peak_829
chr1	43007145	43009286	Scramble_H4K16ac_rep1_peak_848	chr1	43007257	43008249	p53KD_H4K16ac_rep1_peak_830
chr1	43068010	43070285	Scramble_H4K16ac_rep1_peak_851	chr1	43068578	43069714	p53KD_H4K16ac_rep1_peak_831
chr1	44532556	44533352	Scramble_H4K16ac_rep1_peak_870	chr1	44532471	44532760	p53KD_H4K16ac_rep1_peak_836
chr1	109763490	109764200	Scramble_H4K16ac_rep1_peak_969	chr1	109763433	109763613	p53KD_H4K16ac_rep1_peak_893
chr1	120824775	120826368	Scramble_H4K16ac_rep1_peak_1001	chr1	120825333	120827355	p53KD_H4K16ac_rep1_peak_904
chr1	121747636	121748893	Scramble_H4K16ac_rep1_peak_1006	chr1	121747534	121748915	p53KD_H4K16ac_rep1_peak_912
chr1	121764798	121768790	Scramble_H4K16ac_rep1_peak_1007	chr1	121764793	121768814	p53KD_H4K16ac_rep1_peak_914
chr1	121771615	121772327	Scramble_H4K16ac_rep1_peak_1008	chr1	121770220	121772222	p53KD_H4K16ac_rep1_peak_915
chr1	121858856	121859507	Scramble_H4K16ac_rep1_peak_1009	chr1	121858845	121859483	p53KD_H4K16ac_rep1_peak_917
chr1	121860391	121860714	Scramble_H4K16ac_rep1_peak_1009	chr1	121860386	121860722	p53KD_H4K16ac_rep1_peak_918
chr1	122242153	122242390	Scramble_H4K16ac_rep1_peak_1010	chr1	122242233	122242844	p53KD_H4K16ac_rep1_peak_921
