gene_id,Gene,chr,tss
ENSG00000270757.1,HSPE1-MOB4,chr2,197500412
ENSG00000184924.8,PTRHD1,chr2,24793394
ENSG00000122705.20,CLTA,chr9,36190855
ENSG00000115904.17,SOS1,chr2,39124344
ENSG00000177239.18,MAN1B1,chr9,137085916
ENSG00000153187.23,HNRNPU,chr1,244864573
ENSG00000213585.13,VDAC1,chr5,134005359
ENSG00000180198.19,RCC1,chr1,28505931
ENSG00000151360.10,ALLC,chr2,3658199
ENSG00000048140.20,TSPAN17,chr5,176647386
ENSG00000087087.22,SRRT,chr7,100875064
ENSG00000163703.22,CRELD1,chr3,9933790
ENSG00000163795.16,ZNF513,chr2,27380789
ENSG00000115020.19,PIKFYVE,chr2,208266228
ENSG00000170584.14,NUDCD2,chr5,163460403
ENSG00000068784.15,SRBD1,chr2,45612164
ENSG00000115541.13,HSPE1,chr2,197500109
ENSG00000115128.9,SF3B6,chr2,24076475
ENSG00000274641.2,H2BC17,chr6,27893424
ENSG00000196420.10,S100A5,chr1,153543073
ENSG00000062582.16,MRPS24,chr7,43869892
ENSG00000052749.16,RRP12,chr10,97426075
ENSG00000128563.15,PRKRIP1,chr7,102363807
ENSG00000176092.18,CRYBG2,chr1,26360079
ENSG00000203811.2,H3C14,chr1,149841207
ENSG00000183718.8,TRIM52,chr5,181262067
ENSG00000072571.22,HMMR,chr5,163460202
ENSG00000105968.21,H2AZ2,chr7,44848145
ENSG00000155115.9,GTF3C6,chr6,110958476
ENSG00000163608.17,RMP64,chr3,113019860
ENSG00000171314.11,PGAM1,chr10,97426104
ENSG00000138069.20,RAB1A,chr2,65130985
ENSG00000165283.18,STOML2,chr9,35103194
ENSG00000143450.19,OAZ3,chr1,151762898
ENSG00000136709.14,WDR33,chr2,127811194
ENSG00000137154.15,RPS6,chr9,19380298
ENSG00000138092.13,CENPO,chr2,24793099
ENSG00000035141.12,FAM136A,chr2,70302085
ENSG00000153574.11,RPIA,chr2,88691641
ENSG00000105819.17,PMPCB,chr7,103295716
ENSG00000136193.19,SCRN1,chr7,29990288
ENSG00000288859.2,H2AC19,chr1,149851060
ENSG00000196196.3,HRCT1,chr9,35906201
ENSG00000119335.20,SET,chr9,128683423
ENSG00000172071.15,EIF2AK3,chr2,88691517
ENSG00000197958.15,RPL12,chr9,127452093
ENSG00000181472.7,ZBTB2,chr6,151391699
ENSG00000219626.11,FAM228B,chr2,24076525
ENSG00000106009.18,BRAT1,chr7,2555781
ENSG00000165732.16,DDX21,chr10,68956134
ENSG00000188177.17,ZC3H6,chr2,112275564
ENSG00000169919.19,GUSB,chr7,65982703
ENSG00000113013.18,HSPA9,chr5,138575674
ENSG00000161016.20,RPL8,chr8,144793501
ENSG00000131504.19,DIAPH1,chr5,141619193
ENSG00000106266.13,SNX8,chr7,2354317
ENSG00000221944.9,TIGD1,chr2,232550556
ENSG00000114019.17,AMOTL2,chr3,134375478
ENSG00000069011.17,PITX1,chr5,135034812
ENSG00000115484.17,CCT4,chr2,61888695
ENSG00000215375.9,MYL5,chr4,673518
ENSG00000106263.21,EIF3B,chr7,2354079
ENSG00000145808.12,ADAMTS19,chr5,129459681
ENSG00000145912.12,NHP2,chr5,178153967
ENSG00000165689.19,ENTR1,chr9,136410620
ENSG00000173163.13,COMMD1,chr2,61888723
ENSG00000165272.18,AQP3,chr9,33447595
ENSG00000055917.19,PUM2,chr2,20352233
ENSG00000184925.14,LCN12,chr9,136949390
ENSG00000135317.16,SNX14,chr6,85594155
ENSG00000132912.16,DCTN4,chr5,150759094
ENSG00000068654.19,POLR1A,chr2,86106154
ENSG00000135930.17,EIF4E2,chr2,232550632
ENSG00000144028.17,SNRNP200,chr2,96321270
ENSG00000165688.16,PMPCA,chr9,136410629
ENSG00000136950.15,ARPC5L,chr9,124862108
ENSG00000136942.17,RPL35,chr9,124862016
ENSG00000171865.12,RNASEH1,chr2,3558370
ENSG00000145907.18,G3BP1,chr5,151770950
ENSG00000162959.16,MEMO1,chr2,32011229
ENSG00000074054.23,CLASP1,chr2,121649598
ENSG00000175309.18,PHYKPL,chr5,178233207
ENSG00000135164.21,DMTF1,chr7,87152339
ENSG00000288825.1,H2AC18,chr1,149842749
ENSG00000286905.1,ENSG00000286905,chr2,3558332
ENSG00000122674.14,CCZ1,chr7,5898691
ENSG00000078399.20,HOXA9,chr7,27175179
ENSG00000198556.16,ZNF789,chr7,99472793
ENSG00000115677.20,HDLBP,chr2,241317060
ENSG00000006837.13,CDKL3,chr5,134371046
ENSG00000215156.6,ENSG00000215156,chr5,34190155
ENSG00000273345.6,ENSG00000273345,chr5,134371043
ENSG00000005075.18,POLR2J,chr7,102478935
ENSG00000146007.13,ZMAT2,chr5,140698679
ENSG00000119048.11,UBE2B,chr5,134371173
ENSG00000178764.10,ZHX2,chr8,122781297
ENSG00000168906.15,MAT2A,chr2,85539162
ENSG00000164169.15,PRMT9,chr4,147684226
ENSG00000114993.18,RTKN,chr2,74442421
ENSG00000153317.17,ASAP1,chr8,130444081
ENSG00000169714.19,CNBP,chr3,129184007
ENSG00000013441.19,CLK1,chr2,200864727
ENSG00000157426.16,AASDH,chr4,56387522
ENSG00000143436.12,MRPL9,chr1,151763521
ENSG00000241852.13,C8orf58,chr8,22599587
ENSG00000143761.19,ARF1,chr1,228081840
ENSG00000132300.21,PTCD3,chr2,86106222
ENSG00000106211.12,HSPB1,chr7,76302665
ENSG00000129625.15,REEP5,chr5,112922362
ENSG00000172113.12,NME6,chr3,48301684
ENSG00000173349.6,SFT2D3,chr2,127701496
ENSG00000114268.14,PFKFB4,chr3,48562014
ENSG00000122642.13,FKBP9,chr7,32957403
ENSG00000136854.28,STXBP1,chr9,127579369
ENSG00000151461.22,UPF2,chr10,12043169
ENSG00000186063.15,AIDA,chr1,222713209
ENSG00000137076.24,TLN1,chr9,35732211
ENSG00000198055.13,GRK6,chr5,177403203
ENSG00000138496.19,PARP9,chr3,122565477
ENSG00000127184.15,COX7C,chr5,86617883
ENSG00000288699.1,ENSG00000288699,chr9,35074174
ENSG00000138071.17,ACTR2,chr2,65227713
ENSG00000107175.14,CREB3,chr9,35732295
ENSG00000214300.8,SPDYE3,chr7,100307701
ENSG00000169020.12,ATP5ME,chr4,674399
ENSG00000197238.5,H4C11,chr6,27824091
ENSG00000113555.6,PCDH12,chr5,141969740
ENSG00000198399.18,ITSN2,chr2,24360806
ENSG00000240857.4,RDH14,chr2,18560696
ENSG00000176919.15,C8G,chr9,136942531
ENSG00000284952.1,ENSG00000284952,chr3,155854441
ENSG00000204822.9,MRPL53,chr2,74472698
ENSG00000065802.14,ASB1,chr2,238426741
ENSG00000066422.8,ZBTB11,chr3,101677134
ENSG00000163611.13,SPICE1,chr3,113515605
ENSG00000096063.18,SRPK1,chr6,35921341
ENSG00000177917.13,ARL6IP6,chr2,152717620
ENSG00000006576.19,PHTF2,chr7,77798651
ENSG00000120318.18,ARAP3,chr5,141682254
ENSG00000182899.19,RPL35A,chr3,197949956
ENSG00000177646.22,ACAD9,chr3,128879493
ENSG00000065526.14,SPEN,chr1,15836094
ENSG00000175182.17,FAM131A,chr3,184335915
ENSG00000157856.14,DRC1,chr2,26401907
ENSG00000078114.21,NEBL,chr10,21293010
ENSG00000178381.15,ZFAND2A,chr7,1175913
ENSG00000197948.13,FCHSD1,chr5,141651429
ENSG00000084774.16,CAD,chr2,27217344
ENSG00000136830.14,NIBAN2,chr9,127579048
ENSG00000066923.21,STAG3,chr7,100177562
ENSG00000145088.11,EAF2,chr3,121835163
ENSG00000106261.19,ZKSCAN1,chr7,100015569
ENSG00000086102.21,NFX1,chr9,33290427
ENSG00000188732.13,FAM221A,chr7,23680113
ENSG00000116898.14,MRPS15,chr1,36464417
ENSG00000283189.2,ENSG00000283189,chr3,49429313
ENSG00000164850.18,GPER1,chr7,1082207
ENSG00000173226.19,IQCB1,chr3,121835092
ENSG00000160973.10,FOXH1,chr8,144475872
ENSG00000160051.14,IQCC,chr1,32205637
ENSG00000070756.19,PABPC1,chr8,100722808
ENSG00000130429.18,ARPC1B,chr7,99374225
ENSG00000115827.16,DCAF17,chr2,171434216
ENSG00000197756.12,RPL37A,chr2,216498796
ENSG00000115520.11,COQ10B,chr2,197453437
ENSG00000160972.12,PPP1R16A,chr8,144475988
ENSG00000145029.17,NICN1,chr3,49429330
ENSG00000159788.22,RGS12,chr4,3292981
ENSG00000137103.22,TMEM8B,chr9,35814450
ENSG00000106384.14,MOGAT3,chr7,101201087
ENSG00000213523.14,SRA1,chr5,140557919
ENSG00000115828.19,QPCT,chr2,37342826
ENSG00000001631.19,KRIT1,chr7,92246165
ENSG00000164211.15,STARD4,chr5,111513043
ENSG00000165802.25,NSMF,chr9,137459575
ENSG00000285437.4,POLR2J3,chr7,102572619
ENSG00000144136.13,SLC20A1,chr2,112645852
ENSG00000146963.20,LUC7L2,chr7,139340358
ENSG00000134330.20,IAH1,chr2,9473657
ENSG00000198758.13,EPS8L3,chr1,109764061
ENSG00000163820.18,FYCO1,chr3,45995844
ENSG00000165244.8,ZNF367,chr9,96418469
ENSG00000163170.14,BOLA3,chr2,74147976
ENSG00000269955.2,FMC1-LUC7L2,chr7,139341359
ENSG00000186792.19,HYAL3,chr3,50299436
ENSG00000243477.8,NAA80,chr3,50299436
ENSG00000120738.9,EGR1,chr5,138465189
ENSG00000152455.18,SUV39H2,chr10,14878322
ENSG00000178028.16,DMAP1,chr1,44213426
ENSG00000168385.20,SEPTIN2,chr2,241314922
ENSG00000235007.3,ENSG00000235007,chr9,129139412
ENSG00000178074.7,C2orf69,chr2,199911248
ENSG00000203666.15,DRC8,chr1,244969670
ENSG00000143994.16,ABHD1,chr2,27123788
ENSG00000075303.15,SLC25A40,chr7,87876403
ENSG00000164849.12,GPR146,chr7,1044536
ENSG00000163840.11,DTX3L,chr3,122564227
ENSG00000138002.18,IFT172,chr2,27489838
ENSG00000120306.13,CYSTM1,chr5,140174923
ENSG00000124635.12,H2BC11,chr6,27133882
ENSG00000113194.15,FAF2,chr5,176447627
ENSG00000168495.15,POLR3D,chr8,22245077
ENSG00000180245.7,RRH,chr4,109827971
ENSG00000187796.18,CARD9,chr9,136373682
ENSG00000136527.21,TRA2B,chr3,185938102
ENSG00000163832.18,ELP6,chr3,47513737
ENSG00000285943.1,SPICE1-CFAP44,chr3,113515150
ENSG00000185055.13,EFCAB10,chr7,105600874
ENSG00000145833.18,DDX46,chr5,134758770
ENSG00000145040.4,UCN2,chr3,48563780
ENSG00000157778.11,PSMG3,chr7,1571077
ENSG00000289701.1,ENSG00000289701,chr9,136373643
ENSG00000165644.13,COMTD1,chr10,75236087
ENSG00000173334.5,TRIB1,chr8,125430151
ENSG00000028137.21,TNFRSF1B,chr1,12166969
ENSG00000006634.10,DBF4,chr7,87876215
ENSG00000232434.4,AJM1,chr9,136842477
ENSG00000170027.8,YWHAG,chr7,76359021
ENSG00000032389.15,EIPR1,chr2,3377878
ENSG00000196378.16,ZNF34,chr8,144788683
ENSG00000091137.16,SLC26A4,chr7,107660593
ENSG00000189171.18,S100A13,chr1,153634441
ENSG00000105808.21,RASA4,chr7,102616778
ENSG00000168255.20,POLR2J3,chr7,102572652
ENSG00000077454.19,LRCH4,chr7,100586235
ENSG00000145781.11,COMMD10,chr5,116084974
ENSG00000179833.6,SERTAD2,chr2,64751004
ENSG00000186468.15,RPS23,chr5,82278598
ENSG00000113643.11,RARS1,chr5,168486446
ENSG00000145819.19,ARHGAP26,chr5,142770342
ENSG00000119402.20,FBXW2,chr9,120793437
ENSG00000178966.18,RMI1,chr9,83980354
ENSG00000163811.14,WDR43,chr2,28894610
ENSG00000213699.11,SLC35F6,chr2,26764239
ENSG00000168090.12,COPS6,chr7,100088947
ENSG00000115163.17,CENPA,chr2,26764288
ENSG00000160908.17,ZNF394,chr7,99504917
ENSG00000134375.13,TIMM17A,chr1,201955475
ENSG00000146054.20,TRIM7,chr5,181205308
ENSG00000197785.16,ATAD3A,chr1,1512117
ENSG00000136231.16,IGF2BP3,chr7,23470832
ENSG00000285953.2,ENSG00000285953,chr7,92245942
ENSG00000144840.12,RABL3,chr3,120742992
ENSG00000289027.1,ENSG00000289027,chr7,92245923
ENSG00000164403.17,SHROOM1,chr5,132830923
ENSG00000108021.24,TASOR2,chr10,5684730
ENSG00000169599.15,NFU1,chr2,69437664
ENSG00000237190.5,CDKN2AIPNL,chr5,134411901
ENSG00000185278.18,ZBTB37,chr1,173868081
ENSG00000115649.18,CNPPD1,chr2,219182663
ENSG00000005486.19,RHBDD2,chr7,75842601
ENSG00000113272.16,THG1L,chr5,157731401
ENSG00000182004.15,SNRPE,chr1,203861495
ENSG00000143774.20,GUK1,chr1,228139961
ENSG00000197858.14,GPAA1,chr8,144082336
ENSG00000163798.16,SLC4A1AP,chr2,27663425
ENSG00000158411.12,MITD1,chr2,99181351
ENSG00000132432.16,SEC61G,chr7,54759973
ENSG00000203814.8,H2BC18,chr1,149812373
ENSG00000170469.13,SPATA24,chr5,139404093
ENSG00000178252.21,WDR6,chr3,49007061
ENSG00000143079.17,CTTNBP2NL,chr1,112396197
ENSG00000115524.19,SF3B1,chr2,197435078
ENSG00000119777.22,TMEM214,chr2,27032909
ENSG00000169359.18,SLC33A1,chr3,155854562
ENSG00000072682.22,P4HA2,chr5,132295314
ENSG00000116752.8,BCAS2,chr1,114581724
ENSG00000143924.21,EML4,chr2,42169311
ENSG00000136938.11,ANP32B,chr9,97983125
ENSG00000143977.16,SNRPG,chr2,70293765
ENSG00000293600.3,ENSG00000293600,chr5,140564439
ENSG00000176087.18,SLC35A4,chr5,140564439
ENSG00000082516.10,GEMIN5,chr5,154938241
ENSG00000167103.13,PIP5KL1,chr9,127930822
ENSG00000151353.18,TMEM18,chr2,677469
ENSG00000124733.6,MEA1,chr6,43016867
ENSG00000164307.15,ERAP1,chr5,96808176
ENSG00000021574.17,SPAST,chr2,32063524
ENSG00000114383.12,TUSC2,chr3,50328250
ENSG00000163870.18,TPRA1,chr3,127598317
ENSG00000163482.14,STK36,chr2,218672026
ENSG00000286075.4,SMIM10L3,chr7,6348966
ENSG00000142224.18,IL19,chr1,206770763
ENSG00000276903.2,H2AC16,chr6,27865316
ENSG00000173559.17,NABP1,chr2,191678067
ENSG00000173272.18,MZT2A,chr2,131493041
ENSG00000014641.23,MDH1,chr2,63588556
ENSG00000146282.21,RARS2,chr6,87590027
ENSG00000213420.10,GPC2,chr7,100177388
ENSG00000135336.19,ORC3,chr6,87590066
ENSG00000159592.13,GPBP1L1,chr1,45688407
ENSG00000178397.14,FAM220A,chr7,6348980
ENSG00000168899.7,VAMP5,chr2,85584396
ENSG00000156172.8,CFAP418,chr8,95269429
ENSG00000122406.16,RPL5,chr1,92831989
ENSG00000115806.15,GORASP2,chr2,170928463
ENSG00000187186.17,ENSG00000187186,chr9,34666121
ENSG00000239857.9,GET4,chr7,876485
ENSG00000001629.12,ANKIB1,chr7,92245959
ENSG00000204217.17,BMPR2,chr2,202375834
ENSG00000124688.16,MAD2L1BP,chr6,43629493
ENSG00000184678.11,H2BC21,chr1,149886681
ENSG00000144283.25,PKP4,chr2,158456894
ENSG00000176386.11,CDC26,chr9,113275601
ENSG00000176020.9,AMIGO3,chr3,49719683
ENSG00000273703.2,H2BC14,chr6,27815021
ENSG00000196981.5,WDR5B,chr3,122416463
ENSG00000197375.16,SLC22A5,chr5,132369492
ENSG00000076201.18,PTPN23,chr3,47381010
ENSG00000136270.16,TBRG4,chr7,45112047
ENSG00000162526.7,TSSK3,chr1,32351520
ENSG00000172432.21,GTPBP2,chr6,43629290
ENSG00000184260.6,H2AC20,chr1,149886917
ENSG00000293560.3,MYH16,chr7,99272838
ENSG00000153237.21,CCDC148,chr2,158456775
ENSG00000073111.17,MCM2,chr3,127598222
ENSG00000145725.23,PPIP5K2,chr5,103120148
ENSG00000163481.10,RNF25,chr2,218672008
ENSG00000064012.26,CASP8,chr2,201233442
ENSG00000144567.13,RETREG2,chr2,219176224
ENSG00000071967.14,CYBRD1,chr2,171522246
ENSG00000153922.14,CHD1,chr5,98929626
ENSG00000135597.21,REPS1,chr6,138988355
ENSG00000169228.16,RAB24,chr5,177303765
ENSG00000123473.19,STIL,chr1,47314891
ENSG00000146826.19,TRAPPC14,chr7,100158736
ENSG00000087077.16,TRIP6,chr7,100867125
ENSG00000152133.19,GPATCH11,chr2,37084417
ENSG00000113108.22,APBB3,chr5,140564780
ENSG00000143224.20,PPOX,chr1,161165836
ENSG00000106404.15,CLDN15,chr7,101238819
ENSG00000175756.16,AURKAIP1,chr1,1375520
ENSG00000107719.12,PALD1,chr10,70477657
ENSG00000144021.5,CIAO1,chr2,96266158
ENSG00000106976.24,DNM1,chr9,128191654
ENSG00000135966.16,TGFBRAP1,chr2,105330048
ENSG00000122735.18,DNAI1,chr9,34457413
ENSG00000115091.14,ACTR3,chr2,113889599
ENSG00000124587.16,PEX6,chr6,42979248
ENSG00000015479.22,MATR3,chr5,139273751
ENSG00000214113.13,LYRM4,chr6,5261430
ENSG00000119820.13,YIPF4,chr2,32277867
ENSG00000127948.19,POR,chr7,75899199
ENSG00000213930.14,GALT,chr9,34637366
ENSG00000162496.12,DHRS3,chr1,12620182
ENSG00000135074.18,ADAM19,chr5,157575857
ENSG00000115307.19,AUP1,chr2,74529965
ENSG00000008869.14,HEATR5B,chr2,37084408
ENSG00000145982.15,FARS2,chr6,5261006
ENSG00000153560.14,UBP1,chr3,33441406
ENSG00000162892.16,IL24,chr1,206897442
ENSG00000153201.19,RANBP2,chr2,108719366
ENSG00000106290.18,TAF6,chr7,100127186
ENSG00000187583.13,PLEKHN1,chr1,966436
ENSG00000135249.10,RINT1,chr7,105532115
ENSG00000153094.27,BCL2L11,chr2,111119377
ENSG00000198522.16,GPN1,chr2,27628246
ENSG00000198876.15,DCAF12,chr9,34127398
ENSG00000171848.18,RRM2,chr2,10120697
ENSG00000145901.20,TNIP1,chr5,151093576
ENSG00000251503.8,CENPS-CORT,chr1,10430101
ENSG00000143850.19,PLEKHA6,chr1,204378390
ENSG00000148225.19,WDR31,chr9,113340336
ENSG00000163162.11,RNF149,chr2,101308769
ENSG00000154479.14,CFAP210,chr2,169694425
ENSG00000113282.16,CLINT1,chr5,157859205
ENSG00000176714.12,CCDC121,chr2,27629017
ENSG00000142733.20,MAP3K6,chr1,27366985
ENSG00000142655.15,PEX14,chr1,10472287
ENSG00000169230.12,PRELID1,chr5,177303786
ENSG00000123600.23,METTL8,chr2,171434801
ENSG00000213160.12,KLHL23,chr2,169694434
ENSG00000144362.14,PHOSPHO2,chr2,169694434
ENSG00000130675.16,MNX1,chr7,157010667
ENSG00000165119.25,HNRNPK,chr9,83981585
ENSG00000183598.4,H3C13,chr1,149813692
ENSG00000205143.7,ARID3C,chr9,34630502
ENSG00000113558.21,SKP1,chr5,134177910
ENSG00000135211.8,TMEM60,chr7,77799722
ENSG00000127377.11,CRYGN,chr7,151440812
ENSG00000114346.16,ECT2,chr3,172750681
ENSG00000171853.18,TRAPPC12,chr2,3379668
ENSG00000136875.15,PRPF4,chr9,113275636
ENSG00000138463.11,SLC49A4,chr3,122794818
ENSG00000198755.13,RPL10A,chr6,35468365
ENSG00000164587.15,RPS14,chr5,150449951
ENSG00000176095.14,IP6K1,chr3,49786556
ENSG00000283988.1,TAF11L9,chr5,17594393
ENSG00000286192.1,ENSG00000286192,chr7,2242214
ENSG00000146409.14,SLC18B1,chr6,132813338
ENSG00000118816.14,CCNI,chr4,77076318
ENSG00000198841.4,KTI12,chr1,52033809
ENSG00000183891.8,TTC32,chr2,19902281
ENSG00000276368.2,H2AC14,chr6,27814776
ENSG00000127920.7,GNG11,chr7,93921442
ENSG00000137563.15,GGH,chr8,63039406
ENSG00000132313.16,MRPL35,chr2,86199354
ENSG00000081479.16,LRP2,chr2,169362779
ENSG00000186854.13,TRABD2A,chr2,84907007
ENSG00000135926.17,TMBIM1,chr2,218292588
ENSG00000119004.19,CYP20A1,chr2,203238951
ENSG00000169223.18,LMAN2,chr5,177351839
ENSG00000127054.24,INTS11,chr1,1324687
ENSG00000146733.16,PSPH,chr7,56051608
ENSG00000215883.13,CYB5RL,chr1,54200072
ENSG00000256407.2,ENSG00000256407,chr1,54200072
ENSG00000146731.13,CCT6A,chr7,56051684
ENSG00000134262.17,AP4B1,chr1,113905721
ENSG00000115241.13,PPM1G,chr2,27409673
ENSG00000159899.18,NPR2,chr9,35791002
ENSG00000136628.20,EPRS1,chr1,220046668
ENSG00000196460.15,RFX8,chr2,101475111
ENSG00000214309.7,MBLAC1,chr7,100126693
ENSG00000170476.17,MZB1,chr5,139390080
ENSG00000154252.13,GAL3ST2,chr2,241776816
ENSG00000185728.19,YTHDF3,chr8,63168259
ENSG00000065060.19,BLTP3A,chr6,34792023
ENSG00000224051.9,CPTP,chr1,1324755
ENSG00000170835.17,CEL,chr9,133061980
ENSG00000106635.10,BCL7B,chr7,73558016
ENSG00000115866.13,DARS1,chr2,135986099
ENSG00000116747.15,RO60,chr1,193059421
ENSG00000189410.14,SH2D5,chr1,20732836
ENSG00000143337.20,TOR1AIP1,chr1,179882041
ENSG00000131187.13,F12,chr5,177416582
ENSG00000106268.18,NUDT1,chr7,2242202
ENSG00000213390.13,ARHGAP19,chr10,97292672
ENSG00000182180.16,MRPS16,chr10,73252692
ENSG00000267645.5,POLR2J3-UPK3BL2,chr7,102671640
ENSG00000185414.22,MRPL30,chr2,99181110
ENSG00000164010.17,ERMAP,chr1,42817077
ENSG00000164818.18,DNAAF5,chr7,726686
ENSG00000106246.20,PTCD1,chr7,99466200
ENSG00000241468.10,ATP5MF,chr7,99466200
ENSG00000197498.15,RPF2,chr6,110982014
ENSG00000164976.11,MYORG,chr9,34377149
ENSG00000132155.16,RAF1,chr3,12664200
ENSG00000163930.11,BAP1,chr3,52410037
ENSG00000196290.19,NIF3L1,chr2,200888991
ENSG00000119787.16,ATL2,chr2,38377437
ENSG00000285779.1,ENSG00000285779,chr1,153975886
ENSG00000136271.13,DDX56,chr7,44575387
ENSG00000118260.17,CREB1,chr2,207529696
ENSG00000196652.14,ZKSCAN5,chr7,99504633
ENSG00000269891.2,ARHGAP19-SLIT1,chr10,97292636
ENSG00000248919.7,ATP5MF-PTCD1,chr7,99466196
ENSG00000185129.8,PURA,chr5,140107776
ENSG00000144554.15,FANCD2,chr3,10026369
ENSG00000137135.20,ARHGEF39,chr9,35675865
ENSG00000180104.18,EXOC3,chr5,442521
ENSG00000131389.20,SLC6A6,chr3,14402563
ENSG00000170606.18,HSPA4,chr5,133051941
ENSG00000169564.7,PCBP1,chr2,70087476
ENSG00000145723.19,GIN1,chr5,103120225
ENSG00000147955.20,SIGMAR1,chr9,34637843
ENSG00000115875.21,SRSF7,chr2,38751497
ENSG00000145741.18,BTF3,chr5,73498407
ENSG00000196154.14,S100A4,chr1,153552134
ENSG00000168374.13,ARF4,chr3,57598219
ENSG00000106330.14,MOSPD3,chr7,100612101
ENSG00000148719.18,DNAJB12,chr10,72355166
ENSG00000122756.17,CNTFR,chr9,34593477
ENSG00000132570.17,PCBD2,chr5,134905038
ENSG00000143217.11,NECTIN4,chr1,161090044
ENSG00000136710.12,VMA22,chr2,130342698
ENSG00000122687.21,MRM2,chr7,2242228
ENSG00000128059.10,PPAT,chr4,56436037
ENSG00000138095.22,LRPPRC,chr2,43996225
ENSG00000169871.15,TRIM56,chr7,101085233
ENSG00000173193.17,PARP14,chr3,122680211
ENSG00000138100.16,TRIM54,chr2,27282365
ENSG00000086062.16,B4GALT1,chr9,33167398
ENSG00000163933.13,RFT1,chr3,53130660
ENSG00000285839.1,ENSG00000285839,chr1,52033349
ENSG00000197191.7,CYSRT1,chr9,137225173
ENSG00000158106.17,RHPN1,chr8,143368809
ENSG00000171757.19,LRRC34,chr3,169813007
ENSG00000173473.13,SMARCC1,chr3,47782105
ENSG00000243910.9,TUBA4B,chr2,219253242
ENSG00000084090.16,STARD7,chr2,96208853
ENSG00000135956.13,TMEM127,chr2,96266081
ENSG00000213639.13,PPP1CB,chr2,28751078
ENSG00000285292.1,ABCF2-H2BK1,chr7,151227165
ENSG00000169629.13,RGPD8,chr2,112434487
ENSG00000158604.18,TMED4,chr7,44582308
ENSG00000159352.18,PSMD4,chr1,151254708
ENSG00000164815.13,ORC5,chr7,104208046
ENSG00000266412.8,NCOA4,chr10,46030669
ENSG00000136827.13,TOR1A,chr9,129824246
ENSG00000115289.16,PCGF1,chr2,74508360
ENSG00000175416.18,CLTB,chr5,176416584
ENSG00000152291.17,TGOLN2,chr2,85328300
ENSG00000188306.7,LRRIQ4,chr3,169812869
ENSG00000003402.23,CFLAR,chr2,201116004
ENSG00000039600.13,SOX30,chr5,157671479
ENSG00000164877.21,MICALL2,chr7,1459538
ENSG00000196182.13,STK40,chr1,36385931
ENSG00000120705.15,ETF1,chr5,138543238
ENSG00000117394.26,SLC2A1,chr1,42958903
ENSG00000162441.14,LZIC,chr1,9943406
ENSG00000119760.18,SUPT7L,chr2,27663846
ENSG00000164308.20,ERAP2,chr5,96875978
ENSG00000187658.8,C5orf52,chr5,157671514
ENSG00000168679.20,SLC16A4,chr1,110391081
ENSG00000162409.14,PRKAA2,chr1,56645205
ENSG00000173614.16,NMNAT1,chr1,9943427
ENSG00000228049.9,POLR2J2,chr7,102671751
ENSG00000126524.14,SBDS,chr7,66995692
ENSG00000106006.7,HOXA6,chr7,27150602
ENSG00000006453.16,BAIAP2L1,chr7,98401212
ENSG00000196411.12,EPHB4,chr7,100827583
ENSG00000242802.11,AP5Z1,chr7,4775609
ENSG00000008300.17,CELSR3,chr3,48662885
ENSG00000215183.6,MSMP,chr9,35756612
ENSG00000106460.22,TMEM106B,chr7,12210930
ENSG00000162972.12,MAIP1,chr2,199955316
