gene_id,Gene,chr,start,end,strand,signal,rank
ENSG00000169564.7,PCBP1,chr2,70087476,70089203,+,0.37129132118621827,44
ENSG00000106211.12,HSPB1,chr7,76302665,76305813,+,0.36971135461244975,45
ENSG00000219200.13,RNASEK,chr17,7012411,7014535,+,0.3678497441565502,46
ENSG00000184357.5,H1-5,chr6,27866791,27867588,-,0.36747672914561247,47
ENSG00000160813.9,PPP1R35,chr7,100435260,100436546,-,0.3592198955468706,48
ENSG00000277224.3,H2BC7,chr6,26199515,26199988,+,0.3546450865508134,49
ENSG00000276368.2,H2AC14,chr6,27814301,27814777,-,0.35144439032849145,50
ENSG00000197238.5,H4C11,chr6,27824091,27824480,+,0.34880369533916367,51
ENSG00000289491.1,ENSG00000289491,chr16,30610210,30610351,-,0.347456231290567,52
ENSG00000174276.7,ZNHIT2,chr11,65116402,65117701,-,0.34546343723112705,53
ENSG00000111057.13,KRT18,chr12,52945687,52952911,+,0.3452580456700522,54
ENSG00000184260.6,H2AC20,chr1,149886917,149887411,+,0.3445920547930456,55
ENSG00000128564.10,VGF,chr7,101162508,101167245,-,0.33926139504554176,56
ENSG00000203896.12,LIME1,chr20,63736282,63739108,+,0.33808474029860575,57
ENSG00000148926.12,ADM,chr11,10303007,10307397,+,0.3325767345671332,58
ENSG00000204922.7,UQCC3,chr11,62670272,62674001,+,0.3314171902625328,59
ENSG00000184270.6,H2AC21,chr1,149887468,149887965,-,0.33074693180155945,60
ENSG00000106366.11,SERPINE1,chr7,101122157,101139263,+,0.32810674490075326,61
ENSG00000275714.3,H3C1,chr6,26020450,26021487,+,0.3215131848087766,62
ENSG00000175334.10,BANF1,chr11,66001831,66004170,+,0.3184136305487738,63
ENSG00000288634.1,ENSG00000288634,chr7,112450486,112450645,+,0.3164082311984128,64
ENSG00000146834.17,MEPCE,chr7,100428321,100435138,+,0.3117478946732073,65
ENSG00000106268.18,NUDT1,chr7,2242202,2251824,+,0.3104460019694931,66
ENSG00000111640.17,GAPDH,chr12,6534011,6538930,+,0.3101872488945112,67
ENSG00000278705.4,H4C2,chr6,26025801,26027283,-,0.3101730103907395,68
ENSG00000061656.13,SPAG4,chr20,35615593,35621613,+,0.3096313983236789,69
ENSG00000198841.4,KTI12,chr1,52032102,52033810,-,0.3095739678118762,70
ENSG00000168090.12,COPS6,chr7,100088947,100095185,+,0.30887655776673223,71
ENSG00000186834.4,HEXIM1,chr17,45148474,45152099,+,0.3078037729226053,72
ENSG00000258311.5,ENSG00000258311,chr12,55716035,55724703,+,0.3037873241942643,73
ENSG00000288649.2,ACTL10,chr20,33666942,33668525,+,0.30368673642809,74
ENSG00000233276.10,GPX1,chr3,49357173,49358605,-,0.3033935917917296,75
ENSG00000106004.6,HOXA5,chr7,27141051,27143719,-,0.2997473109771136,76
ENSG00000131435.15,PDLIM4,chr5,132257639,132273712,+,0.29769662163459476,77
ENSG00000155876.6,RRAGA,chr9,19049426,19051025,+,0.29408773623891477,78
ENSG00000273703.2,H2BC14,chr6,27815021,27815489,+,0.29302350933162064,79
ENSG00000221916.4,C19orf73,chr19,49118401,49119143,-,0.2924018639718456,80
ENSG00000182327.9,GLTPD2,chr17,4788926,4790734,+,0.29180960652966514,81
ENSG00000273542.3,H4C12,chr6,27830917,27831560,-,0.2901283922499483,82
ENSG00000246705.5,H2AJ,chr12,14774404,14778002,+,0.2880560587726641,83
ENSG00000010278.17,CD9,chr12,6199714,6238271,+,0.28761160982319134,84
ENSG00000136634.7,IL10,chr1,206767601,206774541,-,0.2875967288400873,85
ENSG00000189060.6,H1-0,chr22,37805228,37807432,+,0.287388132818334,86
ENSG00000115738.12,ID2,chr2,8678844,8684461,+,0.2863969434327858,87
ENSG00000229117.11,RPL41,chr12,56116584,56117967,+,0.28492071435198224,88
ENSG00000103145.13,HCFC1R1,chr16,3022624,3024312,-,0.2847612406568816,89
ENSG00000188015.12,S100A3,chr1,153547328,153550151,-,0.28424734988434913,90
ENSG00000105516.12,DBP,chr19,48630029,48637695,-,0.2829452913418872,91
ENSG00000187837.5,H1-2,chr6,26054759,26056470,-,0.28032195425256523,92
ENSG00000243509.8,TNFRSF6B,chr20,63696367,63698689,+,0.2791348513256691,93
ENSG00000175793.12,SFN,chr1,26863148,26864456,+,0.2788486726075092,94
ENSG00000182795.15,C1orf116,chr1,207018049,207032821,-,0.2775429042914013,95
ENSG00000262526.2,ENSG00000262526,chr17,7240426,7244635,-,0.2770896855788538,96
ENSG00000087086.18,FTL,chr19,48965274,48967896,+,0.2768111123559921,97
ENSG00000126264.12,HCST,chr19,35899016,35904377,+,0.27678747590828595,98
ENSG00000203852.4,H3C15,chr1,149852607,149853125,+,0.27566448391979725,99
ENSG00000167779.11,IGFBP6,chr12,53097435,53102345,+,0.27560195789099606,100
ENSG00000106006.7,HOXA6,chr7,27144102,27150603,-,0.2750505455642099,101
ENSG00000108511.12,HOXB6,chr17,48595524,48605011,-,0.27410571240102677,102
ENSG00000172465.16,TCEAL1,chrX,103628700,103630958,+,0.2720187414557969,103
ENSG00000288825.1,H2AC18,chr1,149842217,149842750,-,0.2717923436446664,104
ENSG00000184292.7,TACSTD2,chr1,58575432,58577252,-,0.27141240052878857,105
ENSG00000123416.17,TUBA1B,chr12,49127779,49131398,-,0.27127012574426834,106
ENSG00000134107.7,BHLHE40,chr3,4978714,4985323,+,0.27123020610961324,107
ENSG00000180818.6,HOXC10,chr12,53985064,53990279,+,0.27029565374607134,108
ENSG00000133316.18,WDR74,chr11,62832341,62842228,-,0.269845644604991,109
ENSG00000170367.7,CST5,chr20,23875933,23880086,-,0.2688227726179432,110
ENSG00000278588.2,H2BC10,chr6,26272930,26273412,+,0.2685130262724221,111
ENSG00000169627.11,BOLA2B,chr16,30192927,30194306,-,0.26756202144935953,112
ENSG00000105997.25,HOXA3,chr7,27106183,27152610,-,0.2669605383022134,113
ENSG00000204335.5,SP5,chr2,170715286,170718078,+,0.264980781559711,114
ENSG00000164400.7,CSF2,chr5,132073783,132076170,+,0.26475140723607776,115
ENSG00000169715.16,MT1E,chr16,56625474,56627112,+,0.2641934339469924,116
ENSG00000205220.14,PSMB10,chr16,67934503,67936865,-,0.2633726114772298,117
ENSG00000274641.2,H2BC17,chr6,27893424,27893891,+,0.26208013959021587,118
ENSG00000288608.1,ENSG00000288608,chr7,151061927,151061978,+,0.2617951833149966,119
ENSG00000079337.18,RAPGEF3,chr12,47734179,47771040,-,0.2616623915439746,120
ENSG00000170296.12,GABARAP,chr17,7240007,7242486,-,0.26066651392644313,121
ENSG00000288570.1,ENSG00000288570,chr9,130713625,130713724,+,0.2596935139159964,122
ENSG00000170458.17,CD14,chr5,140630401,140633711,-,0.25698200851507214,123
ENSG00000132481.9,TRIM47,chr17,75874160,75878637,-,0.25598632905970087,124
ENSG00000188784.4,PLA2G2E,chr1,19920008,19923617,-,0.25580698848542277,125
ENSG00000188396.6,DYNLT4,chr1,44805884,44807417,-,0.2555642939842168,126
ENSG00000276903.2,H2AC16,chr6,27865316,27865798,+,0.2545606425781715,127
ENSG00000278828.2,H3C10,chr6,27810050,27811300,+,0.25401666859164834,128
ENSG00000107821.17,KAZALD1,chr10,101061107,101068648,+,0.25389968314825717,129
ENSG00000115289.16,PCGF1,chr2,74505040,74508361,-,0.2537223337152544,130
ENSG00000177685.19,CRACR2B,chr11,826136,831993,+,0.25369130336939183,131
ENSG00000196154.14,S100A4,chr1,153543612,153552135,-,0.2536809955617918,132
ENSG00000135925.11,WNT10A,chr2,218880851,218899581,+,0.25242622154174366,133
ENSG00000162191.16,UBXN1,chr11,62676497,62679332,-,0.2515847298650094,134
ENSG00000163825.6,RTP3,chr3,46494610,46501506,+,0.251201548030147,135
ENSG00000160318.6,CLDND2,chr19,51367097,51369003,-,0.25119950322132334,136
ENSG00000184924.8,PTRHD1,chr2,24788910,24793395,-,0.2508888370165375,137
ENSG00000184678.11,H2BC21,chr1,149884458,149886682,-,0.25076532205621205,138
ENSG00000168209.8,DDIT4,chr10,72273918,72276039,+,0.2500950280293288,139
ENSG00000197837.4,H4C16,chr12,14767998,14771131,-,0.24973016781146834,140
ENSG00000289763.1,ENSG00000289763,chr3,10249041,10249366,+,0.24940077912348968,141
ENSG00000273802.4,H2BC8,chr6,26214569,26217252,-,0.24903027594288754,142
ENSG00000005073.7,HOXA11,chr7,27181156,27185253,-,0.2473236854688926,143
ENSG00000125148.9,MT2A,chr16,56608129,56609503,+,0.24680961139521831,144
ENSG00000179528.17,LBX2,chr2,74497454,74503316,-,0.24609261502027868,145
ENSG00000211584.16,SLC48A1,chr12,47753915,47782751,+,0.2455851468170807,146
ENSG00000159450.13,TCHH,chr1,152106316,152115444,-,0.24554875989447206,147
ENSG00000128016.10,ZFP36,chr19,39406411,39411635,+,0.24538020927200144,148
ENSG00000187193.11,MT1X,chr16,56682057,56686110,+,0.2450928198067481,149
ENSG00000067182.11,TNFRSF1A,chr12,6328756,6342114,-,0.24420283233131884,150
ENSG00000188483.8,IER5L,chr9,129175551,129178261,-,0.24401596572586917,151
ENSG00000087074.11,PPP1R15A,chr19,48872211,48879061,+,0.24377627158068446,152
ENSG00000277075.4,H2AC8,chr6,26216920,26218515,+,0.24283467148369337,153
ENSG00000247626.5,MARS2,chr2,197705368,197708395,+,0.24262523305884506,154
ENSG00000288859.2,H2AC19,chr1,149851060,149851652,+,0.24201797219496723,155
ENSG00000274049.4,INO80B-WBP1,chr2,74455087,74460884,+,0.24187204465381698,156
ENSG00000185633.13,COXFA4L2,chr12,57234540,57242750,-,0.24180644100285775,157
ENSG00000288681.1,ENSG00000288681,chr11,308407,315272,+,0.24163733179516853,158
ENSG00000114315.6,HES1,chr3,194136138,194138732,+,0.24104748902456086,159
ENSG00000115274.16,INO80B,chr2,74455077,74457958,+,0.2407322889744249,160
ENSG00000183336.11,BOLA2,chr16,29453586,29455012,-,0.24071458493245748,161
ENSG00000176340.5,COX8A,chr11,63974578,63976543,+,0.23952913117730093,162
ENSG00000160606.12,TLCD1,chr17,28723434,28727935,-,0.2387070332148328,163
ENSG00000166997.10,CNPY4,chr7,100119613,100125511,+,0.23814671979342306,164
ENSG00000117394.26,SLC2A1,chr1,42925352,42958904,-,0.23722314921271956,165
ENSG00000131188.14,PRR7,chr5,177446444,177456291,+,0.2366208187015261,166
ENSG00000188486.4,H2AX,chr11,119093873,119095465,-,0.23656002450886476,167
ENSG00000176532.6,PRR15,chr7,29563774,29568145,+,0.23602853255394146,168
ENSG00000223658.8,C1GALT1C1L,chr2,43675150,43676429,-,0.23493085117599954,169
ENSG00000179041.4,RRS1,chr8,66429013,66430733,+,0.23471311688163252,170
ENSG00000165175.19,MID1IP1,chrX,38801416,38806555,+,0.23464914252144278,171
ENSG00000103257.12,SLC7A5,chr16,87830015,87869514,-,0.2343177249191258,172
ENSG00000169976.7,SF3B5,chr6,144094883,144095573,-,0.2326668818710723,173
ENSG00000182544.10,SLC61A1,chr12,53251250,53254406,+,0.23218313580144584,174
ENSG00000125995.18,ROMO1,chr20,35699227,35703939,+,0.23217570287614653,175
ENSG00000162344.6,FGF19,chr11,69698231,69704660,-,0.23216653122916628,176
ENSG00000203811.2,H3C14,chr1,149840686,149841208,-,0.23215550069529492,177
ENSG00000158525.16,CPA5,chr7,130344815,130368730,+,0.23196908874555405,178
ENSG00000105404.13,RABAC1,chr19,41956680,41959390,-,0.23152222563650088,179
ENSG00000170421.15,KRT8,chr12,52897181,52949954,-,0.2305207888467964,180
ENSG00000219435.7,CATSPERZ,chr11,64300337,64304770,+,0.2278411618951551,181
ENSG00000176714.12,CCDC121,chr2,27625534,27629018,-,0.22766048513010975,182
ENSG00000162194.14,LBHD1,chr11,62662816,62672284,-,0.22747237347013777,183
ENSG00000117407.19,ARTN,chr1,43933271,43937244,+,0.2270913468288216,184
ENSG00000196866.3,H2AC7,chr6,26198783,26199293,-,0.22646874567749453,185
ENSG00000171604.14,CXXC5,chr5,139646374,139683882,+,0.22572494317318273,186
ENSG00000185201.19,IFITM2,chr11,303654,309410,+,0.22552109596957312,187
ENSG00000277775.2,H3C7,chr6,26250141,26250635,-,0.2254349745900525,188
ENSG00000100316.18,RPL3,chr22,39312869,39320389,-,0.22506349065100795,189
ENSG00000161939.19,RNASEK-C17orf49,chr17,7012634,7017520,+,0.22415490489217865,190
ENSG00000167011.10,NAT16,chr7,101170495,101180301,-,0.22350374084757538,191
ENSG00000167797.10,CDK2AP2,chr11,67506489,67508701,-,0.22348135268647445,192
ENSG00000225556.3,C2CD4D,chr1,151837817,151840557,-,0.22340561445346985,193
ENSG00000109971.16,HSPA8,chr11,123057484,123063230,-,0.22287908151001515,194
ENSG00000115661.16,STK16,chr2,219245211,219250339,+,0.2228789467144069,195
ENSG00000170315.16,UBB,chr17,16378897,16382745,+,0.22275622624095787,196
ENSG00000268655.3,SAXO3,chr19,49017967,49020549,-,0.2227253670170095,197
ENSG00000180884.12,ZNF792,chr19,34956166,34964293,-,0.2219071398253453,198
ENSG00000278677.2,H2AC17,chr6,27892698,27893185,-,0.22160249953856215,199
ENSG00000168286.3,THAP11,chr16,67842319,67844195,+,0.2207062654941877,200
ENSG00000288623.1,ENSG00000288623,chr12,120534696,120534957,+,0.22065452028822397,201
ENSG00000188643.13,S100A16,chr1,153606881,153614012,-,0.22052245466702042,202
ENSG00000186174.15,BCL9L,chr11,118893874,118925926,-,0.22023196972948691,203
ENSG00000111012.13,CYP27B1,chr12,57762333,57768986,-,0.21971369015742204,204
ENSG00000189143.10,CLDN4,chr7,73799541,73832690,+,0.2189412619726555,205
ENSG00000197728.13,RPS26,chr12,56041350,56044697,+,0.21785643467474267,206
ENSG00000130590.15,SAMD10,chr20,63973609,63980008,-,0.21777475110825997,207
ENSG00000110944.10,IL23A,chr12,56334173,56340410,+,0.21761105245695114,208
ENSG00000178826.13,TMEM139,chr7,143279936,143288240,+,0.21754409968798602,209
ENSG00000186577.16,SMIM29,chr6,34245864,34249113,-,0.2170328989420883,210
ENSG00000115317.15,HTRA2,chr2,74529273,74533966,+,0.21642757558618864,211
ENSG00000198959.14,TGM2,chr20,38127384,38168463,-,0.21636364027516483,212
ENSG00000124257.8,NEURL2,chr20,45888001,45891220,-,0.21617401881043924,213
ENSG00000162188.9,GNG3,chr11,62706399,62712083,+,0.21540873281295259,214
ENSG00000275126.2,H4C13,chr6,27873147,27873534,-,0.21507118882982,215
ENSG00000110092.6,CCND1,chr11,69641069,69654474,+,0.21412368296874504,216
ENSG00000196465.13,MYL6B,chr12,56151965,56159647,+,0.21391128520719513,217
ENSG00000284733.2,OR4F29,chr1,450739,451678,-,0.21385026232540782,218
ENSG00000173457.13,PPP1R14B,chr11,64244477,64246956,-,0.21342456939894316,219
ENSG00000174521.10,TTC9B,chr19,40216057,40218521,-,0.21321086147735832,220
ENSG00000182742.7,HOXB4,chr17,48575506,48578429,-,0.21292957565353707,221
ENSG00000215021.12,PHB2,chr12,6965326,6970841,-,0.21285605258270354,222
ENSG00000180806.6,HOXC9,chr12,53994894,54003337,+,0.2125425522858093,223
ENSG00000175197.14,DDIT3,chr12,57516583,57523630,-,0.2123929658537006,224
ENSG00000181284.5,TMEM102,chr17,7435343,7437679,+,0.21210601483431823,225
ENSG00000105991.11,HOXA1,chr7,27092992,27096039,-,0.21204881560832842,226
ENSG00000177042.18,TMEM80,chr11,695010,705028,+,0.21185787575176057,227
ENSG00000161955.18,TNFSF13,chr17,7558250,7561660,+,0.21105685709740782,228
ENSG00000159335.20,PTMS,chr12,6765515,6770952,+,0.21100704509709067,229
ENSG00000135211.8,TMEM60,chr7,77793727,77799723,-,0.2110057293706986,230
ENSG00000108786.12,HSD17B1,chr17,42552919,42555217,+,0.21081384100590153,231
ENSG00000293584.1,ENSG00000293584,chr2,111121152,111123765,+,0.21059939048530651,232
ENSG00000289761.1,ENSG00000289761,chr4,41143021,41143099,-,0.210331651644829,233
ENSG00000166337.12,TAF10,chr11,6606293,6612539,-,0.2102575414428837,234
ENSG00000278637.3,H4C1,chr6,26021648,26022847,+,0.20967878510606933,235
ENSG00000239779.9,WBP1,chr2,74458262,74461077,+,0.20898687913352176,236
ENSG00000166333.16,ILK,chr11,6603707,6610874,+,0.20801761467406119,237
ENSG00000143570.21,SLC39A1,chr1,153959098,153968667,-,0.20797651731093306,238
ENSG00000105672.16,ETV2,chr19,35641729,35644871,+,0.20776626576220747,239
ENSG00000284042.1,TAF11L6,chr5,17528668,17529265,+,-0.2070164650840875,240
ENSG00000152518.10,ZFP36L2,chr2,43221824,43226612,-,0.20660174600248993,241
ENSG00000284662.2,OR4F16,chr1,685715,686654,-,0.20603367861427754,242
ENSG00000168298.7,H1-4,chr6,26156328,26157115,+,0.20588866816869117,243
ENSG00000130222.13,GADD45G,chr9,89604938,89609775,+,0.20587709962450243,244
ENSG00000173486.15,FKBP2,chr11,64241002,64244583,+,0.20586506833541587,245
ENSG00000276180.3,H4C9,chr6,27139281,27140640,+,0.20516986100207343,246
ENSG00000204673.13,AKT1S1,chr19,49869022,49879470,-,0.20454126948199344,247
ENSG00000165802.25,NSMF,chr9,137447569,137459576,-,0.20447481365198353,248
ENSG00000263620.1,ENSG00000263620,chr17,8150815,8162975,-,0.2039482222927817,249
ENSG00000145040.4,UCN2,chr3,48561717,48563781,-,0.20383365439745604,250
ENSG00000196196.3,HRCT1,chr9,35906201,35907136,+,0.20371360099739969,251
ENSG00000167565.16,SERTAD3,chr19,40440641,40445114,-,0.20340994664582596,252
ENSG00000173141.7,MRPL57,chr13,21176324,21179142,+,0.20309576334387483,253
ENSG00000173080.6,RXFP4,chr1,155941637,155943087,+,0.20295003761890634,254
ENSG00000170345.13,FOS,chr14,75278820,75283190,+,0.20282468774427342,255
ENSG00000136908.20,DPM2,chr9,127935089,127937879,-,0.20253942968844565,256
ENSG00000286264.3,ENSG00000286264,chr11,64241094,64244583,+,0.20250396844369056,257
ENSG00000186081.12,KRT5,chr12,52514574,52520530,-,0.20210677916435038,258
ENSG00000175573.8,C11orf68,chr11,65916809,65919137,-,0.20165236644965717,259
ENSG00000101246.22,ARFRP1,chr20,63698621,63708662,-,0.20162436676334272,260
ENSG00000142227.14,EMP3,chr19,48321309,48330560,+,0.20159426080394702,261
ENSG00000108518.10,PFN1,chr17,4945651,4950517,-,0.2007146069196815,262
ENSG00000185475.13,TMEM179B,chr11,62787374,62792166,+,0.20063958188931097,263
ENSG00000196544.8,BORCS6,chr17,8188344,8190180,-,0.2003343405386165,264
ENSG00000135437.12,RDH5,chr12,55720366,55724714,+,0.2002847335298555,265
ENSG00000175482.11,POLD4,chr11,67345399,67356972,-,0.2000369239340353,266
ENSG00000139579.15,NABP2,chr12,56221977,56229860,+,0.19973753263840582,267
ENSG00000272031.4,ANKRD34A,chr1,145959440,145964575,-,0.1994915115288817,268
ENSG00000179010.18,MRFAP1,chr4,6640090,6642731,+,0.1992331832642563,269
ENSG00000205138.4,SDHAF1,chr19,35995187,35996312,+,0.19864483776109085,270
ENSG00000275221.3,H2AC15,chr6,27835507,27838375,-,0.1983570701034637,271
ENSG00000129451.14,KLK10,chr19,51012738,51021048,-,0.1981758280161311,272
ENSG00000186603.7,HPDL,chr1,45326894,45328710,+,0.19759096227107273,273
ENSG00000167996.18,FTH1,chr11,61959717,61967640,-,0.19698614814844972,274
ENSG00000196371.4,FUT4,chr11,94543920,94549895,+,0.196848982819999,275
ENSG00000168264.14,IRF2BP2,chr1,234602294,234610189,-,0.19647189437625828,276
ENSG00000159884.13,CCDC107,chr9,35658276,35661524,+,0.19630771234323008,277
ENSG00000135482.9,ZC3H10,chr12,56118242,56127514,+,0.1963061082716101,278
ENSG00000111321.13,LTBR,chr12,6375044,6391571,+,0.1960300722176717,279
ENSG00000149489.10,ROM1,chr11,62611721,62615116,+,0.19593768975339468,280
ENSG00000161547.19,SRSF2,chr17,76734114,76737919,-,0.19587654258576118,281
ENSG00000187514.19,PTMA,chr2,231706894,231713552,+,0.195811127490479,282
ENSG00000163874.13,ZC3H12A,chr1,37474495,37484379,+,0.19576709061779626,283
ENSG00000050344.11,NFE2L3,chr7,26152189,26190901,+,0.19555405048107205,284
ENSG00000157778.11,PSMG3,chr7,1567331,1571078,-,0.1953739839925873,285
ENSG00000054148.20,PHPT1,chr9,136847993,136851043,+,0.1946884230509034,286
ENSG00000160050.18,CCDC28B,chr1,32200382,32205453,+,0.19463817381241813,287
ENSG00000167748.12,KLK1,chr19,50819145,50823787,-,0.1942099166122369,288
ENSG00000128272.21,ATF4,chr22,39519694,39522690,+,0.19365880151219586,289
ENSG00000196787.5,H2AC11,chr6,27133042,27135292,+,0.19350565064760547,290
ENSG00000172269.22,DPAGT1,chr11,119095978,119108331,-,0.19297460330832134,291
ENSG00000158042.11,MRPL17,chr11,6680363,6683411,-,0.19276036952302628,292
ENSG00000126246.12,IGFLR1,chr19,35738797,35742459,-,0.1918680940896877,293
ENSG00000284234.1,TAF11L5,chr5,17525234,17525831,+,-0.19162680100730717,294
ENSG00000135486.21,HNRNPA1,chr12,54280192,54287088,+,0.19111068724234467,295
ENSG00000168646.16,AXIN2,chr17,65528560,65562067,-,0.19095947861784962,296
ENSG00000284356.1,TAF11L10,chr5,17597231,17597828,-,-0.19094229322332434,297
ENSG00000106003.14,LFNG,chr7,2512528,2529177,+,0.1907541718681842,298
ENSG00000169228.16,RAB24,chr5,177301197,177303766,-,0.19042671543713507,299
ENSG00000006534.19,ALDH3B1,chr11,68008542,68029282,+,0.19026604741818487,300
ENSG00000282988.2,ENSG00000282988,chr6,26195594,26199293,-,0.1901798203614472,301
ENSG00000164967.12,RPP25L,chr9,34610485,34612605,-,0.18996698231950296,302
ENSG00000230178.1,OR4F3,chr5,181367267,181368262,+,0.18988757937229309,303
ENSG00000161920.13,MED11,chr17,4731410,4733610,+,0.18988567391854966,304
ENSG00000120068.8,HOXB8,chr17,48611376,48618003,-,0.18983419702659718,305
ENSG00000171345.15,KRT19,chr17,41523612,41528370,-,0.18968015291836518,306
ENSG00000121966.8,CXCR4,chr2,136114348,136119177,-,0.189674516570083,307
ENSG00000204628.14,RACK1,chr5,181235390,181248096,-,0.18957270343210966,308
ENSG00000169689.17,CENPX,chr17,82018589,82024107,-,0.1895412311093607,309
ENSG00000005448.19,WDR54,chr2,74421476,74425770,+,0.1893120010767972,310
ENSG00000283988.1,TAF11L9,chr5,17593797,17594394,-,-0.18878405961446726,311
ENSG00000124466.9,LYPD3,chr19,43460786,43465608,-,0.18852676246545078,312
ENSG00000215717.9,TMEM167B,chr1,109090361,109096935,+,0.18838067454878657,313
ENSG00000233198.5,RNF224,chr9,137226907,137229640,+,0.18802877179368446,314
ENSG00000284976.2,ENSG00000284976,chr9,137217493,137219361,+,0.1878019779560613,315
ENSG00000149806.13,FAU,chr11,65120181,65122221,-,0.1875863641922764,316
ENSG00000099860.12,GADD45B,chr19,2476121,2478805,+,0.18756996282277805,317
ENSG00000108523.18,RNF167,chr17,4939996,4945223,+,0.18718815222667626,318
ENSG00000148229.15,POLE3,chr9,113407231,113410723,-,0.18707983906408568,319
ENSG00000187186.17,ENSG00000187186,chr9,34664162,34666122,-,0.18678948614005075,320
ENSG00000213937.4,CLDN9,chr16,3012922,3014505,+,0.18636583157627362,321
ENSG00000263465.5,SRSF8,chr11,95066918,95071225,+,0.1862617197775418,322
ENSG00000169241.21,SLC50A1,chr1,155135343,155138857,+,0.18590270396622557,323
ENSG00000284283.1,TAF11L4,chr5,17521800,17522397,+,-0.18565301072956927,324
ENSG00000217236.3,SP9,chr2,174334947,174338707,+,0.18524617476802457,325
ENSG00000168672.6,LRATD2,chr8,126552438,126558484,-,0.18513220623704743,326
ENSG00000247315.4,ZCCHC3,chr20,297569,300321,+,0.1849318751070356,327
ENSG00000188277.10,C15orf62,chr15,40769979,40772449,+,0.18457450800545153,328
ENSG00000157593.21,SLC35B2,chr6,44253871,44257890,-,0.1842674927403754,329
ENSG00000160888.10,IER2,chr19,13150402,13156981,+,0.18415676955589358,330
ENSG00000105193.11,RPS16,chr19,39433135,39436131,-,0.18405515120211785,331
ENSG00000173928.6,SWSAP1,chr19,11374657,11379194,+,0.1837941642072859,332
