"seqnames","start","end","width","strand","Conc","Conc_YEATS2KD","Conc_Scramble","Fold","p.value","FDR"
"chr13",50589602,50590102,501,"*",4.08550087566647,5.08550087566647,0,4.76748041672186,3.11655936499267e-05,0.026427681494301
"chr20",33339013,33339513,501,"*",4.07377424585726,0,5.07377424585726,-4.75177617822886,3.17070098338189e-05,0.026427681494301
"chrX",71102167,71102667,501,"*",4.07377424585726,0,5.07377424585726,-4.75177617822886,3.17070098338189e-05,0.026427681494301
"chr10",5813623,5814123,501,"*",6.38051776132094,5.42839066401063,6.94916298447136,-0.811965072707566,3.17289152564986e-05,0.026427681494301
"chr2",24984399,24984899,501,"*",4.0624914255687,0,5.0624914255687,-4.59313217960651,3.66954164129539e-05,0.0297806826893949
"chr20",32657498,32657998,501,"*",4.04987672072941,5.04987672072941,0,4.5113420864454,3.92979978240766e-05,0.0310955232282462
"chr2",54974197,54974697,501,"*",4.48764070782907,5.4567753354189,0,3.7823187132918,4.10974878357072e-05,0.0314817032331437
"chr17",43138113,43138613,501,"*",4.03873721490764,0,5.03873721490764,-4.44425393254245,4.17753478813319e-05,0.0314817032331437
"chr8",42892496,42892996,501,"*",4.02563070806064,5.02563070806064,0,4.36367544982888,4.46214982749361e-05,0.0328445358581396
"chr21",46533529,46534029,501,"*",4.60675789213131,5.55745752184715,0.711153822351444,3.33816668701587,4.99962247774902e-05,0.0356844243080056
"chr11",118161563,118162063,501,"*",4.06033726258512,0,5.06033726258512,-4.21913938899165,5.07345453180073e-05,0.0356844243080056
"chr9",34142790,34143290,501,"*",4.37469659535105,0.0305105807168052,5.33873694413432,-3.54455651226664,5.19189729888468e-05,0.0357236394363042
"chr8",141094877,141095377,501,"*",4.03965756671423,0,5.03965756671423,-4.02018127650192,5.95720567302934e-05,0.038836746409752
"chr9",127450958,127451458,501,"*",6.99732124006029,6.26192784878774,7.48207374114558,-0.688710336536719,6.21135133411404e-05,0.038836746409752
"chr15",65094730,65095230,501,"*",3.96406444106092,0,4.96406444106092,-3.94929156310767,6.27327341628374e-05,0.038836746409752
"chr13",112875520,112876020,501,"*",4.45930427055254,0,5.43925131930889,-3.77382326126396,6.28290676159434e-05,0.038836746409752
"chrX",118839120,118839620,501,"*",4.78750473169811,2.56925158122704,5.62350848789131,-1.88303755344017,6.28567804992038e-05,0.038836746409752
"chr3",47522607,47523107,501,"*",4.75160650354994,1.53531360132513,5.67182600788591,-2.59896514592435,6.38055926608039e-05,0.038836746409752
"chr12",103881889,103882389,501,"*",3.94858075086913,0,4.94858075086913,-3.88212153677297,6.61246976962458e-05,0.0389825049892592
"chr17",48440526,48441026,501,"*",4.04988174745091,5.04988174745091,0,3.8813072317665,6.65083336836118e-05,0.0389825049892592
"chr22",45413310,45413810,501,"*",5.00107288294788,3.20476394811645,5.77683121324513,-1.41317798400975,7.09069020519197e-05,0.0408049883062784
"chr1",214333498,214333998,501,"*",3.95420858240195,0,4.95420858240195,-3.76411813074195,7.26249944563388e-05,0.0410473874917425
"chr12",2897646,2898146,501,"*",3.92285745198978,0,4.92285745198978,-3.69037134892831,7.68221071668888e-05,0.0426578335778807
"chr21",46248255,46248755,501,"*",3.90351224651388,0,4.90351224651388,-3.56397560621006,8.47020393607974e-05,0.0462224870311827
"chr15",58332363,58332863,501,"*",5.140099416671,5.92303570455521,3.30035218038121,1.35854223720385,9.02959658417556e-05,0.0483233695629193
"chr2",9677361,9677861,501,"*",3.92522681555734,0,4.92522681555734,-3.46356273189431,9.16053892065071e-05,0.0483233695629193
"chr11",78214954,78215454,501,"*",3.9598145455184,0,4.9598145455184,-3.43221492321456,9.39114469631344e-05,0.0487277247185273
