chromosome,start,end,peak_id,control_rep1,control_rep2,KD_rep1,KD_rep2,control_mean,KD_mean,H4K16ac_KD_minus_control
chr6,26157331,26157832,MOF_loss_000016,-0.03845125257582246,0.3708862459394865,0.3065402225373748,0.0968170189586823,0.16621749668183203,0.20167862074802856,0.03546112406619653
chrKI270519.1,113222,113723,MOF_loss_000017,0.03371783510081009,0.017183274372728048,0.22469228969147045,0.07707251361877976,0.02545055473676907,0.15088240165512512,0.12543184691835604
chr17,81966759,81967260,MOF_loss_000018,0.35478126184788056,0.43098018289415424,0.21213185888326572,0.19200212135910988,0.3928807223710174,0.20206699012118778,-0.19081373224982962
chr10,90921078,90921579,MOF_loss_000019,0.11598940972915428,0.007670908021236846,0.15904570294975373,-0.058669970308555044,0.061830158875195565,0.05018786632059934,-0.011642292554596222
chr8,125655636,125656137,MOF_loss_000020,1.7284169389816102,1.619896185850193,1.1856943004859422,0.8221732640932659,1.6741565624159016,1.003933782289604,-0.6702227801262977
chrKI270442.1,157078,157579,MOF_loss_000021,0.009176354688925003,0.06428808800712554,0.17080019489432613,0.24042309091208938,0.03673222134802527,0.20561164290320777,0.16887942155518249
chrGL000194.1,4267,4768,MOF_loss_000022,0.4623729799559968,0.1819900248846608,-0.08351984015757036,0.5291912026866943,0.3221815024203288,0.22283568126456196,-0.09934582115576682
chr2,65366535,65367036,MOF_loss_000023,0.13734502931815123,0.45350920294733077,0.19942891412412753,0.06575062162356224,0.295427116132741,0.13258976787384488,-0.1628373482588961
chr14,61695034,61695535,MOF_loss_000024,0.23259230772267558,-0.09975153904133095,0.1476139278762682,0.016560083441064504,0.06642038434067232,0.08208700565866635,0.015666621317994026
chrML143380.1,48430,48931,MOF_loss_000025,0.08531461183182494,0.3466305243457387,-0.05446513948921196,0.10406940861302102,0.21597256808878182,0.024802134561904533,-0.1911704335268773
chr13,110485408,110485909,MOF_loss_000026,0.5298427798433932,0.22890876857433728,0.048718889271784686,-0.06417201625224121,0.37937577420886526,-0.007726563490228263,-0.3871023376990935
chr2,219279040,219279541,MOF_loss_000027,0.576931335522743,0.16214111004166024,0.21424359035773013,0.22359754019946662,0.3695362227822016,0.21892056527859838,-0.15061565750360323
chrKI270442.1,180199,180700,MOF_loss_000028,0.028268472403064817,-0.10950394348053637,-0.017513709377028983,0.16048055841492678,-0.04061773553873577,0.0714834245189489,0.11210116005768467
chr22,46035719,46036220,MOF_loss_000029,0.34902868566369105,0.8462772555203139,0.30966541041599627,-0.08459744589801083,0.5976529705920024,0.11253398225899272,-0.4851189883330097
chr9,35111414,35111915,MOF_loss_000030,0.25856463371324323,0.15104531956290057,-0.1614237419755278,-0.020391110148645208,0.2048049766380719,-0.0909074260620865,-0.2957124027001584
chr2,111705754,111706255,MOF_loss_000031,0.715832090455139,0.9219854532196344,0.12178228952421875,0.3409453535419024,0.8189087718373866,0.2313638215330606,-0.5875449503043261
chr21,7945317,7945818,MOF_loss_000032,-0.004455323429581172,0.439745481469912,0.15144053368481572,0.07080042827502636,0.21764507902016542,0.11112048097992104,-0.10652459804024438
chr17,76737280,76737781,MOF_loss_000033,0.3378686248301575,0.1727010876297237,0.30355723176807714,0.1526791574637928,0.25528485622994057,0.22811819461593497,-0.027166661614005605
chrGL000224.1,3604,4105,MOF_loss_000034,0.4711921276550688,-0.06879997393116355,0.8315296509487187,0.6452985741123706,0.20119607686195262,0.7384141125305446,0.5372180356685919
