gene_id,Gene,chr,tss
ENSG00000164542.15,MATCAP2,chr7,36390124
ENSG00000128536.18,CDHR3,chr7,105876795
ENSG00000113739.12,STC2,chr5,173328446
ENSG00000015479.22,MATR3,chr5,139273751
ENSG00000144136.13,SLC20A1,chr2,112645852
ENSG00000160691.21,SHC1,chr1,154974451
ENSG00000142224.18,IL19,chr1,206770763
ENSG00000106052.16,TAX1BP1,chr7,27739330
ENSG00000156463.20,SH3RF2,chr5,145936424
ENSG00000078399.20,HOXA9,chr7,27175179
ENSG00000115596.5,WNT6,chr2,218859794
ENSG00000257184.4,HOXA10-HOXA9,chr7,27180238
ENSG00000106290.18,TAF6,chr7,100127186
ENSG00000114993.18,RTKN,chr2,74442421
ENSG00000253293.7,HOXA10,chr7,27180260
ENSG00000214309.7,MBLAC1,chr7,100126693
ENSG00000273269.3,ENSG00000273269,chr2,47176510
ENSG00000135913.13,USP37,chr2,218568767
ENSG00000131188.14,PRR7,chr5,177446444
ENSG00000142910.18,TINAGL1,chr1,31576356
ENSG00000222009.11,BTBD19,chr1,44808505
ENSG00000115183.17,TANC1,chr2,158968502
ENSG00000144580.17,CNOT9,chr2,218568574
ENSG00000008256.19,CYTH3,chr7,6272676
ENSG00000006576.19,PHTF2,chr7,77798651
ENSG00000243910.9,TUBA4B,chr2,219253242
ENSG00000173207.15,CKS1B,chr1,154974640
ENSG00000136231.16,IGF2BP3,chr7,23470832
ENSG00000281039.1,ENSG00000281039,chr7,30550760
ENSG00000197208.8,SLC22A4,chr5,132293736
ENSG00000105855.12,ITGB8,chr7,20330608
ENSG00000006634.10,DBF4,chr7,87876215
ENSG00000117713.23,ARID1A,chr1,26693235
ENSG00000075303.15,SLC25A40,chr7,87876403
ENSG00000183891.8,TTC32,chr2,19902281
ENSG00000084733.13,RAB10,chr2,26033480
ENSG00000128564.10,VGF,chr7,101167244
ENSG00000087077.16,TRIP6,chr7,100867125
ENSG00000175793.12,SFN,chr1,26863148
ENSG00000162892.16,IL24,chr1,206897442
ENSG00000068697.9,LAPTM4A,chr2,20052053
ENSG00000188396.6,DYNLT4,chr1,44807416
ENSG00000115425.16,PECR,chr2,216082954
ENSG00000196290.19,NIF3L1,chr2,200888991
ENSG00000228049.9,POLR2J2,chr7,102671751
ENSG00000148143.15,ZNF462,chr9,106862285
ENSG00000106400.14,ZNHIT1,chr7,101218116
ENSG00000143933.22,CALM2,chr2,47176920
ENSG00000154310.19,TNIK,chr3,171460472
ENSG00000189143.10,CLDN4,chr7,73799541
ENSG00000087338.7,GMCL1,chr2,69829611
ENSG00000074054.23,CLASP1,chr2,121649598
ENSG00000105968.21,H2AZ2,chr7,44848145
ENSG00000115137.13,DNAJC27,chr2,24972093
ENSG00000240344.12,PPIL3,chr2,200889357
ENSG00000267645.5,POLR2J3-UPK3BL2,chr7,102671640
ENSG00000184260.6,H2AC20,chr1,149886917
ENSG00000310604.1,ENSG00000310604,chr2,69829738
ENSG00000145191.17,EIF2B5,chr3,184134985
ENSG00000263528.10,IKBKE,chr1,206470331
ENSG00000158604.18,TMED4,chr7,44582308
ENSG00000146063.22,TRIM41,chr5,181222498
ENSG00000166526.21,ZNF3,chr7,100082705
ENSG00000163032.14,VSNL1,chr2,17539019
ENSG00000127129.12,EDN2,chr1,41500501
ENSG00000006652.16,IFRD1,chr7,112422886
ENSG00000164400.7,CSF2,chr5,132073783
ENSG00000168255.20,POLR2J3,chr7,102572652
ENSG00000162928.11,PEX13,chr2,61017057
ENSG00000075624.19,ACTB,chr7,5563901
ENSG00000285437.4,POLR2J3,chr7,102572619
ENSG00000124762.17,CDKN1A,chr6,36676440
ENSG00000127914.21,AKAP9,chr7,91940836
ENSG00000115520.11,COQ10B,chr2,197453437
ENSG00000077454.19,LRCH4,chr7,100586235
ENSG00000122550.20,KLHL7,chr7,23105728
ENSG00000162927.17,PUS10,chr2,61018283
ENSG00000065883.20,CDK13,chr7,39950012
ENSG00000136810.15,TXN,chr9,110256635
ENSG00000115738.12,ID2,chr2,8678844
ENSG00000106665.18,CLIP2,chr7,74289406
ENSG00000184678.11,H2BC21,chr1,149886681
ENSG00000277149.7,TYW1B,chr7,72828259
ENSG00000071189.23,SNX13,chr7,17940711
ENSG00000072682.22,P4HA2,chr5,132295314
ENSG00000170852.14,KBTBD2,chr7,32894130
ENSG00000170264.15,FAM161A,chr2,61854142
ENSG00000144063.6,MALL,chr2,110116074
ENSG00000119508.19,NR4A3,chr9,99821846
ENSG00000119321.12,FKBP15,chr9,113221457
ENSG00000071967.14,CYBRD1,chr2,171522246
ENSG00000135211.8,TMEM60,chr7,77799722
ENSG00000128585.20,MKLN1,chr7,131110095
ENSG00000115998.10,C2orf42,chr2,70248614
ENSG00000136868.13,SLC31A1,chr9,113221190
ENSG00000116001.19,TIA1,chr2,70248760
ENSG00000082898.21,XPO1,chr2,61538752
ENSG00000127980.18,PEX1,chr7,92528662
ENSG00000106245.13,BUD31,chr7,99408609
ENSG00000163166.17,IWS1,chr2,127526885
ENSG00000127993.17,RBM48,chr7,92528769
ENSG00000177917.13,ARL6IP6,chr2,152717620
ENSG00000003393.18,ALS2,chr2,201782111
ENSG00000106244.15,PDAP1,chr7,99408830
ENSG00000126524.14,SBDS,chr7,66995692
ENSG00000115942.11,ORC2,chr2,200963703
ENSG00000127399.16,LRRC61,chr7,150323262
ENSG00000014641.23,MDH1,chr2,63588556
ENSG00000106526.14,ACTR3C,chr7,150323925
ENSG00000119787.16,ATL2,chr2,38377437
ENSG00000196597.15,ZNF782,chr9,96875622
ENSG00000115866.13,DARS1,chr2,135986099
ENSG00000123600.23,METTL8,chr2,171434801
ENSG00000125629.18,INSIG2,chr2,118088136
ENSG00000113441.18,LNPEP,chr5,96934806
ENSG00000135249.10,RINT1,chr7,105532115
ENSG00000198055.13,GRK6,chr5,177403203
ENSG00000138085.20,ATRAID,chr2,27212011
ENSG00000235007.3,ENSG00000235007,chr9,129139412
ENSG00000180398.15,MCFD2,chr2,46941854
ENSG00000170606.18,HSPA4,chr5,133051941
ENSG00000219545.14,UMAD1,chr7,7640660
ENSG00000187257.18,RSBN1L,chr7,77696439
ENSG00000159884.13,CCDC107,chr9,35658276
ENSG00000113712.20,CSNK1A1,chr5,149551576
ENSG00000197694.21,SPTAN1,chr9,128552557
ENSG00000119203.16,CPSF3,chr2,9423622
ENSG00000072803.20,FBXW11,chr5,172006906
ENSG00000158417.14,EIF5B,chr2,99337360
ENSG00000168672.6,LRATD2,chr8,126558483
ENSG00000065548.21,ZC3H15,chr2,186485889
ENSG00000196196.3,HRCT1,chr9,35906201
ENSG00000145725.23,PPIP5K2,chr5,103120148
ENSG00000115524.19,SF3B1,chr2,197435078
ENSG00000169242.14,EFNA1,chr1,155127451
ENSG00000145723.19,GIN1,chr5,103120225
ENSG00000170271.13,FAXDC2,chr5,154859251
ENSG00000169871.15,TRIM56,chr7,101085233
ENSG00000205356.12,TECPR1,chr7,98252239
ENSG00000003509.18,NDUFAF7,chr2,37231627
ENSG00000006704.13,GTF2IRD1,chr7,74452462
ENSG00000235387.7,SPAAR,chr9,35909487
ENSG00000169764.18,UGP2,chr2,63840944
ENSG00000115816.17,CEBPZ,chr2,37231611
ENSG00000176532.6,PRR15,chr7,29563774
ENSG00000164690.8,SHH,chr7,155812462
ENSG00000286112.1,KYAT1,chr9,128881930
ENSG00000125630.17,POLR1B,chr2,112541914
ENSG00000119185.15,ITGB1BP1,chr2,9423890
ENSG00000164713.11,BRI3,chr7,98252378
ENSG00000049860.15,HEXB,chr5,74640022
ENSG00000184270.6,H2AC21,chr1,149887964
ENSG00000119844.19,AFTPH,chr2,64524285
ENSG00000128563.15,PRKRIP1,chr7,102363807
ENSG00000196456.15,ZNF775,chr7,150368789
ENSG00000144028.17,SNRNP200,chr2,96321270
ENSG00000115827.16,DCAF17,chr2,171434216
ENSG00000105821.17,DNAJC2,chr7,103344836
ENSG00000198874.16,TYW1,chr7,66995172
ENSG00000099139.16,PCSK5,chr9,75890638
ENSG00000136802.14,LRRC8A,chr9,128882119
ENSG00000128607.16,KLHDC10,chr7,130070533
ENSG00000114019.17,AMOTL2,chr3,134375478
ENSG00000170584.14,NUDCD2,chr5,163460403
ENSG00000135069.16,PSAT1,chr9,78297093
ENSG00000160991.19,ORAI2,chr7,102433105
ENSG00000070214.19,SLC44A1,chr9,105244518
ENSG00000004866.24,ST7,chr7,116952979
ENSG00000072571.22,HMMR,chr5,163460202
ENSG00000005075.18,POLR2J,chr7,102478935
ENSG00000005073.7,HOXA11,chr7,27185252
ENSG00000115207.17,GTF3C2,chr2,27357565
ENSG00000106460.22,TMEM106B,chr7,12210930
ENSG00000270249.2,ENSG00000270249,chr7,102592443
ENSG00000145808.12,ADAMTS19,chr5,129459681
ENSG00000178966.18,RMI1,chr9,83980354
ENSG00000176402.6,GJC3,chr7,99929619
ENSG00000130222.13,GADD45G,chr9,89604938
ENSG00000157240.5,FZD1,chr7,91264432
ENSG00000122687.21,MRM2,chr7,2242228
ENSG00000114999.10,TTL,chr2,112482111
ENSG00000120727.15,PAIP2,chr5,139341586
ENSG00000136925.17,TSTD2,chr9,97633575
ENSG00000135334.11,AKIRIN2,chr6,87702274
ENSG00000171097.16,KYAT1,chr9,128882555
ENSG00000136295.18,TTYH3,chr7,2631897
ENSG00000171848.18,RRM2,chr2,10120697
ENSG00000136937.15,NCBP1,chr9,97633401
ENSG00000286192.1,ENSG00000286192,chr7,2242214
ENSG00000272772.2,ENSG00000272772,chr5,134225860
ENSG00000106268.18,NUDT1,chr7,2242202
ENSG00000135164.21,DMTF1,chr7,87152339
ENSG00000168758.13,SEMA4C,chr2,96873839
ENSG00000162775.18,RBM15,chr1,110338505
ENSG00000122547.14,EEPD1,chr7,36153074
ENSG00000081479.16,LRP2,chr2,169362779
ENSG00000065526.14,SPEN,chr1,15836094
ENSG00000187980.8,PLA2G2C,chr1,20186523
ENSG00000119866.23,BCL11A,chr2,60554466
ENSG00000168906.15,MAT2A,chr2,85539162
ENSG00000164142.18,FHIP1A,chr4,151409117
ENSG00000174799.14,CEP135,chr4,55948818
ENSG00000113575.15,PPP2CA,chr5,134226218
ENSG00000087087.22,SRRT,chr7,100875064
ENSG00000270276.3,H4C15,chr1,149861158
ENSG00000178096.11,BOLA1,chr1,149886405
ENSG00000158987.24,RAPGEF6,chr5,131635271
ENSG00000127947.18,PTPN12,chr7,77537064
ENSG00000148200.19,NR6A1,chr9,124771348
ENSG00000001630.20,CYP51A1,chr7,92134802
ENSG00000198522.16,GPN1,chr2,27628246
ENSG00000180667.11,YOD1,chr1,207052979
ENSG00000177556.14,ATOX1,chr5,151772531
ENSG00000146828.20,SLC12A9,chr7,100826819
ENSG00000109686.23,SH3D19,chr4,151409364
ENSG00000204335.5,SP5,chr2,170715286
ENSG00000143970.19,ASXL2,chr2,25878599
ENSG00000113645.17,WWC1,chr5,168291562
ENSG00000197043.17,ANXA6,chr5,151157978
ENSG00000075426.14,FOSL2,chr2,28392447
ENSG00000003402.23,CFLAR,chr2,201116004
ENSG00000214253.11,FIS1,chr7,101252320
ENSG00000106484.17,MEST,chr7,130486170
ENSG00000145819.19,ARHGAP26,chr5,142770342
ENSG00000080802.23,CNOT4,chr7,135510144
ENSG00000269955.2,FMC1-LUC7L2,chr7,139341359
ENSG00000179528.17,LBX2,chr2,74503315
ENSG00000168374.13,ARF4,chr3,57598219
ENSG00000187514.19,PTMA,chr2,231706894
ENSG00000134107.7,BHLHE40,chr3,4978714
ENSG00000105879.14,CBLL1,chr7,107743072
ENSG00000197191.7,CYSRT1,chr9,137225173
ENSG00000119335.20,SET,chr9,128683423
ENSG00000136270.16,TBRG4,chr7,45112047
ENSG00000162783.11,IER5,chr1,181088699
ENSG00000015676.20,NUDCD3,chr7,44490918
ENSG00000136936.13,XPA,chr9,97697407
ENSG00000049541.13,RFC2,chr7,74254457
ENSG00000143294.17,PRCC,chr1,156750609
ENSG00000138078.18,PREPL,chr2,44361861
ENSG00000078114.21,NEBL,chr10,21293010
ENSG00000143919.17,CAMKMT,chr2,44361873
ENSG00000084710.16,EFR3B,chr2,25042047
ENSG00000176125.7,UFSP1,chr7,100889714
ENSG00000214022.14,REPIN1,chr7,150368066
ENSG00000130675.16,MNX1,chr7,157010667
ENSG00000198556.16,ZNF789,chr7,99472793
ENSG00000136854.28,STXBP1,chr9,127579369
ENSG00000128512.25,DOCK4,chr7,112206406
ENSG00000197747.11,S100A10,chr1,151993890
ENSG00000198961.13,PJA2,chr5,109410033
ENSG00000159650.11,UROC1,chr3,126517777
ENSG00000124383.13,MPHOSPH10,chr2,71130304
ENSG00000167118.13,URM1,chr9,128371340
ENSG00000127377.11,CRYGN,chr7,151440812
ENSG00000136830.14,NIBAN2,chr9,127579048
ENSG00000144366.19,GULP1,chr2,188291104
ENSG00000114115.13,RBP1,chr3,139540395
ENSG00000105792.21,CFAP69,chr7,90245160
ENSG00000106078.21,COBL,chr7,51317186
ENSG00000203811.2,H3C14,chr1,149841207
ENSG00000107175.14,CREB3,chr9,35732295
ENSG00000213639.13,PPP1CB,chr2,28751078
ENSG00000137076.24,TLN1,chr9,35732211
ENSG00000119878.9,CRIPT,chr2,46616415
ENSG00000124370.13,MCEE,chr2,71130278
ENSG00000271793.2,ENSG00000271793,chr6,85678732
ENSG00000144746.9,ARL6IP5,chr3,69084784
ENSG00000168209.8,DDIT4,chr10,72273918
ENSG00000082258.15,CCNT2,chr2,134918234
ENSG00000160813.9,PPP1R35,chr7,100436545
ENSG00000275221.3,H2AC15,chr6,27838374
ENSG00000151665.15,PIGF,chr2,46617066
ENSG00000174840.11,PDE12,chr3,57556248
ENSG00000138074.17,SLC5A6,chr2,27212957
ENSG00000106266.13,SNX8,chr7,2354317
ENSG00000146054.20,TRIM7,chr5,181205308
ENSG00000189043.12,COXFA4,chr7,10940530
ENSG00000142627.15,EPHA2,chr1,16156140
ENSG00000038274.20,MAT2B,chr5,163503108
ENSG00000006468.17,ETV1,chr7,13991424
ENSG00000118257.18,NRP2,chr2,205681989
ENSG00000153317.17,ASAP1,chr8,130444081
ENSG00000233822.8,H2BC15,chr6,27838544
ENSG00000119139.23,TJP2,chr9,69121263
ENSG00000109534.19,GAR1,chr4,109815475
ENSG00000275052.7,PPP4R3B,chr2,55618879
ENSG00000172432.21,GTPBP2,chr6,43629290
ENSG00000203852.4,H3C15,chr1,149852607
ENSG00000188529.17,SRSF10,chr1,23980926
ENSG00000196636.9,SDHAF3,chr7,97117676
ENSG00000136932.18,TRMO,chr9,97922569
ENSG00000135049.18,AGTPBP1,chr9,85742143
ENSG00000204947.11,ZNF425,chr7,149126347
ENSG00000163683.14,SMIM14,chr4,39639091
ENSG00000106258.18,CYP3A5,chr7,99680042
ENSG00000116698.24,SMG7,chr1,183471870
ENSG00000107140.19,TESK1,chr9,35605234
ENSG00000211456.16,SACM1L,chr3,45689055
ENSG00000197024.11,ZNF398,chr7,149126415
ENSG00000168899.7,VAMP5,chr2,85584396
ENSG00000114251.16,WNT5A,chr3,55490538
ENSG00000146963.20,LUC7L2,chr7,139340358
ENSG00000176714.12,CCDC121,chr2,27629017
ENSG00000116095.13,PLEKHA3,chr2,178480346
ENSG00000177239.18,MAN1B1,chr9,137085916
ENSG00000165655.18,ZNF503,chr10,75402398
ENSG00000168916.18,ZNF608,chr5,124748823
ENSG00000078579.10,FGF20,chr8,17002351
ENSG00000096433.13,ITPR3,chr6,33620330
ENSG00000064419.16,TNPO3,chr7,129055207
ENSG00000106178.9,CCL24,chr7,75823942
ENSG00000095383.21,TBC1D2,chr9,98256426
ENSG00000185414.22,MRPL30,chr2,99181110
ENSG00000107719.12,PALD1,chr10,70477657
ENSG00000138029.16,HADHB,chr2,26243169
ENSG00000135925.11,WNT10A,chr2,218880851
ENSG00000156535.16,CD109,chr6,73695778
ENSG00000114268.14,PFKFB4,chr3,48562014
ENSG00000115568.18,ZNF142,chr2,218659654
ENSG00000288859.2,H2AC19,chr1,149851060
ENSG00000068724.20,TTC7A,chr2,46915868
ENSG00000293564.1,ENSG00000293564,chr1,179882315
ENSG00000222011.11,FAM185A,chr7,102748938
ENSG00000169905.15,TOR1AIP2,chr1,179883033
ENSG00000185129.8,PURA,chr5,140107776
ENSG00000138448.15,ITGAV,chr2,186589664
ENSG00000196504.23,PRPF40A,chr2,152719049
ENSG00000117593.14,DARS2,chr1,173824539
ENSG00000129071.12,MBD4,chr3,129440542
ENSG00000095002.18,MSH2,chr2,47403066
ENSG00000158050.8,DUSP2,chr2,96145446
ENSG00000158411.12,MITD1,chr2,99181351
ENSG00000143398.22,PIP5K1A,chr1,151197948
ENSG00000183111.14,ARHGEF37,chr5,149551946
ENSG00000131503.23,ANKHD1,chr5,140401659
ENSG00000106443.19,PHF14,chr7,10973326
ENSG00000148187.20,MRRF,chr9,122264140
ENSG00000106263.21,EIF3B,chr7,2354079
ENSG00000119446.16,RBM18,chr9,122264854
ENSG00000115762.19,PLEKHB2,chr2,131104846
ENSG00000120334.18,CENPL,chr1,173824924
ENSG00000138380.20,CARF,chr2,202912213
ENSG00000168509.22,HJV,chr1,146036745
ENSG00000104763.22,ASAH1,chr8,18084997
ENSG00000254996.5,ANKHD1-EIF4EBP3,chr5,140401907
ENSG00000113525.12,IL5,chr5,132556837
ENSG00000115282.23,TTC31,chr2,74482616
ENSG00000163191.8,S100A11,chr1,152047906
ENSG00000270882.3,H4C14,chr1,149832656
ENSG00000163125.18,RPRD2,chr1,150363090
ENSG00000187616.6,MYMK,chr9,133528611
ENSG00000143578.18,CREB3L4,chr1,153963718
ENSG00000270757.1,HSPE1-MOB4,chr2,197500412
ENSG00000120725.15,SIL1,chr5,139293556
ENSG00000159176.16,CSRP1,chr1,201540141
ENSG00000138031.17,ADCY3,chr2,24920298
ENSG00000136280.19,CCM2,chr7,44999474
ENSG00000289694.1,ENSG00000289694,chr1,22025141
ENSG00000120705.15,ETF1,chr5,138543238
ENSG00000115875.21,SRSF7,chr2,38751497
ENSG00000196411.12,EPHB4,chr7,100827583
ENSG00000158373.11,H2BC5,chr6,26158121
ENSG00000109736.17,SLC75A1,chr4,2935461
ENSG00000154978.15,VOPP1,chr7,55572987
ENSG00000129696.15,TTI2,chr8,33513184
ENSG00000137101.15,CD72,chr9,35646809
ENSG00000164134.16,NAA15,chr4,139301445
ENSG00000135185.14,TMEM243,chr7,87220596
ENSG00000152147.13,GEMIN6,chr2,38751533
ENSG00000120656.16,TAF12,chr1,28648363
ENSG00000084676.18,NCOA1,chr2,24490982
ENSG00000289490.1,ENSG00000289490,chr2,202377111
ENSG00000118985.18,ELL2,chr5,95961906
ENSG00000115541.13,HSPE1,chr2,197500109
ENSG00000204217.17,BMPR2,chr2,202375834
ENSG00000115325.16,DOK1,chr2,74548874
ENSG00000115145.12,STAM2,chr2,152175780
ENSG00000115307.19,AUP1,chr2,74529965
ENSG00000234545.10,FAM133B,chr7,92590416
ENSG00000005486.19,RHBDD2,chr7,75842601
ENSG00000144959.13,NCEH1,chr3,172711217
ENSG00000105991.11,HOXA1,chr7,27096038
ENSG00000106524.11,ANKMY2,chr7,16645840
ENSG00000169989.5,TIGD4,chr4,152779777
ENSG00000159239.13,ENSG00000159239,chr2,74421661
ENSG00000143337.20,TOR1AIP1,chr1,179882041
ENSG00000115091.14,ACTR3,chr2,113889599
ENSG00000284308.3,C2orf81,chr2,74421654
ENSG00000196975.18,ANXA4,chr2,69643108
ENSG00000171853.18,TRAPPC12,chr2,3379668
ENSG00000171617.18,ENC1,chr5,74641423
ENSG00000165322.20,ARHGAP12,chr10,31928875
ENSG00000273983.2,H3C8,chr6,26271412
ENSG00000118965.18,WDR35,chr2,19990161
ENSG00000163449.13,TMEM169,chr2,216081865
ENSG00000106351.15,AGFG2,chr7,100539168
ENSG00000164144.18,ARFIP1,chr4,152779095
ENSG00000285053.1,ENSG00000285053,chr1,235328569
ENSG00000118655.10,DCLRE1B,chr1,113904402
ENSG00000203667.12,COX20,chr1,244835300
ENSG00000164885.15,CDK5,chr7,151057951
ENSG00000288635.1,ENSG00000288635,chr7,116954390
ENSG00000115211.19,EIF2B4,chr2,27370465
ENSG00000119013.12,NDUFB3,chr2,201071432
ENSG00000173080.6,RXFP4,chr1,155941637
ENSG00000188784.4,PLA2G2E,chr1,19923616
ENSG00000178381.15,ZFAND2A,chr7,1175913
ENSG00000186638.19,KIF24,chr9,34329281
ENSG00000079150.20,FKBP7,chr2,178478603
ENSG00000005448.19,WDR54,chr2,74421476
ENSG00000185278.18,ZBTB37,chr1,173868081
ENSG00000115234.13,SNX17,chr2,27370495
ENSG00000117394.26,SLC2A1,chr1,42958903
ENSG00000095209.14,TMEM38B,chr9,105694339
ENSG00000133056.16,PIK3C2B,chr1,204494857
ENSG00000138463.11,SLC49A4,chr3,122794818
ENSG00000004766.19,VPS50,chr7,93232339
ENSG00000135624.19,CCT7,chr2,73233419
ENSG00000285542.1,ENSG00000285542,chr2,44168850
ENSG00000138759.22,FRAS1,chr4,78056960
ENSG00000135637.17,CCDC142,chr2,74483407
ENSG00000074582.17,BCS1L,chr2,218658763
ENSG00000198839.12,ZNF277,chr7,112206618
ENSG00000075618.20,FSCN1,chr7,5592805
ENSG00000158458.23,NRG2,chr5,140043327
ENSG00000019549.14,SNAI2,chr8,48921739
ENSG00000164978.21,NUDT2,chr9,34329495
ENSG00000124688.16,MAD2L1BP,chr6,43629493
ENSG00000128656.17,CHN1,chr2,175005404
ENSG00000163577.10,EIF5A2,chr3,170908643
ENSG00000138459.11,SLC35A5,chr3,112561268
ENSG00000134262.17,AP4B1,chr1,113905721
ENSG00000180644.10,PRF1,chr10,70602787
ENSG00000106603.22,COA1,chr7,43729856
ENSG00000142765.20,SYTL1,chr1,27342008
ENSG00000286522.3,H3C2,chr6,26032101
ENSG00000152061.25,RABGAP1L,chr1,174159338
ENSG00000179165.12,PXT1,chr6,36442853
ENSG00000293560.3,MYH16,chr7,99272838
ENSG00000122643.26,NT5C3A,chr7,33062836
ENSG00000151151.8,IPMK,chr10,58267959
ENSG00000135960.12,EDAR,chr2,108989371
ENSG00000198885.12,ITPRIPL1,chr2,96324976
ENSG00000239779.9,WBP1,chr2,74458262
ENSG00000138413.16,IDH1,chr2,208266094
ENSG00000112078.16,KCTD20,chr6,36442766
ENSG00000134996.14,OSTF1,chr9,75088420
ENSG00000163660.14,CCNL1,chr3,157160770
ENSG00000114346.16,ECT2,chr3,172750681
ENSG00000115966.20,ATF2,chr2,175168381
ENSG00000169087.13,HSPBAP1,chr3,122795034
ENSG00000123836.17,PFKFB2,chr1,207034365
ENSG00000115020.19,PIKFYVE,chr2,208266228
ENSG00000105974.15,CAV1,chr7,116524984
ENSG00000135617.6,PRADC1,chr2,73233261
ENSG00000164463.14,CREBRF,chr5,173056322
ENSG00000153234.18,NR4A2,chr2,156342347
ENSG00000143198.15,MGST3,chr1,165630846
ENSG00000164296.9,TIGD6,chr5,150001159
ENSG00000143493.15,INTS7,chr1,212035571
ENSG00000136709.14,WDR33,chr2,127811194
ENSG00000143476.20,DTL,chr1,212035552
ENSG00000134982.21,APC,chr5,112707451
ENSG00000105829.14,BET1,chr7,94004382
ENSG00000145907.18,G3BP1,chr5,151770950
ENSG00000001460.20,STPG1,chr1,24416933
ENSG00000157259.9,GATAD1,chr7,92447447
ENSG00000104218.18,CSPP1,chr8,67062380
ENSG00000182389.21,CACNB4,chr2,152099181
ENSG00000144848.13,ATG3,chr3,112562317
ENSG00000054267.24,ARID4B,chr1,235328799
ENSG00000155508.16,CNOT8,chr5,154857528
ENSG00000160678.14,S100A1,chr1,153608922
ENSG00000143033.20,MTF2,chr1,93079234
ENSG00000189410.14,SH2D5,chr1,20732836
ENSG00000107796.16,ACTA2,chr10,88991338
ENSG00000105926.18,PALS2,chr7,24572935
ENSG00000148229.15,POLE3,chr9,113410722
ENSG00000182795.15,C1orf116,chr1,207032820
ENSG00000169247.16,SH3TC2,chr5,149063162
ENSG00000164615.8,CAMLG,chr5,134737607
ENSG00000134369.19,NAV1,chr1,201538945
ENSG00000106346.14,USP42,chr7,6104754
ENSG00000172115.11,CYCS,chr7,25125366
ENSG00000232434.4,AJM1,chr9,136842477
ENSG00000168894.12,RNF181,chr2,85595619
ENSG00000055917.19,PUM2,chr2,20352233
ENSG00000164649.22,CDCA7L,chr7,21946218
ENSG00000119471.17,HSDL2,chr9,112380018
ENSG00000106049.11,HIBADH,chr7,27663012
ENSG00000047315.18,POLR2B,chr4,56977710
ENSG00000188186.12,LAMTOR4,chr7,100148887
ENSG00000106733.23,NMRK1,chr9,75088830
ENSG00000113716.15,HMGXB3,chr5,150000045
ENSG00000188761.14,BCL2L15,chr1,113887587
ENSG00000113522.16,RAD50,chr5,132556018
ENSG00000288701.2,PRRC2B,chr9,131373635
ENSG00000276966.3,H4C5,chr6,26204609
ENSG00000168298.7,H1-4,chr6,26156328
ENSG00000122861.18,PLAU,chr10,73909176
ENSG00000161040.21,FBXL13,chr7,103075399
ENSG00000008869.14,HEATR5B,chr2,37084408
ENSG00000164548.14,TRA2A,chr7,23532040
ENSG00000148019.16,CEP78,chr9,78236036
ENSG00000084092.9,NOA1,chr4,56977624
ENSG00000163576.19,EFHB,chr3,19947024
ENSG00000106299.10,WASL,chr7,123749180
ENSG00000152133.19,GPATCH11,chr2,37084417
ENSG00000188015.12,S100A3,chr1,153550150
ENSG00000144566.13,RAB5A,chr3,19947067
ENSG00000157653.14,C9orf43,chr9,113410053
ENSG00000196787.5,H2AC11,chr6,27133042
ENSG00000115828.19,QPCT,chr2,37342826
