seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	689595	689770	176	*	p65_0hr_peak_826	25	.	4.2052	5.76508	2.52133	10	Promoter (2-3kb)	1	685716	686654	939	2	81399	ENST00000332831.5	-2941	ENSG00000284662	OR4F16	olfactory receptor family 4 subfamily F member 16
chr1	718730	718905	176	*	p65_0hr_peak_827	26	.	4.30571	6.09996	2.61559	76	Promoter (1-2kb)	1	701936	720150	18215	2	81399	ENST00000441245.5	1245	ENSG00000284662	OR4F16	olfactory receptor family 4 subfamily F member 16
chr1	755254	755429	176	*	p65_0hr_peak_828	26	.	4.30571	6.09996	2.61559	84	Intron (ENST00000635509.2/105378947, intron 1 of 3)	1	710605	774280	63676	2	100288069	ENST00000743822.1	18851	NA	LOC100288069	uncharacterized LOC100288069
chr1	1249065	1249438	374	*	p65_0hr_peak_829	16	.	3.44457	4.60611	1.65242	136	Promoter (2-3kb)	1	1242453	1246722	4270	2	388581	ENST00000330388.2	-2343	ENSG00000184163	C1QTNF12	C1q and TNF related 12
chr1	3615921	3616096	176	*	p65_0hr_peak_830	37	.	5.16686	7.67231	3.72411	79	Distal Intergenic	1	3487951	3611508	123558	2	1953	ENST00000356575.9	-4413	ENSG00000162591	MEGF6	multiple EGF like domains 6
chr1	3892018	3892239	222	*	p65_0hr_peak_831	16	.	3.44457	4.60611	1.65242	80	Exon (ENST00000474140.1/339448, exon 2 of 3)	1	3900187	3906110	5924	1	100133612	ENST00000757271.1	-7948	ENSG00000236423	LINC01134	long intergenic non-protein coding RNA 1134
chr1	4103557	4103732	176	*	p65_0hr_peak_832	15	.	3.29279	4.12662	1.53624	88	Distal Intergenic	1	3976143	4011552	35410	1	105376673	ENST00000742918.1	127414	ENSG00000284668	LINC02780	long intergenic non-protein coding RNA 2780
chr1	5825342	5825599	258	*	p65_0hr_peak_833	37	.	5.16686	7.67231	3.72411	162	Distal Intergenic	1	5862672	5862741	70	2	100616421	ENST00000582517.1	37142	ENSG00000264101	MIR4689	microRNA 4689
chr1	7114758	7114944	187	*	p65_0hr_peak_834	26	.	4.25024	5.91036	2.61559	124	Intron (ENST00000303635.12/23261, intron 4 of 22)	1	7008376	7014279	5904	2	127138864	ENST00000456701.1	-100479	ENSG00000237365	CAMTA1-AS3	CAMTA1 antisense RNA 3
chr1	7115072	7115541	470	*	p65_0hr_peak_835	43	.	5.76238	8.46002	4.37116	298	Intron (ENST00000303635.12/23261, intron 4 of 22)	1	7008376	7014279	5904	2	127138864	ENST00000456701.1	-100793	ENSG00000237365	CAMTA1-AS3	CAMTA1 antisense RNA 3
chr1	8530859	8531068	210	*	p65_0hr_peak_836	26	.	4.30571	6.09996	2.61559	84	Intron (ENST00000337907.7/473, intron 8 of 23)	1	8495151	8526039	30889	2	473	ENST00000507012.1	-4820	ENSG00000142599	RERE	arginine-glutamic acid dipeptide repeats
chr1	8995834	8996095	262	*	p65_0hr_peak_837	37	.	5.16686	7.67231	3.72411	134	Distal Intergenic	1	9002973	9026423	23451	2	155184	ENST00000400906.2	30328	ENSG00000197241	SLC2A7	solute carrier family 2 member 7
chr1	10884113	10884288	176	*	p65_0hr_peak_838	26	.	4.30571	6.09996	2.61559	51	Distal Intergenic	1	10946475	10947870	1396	2	148345	ENST00000468348.1	63582	ENSG00000175262	CIROZ	ciliated left-right organizer protein containing ZP-N domains
chr1	12183543	12183754	212	*	p65_0hr_peak_839	67	.	7.26155	11.241	6.75253	107	Intron (ENST00000376259.7/7133, intron 1 of 9)	1	12191713	12191773	61	1	100616438	ENST00000584158.1	-7959	ENSG00000263676	MIR4632	microRNA 4632
chr1	12618320	12618498	179	*	p65_0hr_peak_840	37	.	5.44168	7.61256	3.72411	82	Promoter (<=1kb)	1	12567910	12618210	50301	2	9249	ENST00000616661.5	-110	ENSG00000162496	DHRS3	dehydrogenase/reductase 3
chr1	12619027	12619202	176	*	p65_0hr_peak_841	30	.	4.82632	6.63205	3.04518	115	Promoter (<=1kb)	1	12567909	12619171	51263	2	9249	ENST00000714541.1	0	ENSG00000162496	DHRS3	dehydrogenase/reductase 3
chr1	12790271	12790446	176	*	p65_0hr_peak_842	26	.	4.29626	6.06674	2.61559	94	Promoter (<=1kb)	1	12791397	12796628	5232	1	65121	ENST00000332296.7	-951	ENSG00000116721	PRAMEF1	PRAME family member 1
chr1	13242803	13243006	204	*	p65_0hr_peak_843	26	.	4.66429	6.22211	2.69513	32	Intron (ENST00000729779.1/ENST00000729779.1, intron 1 of 2)	1	13254198	13263435	9238	1	343068	ENST00000622421.3	-11192	ENSG00000270601	PRAMEF5	PRAME family member 5
chr1	13839507	13839682	176	*	p65_0hr_peak_844	26	.	4.30571	6.09996	2.61559	144	Intron (ENST00000801166.1/ENST00000801166.1, intron 1 of 1)	1	13892792	14304663	411872	1	23254	ENST00000636564.1	-53110	ENSG00000189337	KAZN	kazrin, periplakin interacting protein
chr1	14029194	14029379	186	*	p65_0hr_peak_845	37	.	5.16686	7.67231	3.72411	87	Intron (ENST00000636564.1/23254, intron 1 of 2)	1	13892792	15118043	1225252	1	23254	ENST00000636203.1	136402	ENSG00000189337	KAZN	kazrin, periplakin interacting protein
chr1	14029483	14029658	176	*	p65_0hr_peak_846	26	.	4.30571	6.09996	2.61559	48	Intron (ENST00000636564.1/23254, intron 1 of 2)	1	13892792	15118043	1225252	1	23254	ENST00000636203.1	136691	ENSG00000189337	KAZN	kazrin, periplakin interacting protein
chr1	14287859	14288034	176	*	p65_0hr_peak_847	32	.	4.93918	6.94521	3.26756	99	Intron (ENST00000636564.1/23254, intron 2 of 2)	1	14348947	14351324	2378	2	105376762	ENST00000661309.1	63290	ENSG00000234593	KAZN-AS1	KAZN antisense RNA 1
chr1	15531415	15531613	199	*	p65_0hr_peak_848	43	.	5.76238	8.46002	4.37116	62	Intron (ENST00000375838.5/23341, intron 2 of 12)	1	15526848	15571733	44886	1	23341	ENST00000375847.8	4567	ENSG00000116138	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16
chr1	15795079	15795254	176	*	p65_0hr_peak_849	37	.	5.15551	7.63229	3.72411	115	Intron (ENST00000746505.1/ENST00000746505.1, intron 2 of 3)	1	15807374	15807649	276	2	440567	ENST00000696689.1	12395	ENSG00000233954	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like
chr1	16358703	16358911	209	*	p65_0hr_peak_850	37	.	5.16686	7.67231	3.72411	97	Intron (ENST00000475078.1/26099, intron 2 of 2)	1	16352575	16393355	40781	1	26099	ENST00000475078.1	6128	ENSG00000055070	SZRD1	SUZ RNA binding domain containing 1
chr1	16514112	16514287	176	*	p65_0hr_peak_851	37	.	5.16686	7.67231	3.72411	80	Promoter (<=1kb)	1	16514122	16514285	164	2	26871	ENST00000383925.1	0	ENSG00000206652	RNU1-1	RNA, U1 small nuclear 1
chr1	16563941	16564116	176	*	p65_0hr_peak_852	37	.	5.16686	7.67231	3.72411	83	3' UTR	1	16533886	16535649	1764	2	100132147	ENST00000415386.2	-28292	ENSG00000233421	LINC01783	long intergenic non-protein coding RNA 1783
chr1	16572335	16572510	176	*	p65_0hr_peak_853	26	.	4.30571	6.09996	2.61559	84	Intron (ENST00000430580.6/55672, intron 22 of 28)	1	16564853	16604934	40082	2	55672	ENST00000392963.5	32424	ENSG00000219481	NBPF1	NBPF member 1
chr1	16731401	16731576	176	*	p65_0hr_peak_854	26	.	4.30571	6.09996	2.61559	85	Distal Intergenic	1	16737349	16740124	2776	2	124903859	ENST00000849135.1	8548	ENSG00000282740	LOC124903859	uncharacterized LOC124903859
chr1	16866142	16866318	177	*	p65_0hr_peak_855	32	.	4.93918	6.94521	3.26756	41	Intron (ENST00000466256.6/9696, intron 1 of 8)	1	16870945	16874079	3135	1	112267871	ENST00000438002.1	-4627	ENSG00000228549	LINC03126	long intergenic non-protein coding RNA 3126
chr1	16895980	16896155	176	*	p65_0hr_peak_856	37	.	5.16686	7.67231	3.72411	84	Promoter (<=1kb)	1	16895980	16896143	164	1	26870	ENST00000384278.1	0	ENSG00000207005	RNU1-2	RNA, U1 small nuclear 2
chr1	17433891	17434066	176	*	p65_0hr_peak_857	26	.	4.30571	6.09996	2.61559	80	Intron (ENST00000375436.9/55920, intron 2 of 12)	1	17408676	17438561	29886	2	55920	ENST00000375433.3	4495	ENSG00000179051	RCC2	regulator of chromosome condensation 2
chr1	18136366	18136541	176	*	p65_0hr_peak_858	26	.	4.30571	6.09996	2.61559	152	Intron (ENST00000251296.4/84966, intron 1 of 9)	1	18107798	18378483	270686	1	84966	ENST00000251296.4	28568	ENSG00000117154	IGSF21	immunoglobin superfamily member 21
chr1	20832722	20832897	176	*	p65_0hr_peak_859	26	.	4.30571	6.09996	2.61559	104	Intron (ENST00000374935.7/8672, intron 26 of 32)	1	20807025	20851268	44244	2	8672	ENST00000435383.2	18371	ENSG00000075151	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
chr1	21024799	21024974	176	*	p65_0hr_peak_860	26	.	4.30571	6.09996	2.61559	132	Intron (ENST00000374935.7/8672, intron 4 of 32)	1	20806488	21050950	244463	2	8672	ENST00000681717.1	25976	ENSG00000075151	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
chr1	21389309	21389500	192	*	p65_0hr_peak_861	37	.	5.16686	7.67231	3.72411	94	Distal Intergenic	1	21411460	21413293	1834	2	105376832	ENST00000443127.1	23793	NA	LOC105376832	uncharacterized LOC105376832
chr1	21637980	21638156	177	*	p65_0hr_peak_862	50	.	6.028	9.31118	5.04104	78	Intron (ENST00000471600.6/5909, intron 2 of 24)	1	21596221	21651820	55600	2	5909	ENST00000471600.6	13664	ENSG00000076864	RAP1GAP	RAP1 GTPase activating protein
chr1	23242702	23242877	176	*	p65_0hr_peak_863	37	.	5.16686	7.67231	3.72411	38	Distal Intergenic	1	23191895	23217502	25608	2	3352	ENST00000374619.2	-25200	ENSG00000179546	HTR1D	5-hydroxytryptamine receptor 1D
chr1	24133694	24133869	176	*	p65_0hr_peak_864	26	.	4.30571	6.09996	2.61559	107	Intron (ENST00000270800.2/58985, intron 4 of 6)	1	24119771	24143140	23370	2	58985	ENST00000270800.2	9271	ENSG00000142677	IL22RA1	interleukin 22 receptor subunit alpha 1
chr1	24782557	24782732	176	*	p65_0hr_peak_865	16	.	3.44457	4.60611	1.65242	89	Intron (ENST00000497755.1/25932, intron 1 of 5)	1	24745447	24844321	98875	1	25932	ENST00000374379.9	37110	ENSG00000169504	CLIC4	chloride intracellular channel 4
chr1	27149994	27150260	267	*	p65_0hr_peak_866	23	.	4.11598	5.49678	2.33271	95	Intron (ENST00000263980.8/6548, intron 1 of 11)	1	27105451	27154598	49148	2	6548	ENST00000374086.3	4338	ENSG00000090020	SLC9A1	solute carrier family 9 member A1
chr1	28648432	28648777	346	*	p65_0hr_peak_867	26	.	4.30571	6.09996	2.61559	289	Promoter (<=1kb)	1	28648590	28648829	240	1	26824	ENST00000833538.1	0	ENSG00000274978	RNU11	RNA, U11 small nuclear
chr1	29657307	29657482	176	*	p65_0hr_peak_868	26	.	4.25024	5.91036	2.61559	31	Intron (ENST00000772657.1/107984934, intron 2 of 3)	1	29679118	29687604	8487	1	107984934	ENST00000772661.1	-21636	NA	LOC107984934	uncharacterized LOC107984934
chr1	29990585	29990808	224	*	p65_0hr_peak_869	26	.	4.30571	6.09996	2.61559	98	Distal Intergenic	1	30013952	30037612	23661	2	101929406	ENST00000445180.2	46804	ENSG00000233399	LINC01648	long intergenic non-protein coding RNA 1648
chr1	30442024	30442215	192	*	p65_0hr_peak_870	37	.	5.16686	7.67231	3.72411	68	Distal Intergenic	1	30230229	30261188	30960	1	105378618	ENST00000816417.1	211795	NA	LOC105378618	uncharacterized LOC105378618
chr1	30495206	30495448	243	*	p65_0hr_peak_871	16	.	3.44457	4.60611	1.65242	73	Distal Intergenic	1	30695680	30710205	14526	2	124903888	ENST00000781722.1	214757	NA	LOC124903888	uncharacterized LOC124903888
chr1	31841852	31842027	176	*	p65_0hr_peak_872	37	.	5.16686	7.67231	3.72411	87	Exon (ENST00000453837.1/ENST00000453837.1, exon 2 of 2)	1	31799809	31816022	16214	2	90853	ENST00000528791.5	-25830	ENSG00000134668	SPOCD1	SPOC domain containing 1
chr1	32744063	32744238	176	*	p65_0hr_peak_873	37	.	5.16686	7.67231	3.72411	56	Promoter (2-3kb)	1	32741830	32774970	33141	1	57648	ENST00000401073.7	2233	ENSG00000162522	NHSL3	NHS like 3
chr1	33291083	33291258	176	*	p65_0hr_peak_874	16	.	3.44457	4.60611	1.65242	95	Intron (ENST00000539719.6/149076, intron 6 of 8)	1	33280350	33281973	1624	1	149076	ENST00000477934.1	10733	ENSG00000160094	ZNF362	zinc finger protein 362
chr1	34084584	34084759	176	*	p65_0hr_peak_875	26	.	4.30571	6.09996	2.61559	118	Intron (ENST00000373381.9/114784, intron 2 of 70)	1	33513998	34165230	651233	2	114784	ENST00000373381.9	80471	ENSG00000121904	CSMD2	CUB and Sushi multiple domains 2
chr1	34096505	34096716	212	*	p65_0hr_peak_876	23	.	4.11598	5.49678	2.33271	40	Intron (ENST00000373381.9/114784, intron 1 of 70)	1	33513998	34165230	651233	2	114784	ENST00000373381.9	68514	ENSG00000121904	CSMD2	CUB and Sushi multiple domains 2
chr1	34097005	34097180	176	*	p65_0hr_peak_877	37	.	5.16686	7.67231	3.72411	82	Intron (ENST00000373381.9/114784, intron 1 of 70)	1	33513998	34165230	651233	2	114784	ENST00000373381.9	68050	ENSG00000121904	CSMD2	CUB and Sushi multiple domains 2
chr1	34097766	34098035	270	*	p65_0hr_peak_878	26	.	4.29626	6.06674	2.61559	130	Intron (ENST00000373381.9/114784, intron 1 of 70)	1	33513998	34165230	651233	2	114784	ENST00000373381.9	67195	ENSG00000121904	CSMD2	CUB and Sushi multiple domains 2
chr1	34252484	34252666	183	*	p65_0hr_peak_879	26	.	4.66429	6.22211	2.69513	96	Distal Intergenic	1	34266565	34295990	29426	1	105378639	ENST00000788215.1	-13899	ENSG00000302624	LOC105378639	uncharacterized LOC105378639
chr1	34566580	34566755	176	*	p65_0hr_peak_880	23	.	4.11598	5.49678	2.33271	154	Distal Intergenic	1	34468867	34559249	90383	2	105378641	ENST00000824030.1	-7331	NA	LOC105378641	uncharacterized LOC105378641
chr1	34567626	34567859	234	*	p65_0hr_peak_881	41	.	5.64788	8.13933	4.12495	95	Distal Intergenic	1	34468867	34559249	90383	2	105378641	ENST00000824030.1	-8377	NA	LOC105378641	uncharacterized LOC105378641
chr1	34956044	34956219	176	*	p65_0hr_peak_882	26	.	4.30571	6.09996	2.61559	118	Distal Intergenic	1	34975699	34978706	3008	2	653160	ENST00000311990.4	22487	ENSG00000293382	GPR199P	G protein-coupled receptor 199, pseudogene
chr1	35400145	35400320	176	*	p65_0hr_peak_883	26	.	4.30571	6.09996	2.61559	48	Exon (ENST00000610617.1/ENST00000610617.1, exon 1 of 1)	1	35404844	35408052	3209	1	9202	ENST00000492456.1	-4524	ENSG00000146463	ZMYM4	zinc finger MYM-type containing 4
chr1	37211340	37211515	176	*	p65_0hr_peak_884	18	.	3.88691	4.89784	1.87186	119	Intron (ENST00000818266.1/ENST00000818266.1, intron 2 of 3)	1	37161563	37161634	72	1	100422898	ENST00000579351.1	49777	ENSG00000264698	MIR4255	microRNA 4255
chr1	40198301	40198476	176	*	p65_0hr_peak_885	37	.	5.16686	7.67231	3.72411	20	Intron (ENST00000372771.5/6018, intron 4 of 7)	1	40161387	40240921	79535	1	6018	ENST00000372771.5	36914	ENSG00000117000	RLF	RLF zinc finger
chr1	40367308	40367483	176	*	p65_0hr_peak_886	26	.	4.29626	6.06674	2.61559	33	Intron (ENST00000435168.6/64744, intron 2 of 6)	1	40373727	40423322	49596	1	64744	ENST00000372718.8	-6244	ENSG00000084070	SMAP2	small ArfGAP2
chr1	40368750	40369038	289	*	p65_0hr_peak_887	22	.	4.07563	5.38279	2.28138	46	Intron (ENST00000435168.6/64744, intron 2 of 6)	1	40373727	40423322	49596	1	64744	ENST00000372718.8	-4689	ENSG00000084070	SMAP2	small ArfGAP2
chr1	40927904	40928079	176	*	p65_0hr_peak_888	37	.	5.16686	7.67231	3.72411	63	Intron (ENST00000775766.1/ENST00000775766.1, intron 1 of 1)	1	40979300	41012550	33251	1	1503	ENST00000696107.1	-51221	ENSG00000171793	CTPS1	CTP synthase 1
chr1	41990103	41990278	176	*	p65_0hr_peak_889	23	.	4.11598	5.49678	2.33271	75	Intron (ENST00000489103.5/59269, intron 1 of 3)	1	41847191	42035925	188735	2	59269	ENST00000489103.5	45647	ENSG00000127124	HIVEP3	HIVEP zinc finger 3
chr1	41991108	41991329	222	*	p65_0hr_peak_890	36	.	5.10029	7.44386	3.66069	106	Intron (ENST00000489103.5/59269, intron 1 of 3)	1	41847191	42035925	188735	2	59269	ENST00000489103.5	44596	ENSG00000127124	HIVEP3	HIVEP zinc finger 3
chr1	42064782	42064957	176	*	p65_0hr_peak_891	37	.	5.16686	7.67231	3.72411	124	Distal Intergenic	1	42036143	42051784	15642	1	124904161	ENST00000670076.1	28639	NA	LOC124904161	uncharacterized LOC124904161
chr1	42253894	42254231	338	*	p65_0hr_peak_892	23	.	4.11598	5.49678	2.33271	253	Intron (ENST00000372572.5/22887, intron 6 of 14)	1	42264931	42278587	13657	2	22887	ENST00000454417.1	24356	ENSG00000198815	FOXJ3	forkhead box J3
chr1	42344631	42344806	176	*	p65_0hr_peak_893	37	.	5.16686	7.67231	3.72411	148	Distal Intergenic	1	42176539	42335877	159339	2	22887	ENST00000372573.5	-8754	ENSG00000198815	FOXJ3	forkhead box J3
chr1	42351385	42351611	227	*	p65_0hr_peak_894	56	.	6.58557	10.0324	5.67678	115	Distal Intergenic	1	42176539	42335877	159339	2	22887	ENST00000372573.5	-15508	ENSG00000198815	FOXJ3	forkhead box J3
chr1	42494219	42494402	184	*	p65_0hr_peak_895	32	.	5.15479	6.96127	3.26756	130	Promoter (2-3kb)	1	42497111	42581416	84306	1	728621	ENST00000509712.6	-2709	ENSG00000186409	CCDC30	coiled-coil domain containing 30
chr1	42494991	42495202	212	*	p65_0hr_peak_896	32	.	4.93918	6.94521	3.26756	134	Promoter (1-2kb)	1	42497111	42581416	84306	1	728621	ENST00000509712.6	-1909	ENSG00000186409	CCDC30	coiled-coil domain containing 30
chr1	42709114	42709289	176	*	p65_0hr_peak_897	37	.	5.16686	7.67231	3.72411	75	Distal Intergenic	1	42683156	42697211	14056	1	4904	ENST00000467957.1	25958	ENSG00000065978	YBX1	Y-box binding protein 1
chr1	44434719	44434894	176	*	p65_0hr_peak_898	37	.	5.16686	7.67231	3.72411	10	Intron (ENST00000355387.6/55182, intron 2 of 14)	1	44412698	44419872	7175	1	55182	ENST00000470498.1	22021	ENSG00000187147	RNF220	ring finger protein 220
chr1	44730797	44731054	258	*	p65_0hr_peak_899	26	.	4.25024	5.91036	2.61559	173	Promoter (<=1kb)	1	44731069	44731170	102	2	26830	ENST00000363299.2	116	ENSG00000200169	RNU5D-1	RNA, U5D small nuclear 1
chr1	44791526	44791701	176	*	p65_0hr_peak_900	37	.	5.16686	7.67231	3.72411	23	Distal Intergenic	1	44783585	44788170	4586	2	266675	ENST00000372207.4	-3356	ENSG00000142959	BEST4	bestrophin 4
chr1	44999089	44999294	206	*	p65_0hr_peak_901	50	.	6.028	9.31118	5.04104	97	Intron (ENST00000772448.1/ENST00000772448.1, intron 4 of 6)	1	45002540	45005588	3049	2	79654	ENST00000486132.5	6294	ENSG00000126107	HECTD3	HECT domain E3 ubiquitin protein ligase 3
chr1	45182082	45182308	227	*	p65_0hr_peak_902	37	.	5.44168	7.61256	3.72411	98	Intron (ENST00000359600.6/57643, intron 1 of 13)	1	45016399	45206605	190207	2	57643	ENST00000359600.6	24297	ENSG00000162415	ZSWIM5	zinc finger SWIM-type containing 5
chr1	45223582	45223757	176	*	p65_0hr_peak_903	23	.	4.11598	5.49678	2.33271	125	Intron (ENST00000464588.1/57643, intron 2 of 2)	1	45016399	45206605	190207	2	57643	ENST00000359600.6	-16977	ENSG00000162415	ZSWIM5	zinc finger SWIM-type containing 5
chr1	46808197	46808460	264	*	p65_0hr_peak_904	37	.	5.16686	7.67231	3.72411	108	Promoter (1-2kb)	1	46806807	46813988	7182	1	1580	ENST00000526297.5	1390	ENSG00000142973	CYP4B1	cytochrome P450 family 4 subfamily B member 1
chr1	47076381	47076556	176	*	p65_0hr_peak_905	16	.	3.44457	4.60611	1.65242	70	Intron (ENST00000334194.4/199974, intron 2 of 11)	1	47067231	47118318	51088	1	199974	ENST00000334194.4	9150	ENSG00000186160	CYP4Z1	cytochrome P450 family 4 subfamily Z member 1
chr1	47157732	47157907	176	*	p65_0hr_peak_906	37	.	5.16686	7.67231	3.72411	66	Intron (ENST00000444042.2/105378701, intron 3 of 3)	1	47137455	47146483	9029	1	284541	ENST00000294337.7	20277	ENSG00000162365	CYP4A22	cytochrome P450 family 4 subfamily A member 22
chr1	48154316	48154491	176	*	p65_0hr_peak_907	23	.	4.11598	5.49678	2.33271	31	Intron (ENST00000706231.2/391037, intron 7 of 7)	1	48101715	48161871	60157	2	391037	ENST00000452503.1	7380	NA	SKINT1L	Skint1 like (pseudogene)
chr1	49007089	49007264	176	*	p65_0hr_peak_908	26	.	4.30571	6.09996	2.61559	42	Intron (ENST00000371839.6/84871, intron 5 of 13)	1	49025594	49174994	149401	1	105378706	ENST00000790379.1	-18330	NA	LOC105378706	uncharacterized LOC105378706
chr1	49009153	49009328	176	*	p65_0hr_peak_909	26	.	4.30571	6.09996	2.61559	86	Intron (ENST00000371839.6/84871, intron 5 of 13)	1	49025594	49174994	149401	1	105378706	ENST00000790379.1	-16266	NA	LOC105378706	uncharacterized LOC105378706
chr1	49095994	49096215	222	*	p65_0hr_peak_910	37	.	5.16686	7.67231	3.72411	167	Intron (ENST00000790379.1/105378706, intron 2 of 3)	1	48583870	49045714	461845	2	84871	ENST00000416121.5	-50280	ENSG00000186094	AGBL4	AGBL carboxypeptidase 4
chr1	49261612	49261787	176	*	p65_0hr_peak_911	16	.	3.44457	4.60611	1.65242	133	Intron (ENST00000420071.1/101929721, intron 1 of 3)	1	49257411	49269285	11875	1	101929721	ENST00000420071.1	4201	ENSG00000230114	AGBL4-AS1	AGBL4 antisense RNA 1
chr1	49287750	49287925	176	*	p65_0hr_peak_912	46	.	5.88728	8.83887	4.69715	117	Intron (ENST00000371839.6/84871, intron 3 of 13)	1	49257411	49269285	11875	1	101929721	ENST00000420071.1	30339	ENSG00000230114	AGBL4-AS1	AGBL4 antisense RNA 1
chr1	49566774	49566949	176	*	p65_0hr_peak_913	26	.	4.30571	6.09996	2.61559	90	Intron (ENST00000371839.6/84871, intron 3 of 13)	1	49374201	49472085	97885	2	100874313	ENST00000457061.1	-94689	ENSG00000225623	AGBL4-IT1	AGBL4 intronic transcript 1
chr1	49651874	49652049	176	*	p65_0hr_peak_914	37	.	5.16686	7.67231	3.72411	85	Intron (ENST00000371839.6/84871, intron 3 of 13)	1	49374201	49472085	97885	2	100874313	ENST00000457061.1	-179789	ENSG00000225623	AGBL4-IT1	AGBL4 intronic transcript 1
chr1	49878841	49879136	296	*	p65_0hr_peak_915	48	.	5.95034	9.04384	4.87199	175	Intron (ENST00000371839.6/84871, intron 1 of 13)	1	49527228	49851518	324291	2	84871	ENST00000497451.1	-27323	ENSG00000186094	AGBL4	AGBL carboxypeptidase 4
chr1	49957563	49957738	176	*	p65_0hr_peak_916	26	.	4.66429	6.22211	2.69513	135	Intron (ENST00000371839.6/84871, intron 1 of 13)	1	48817507	50023900	1206394	2	84871	ENST00000371836.1	66162	ENSG00000186094	AGBL4	AGBL carboxypeptidase 4
chr1	50593881	50594065	185	*	p65_0hr_peak_917	32	.	4.93918	6.94521	3.26756	82	Intron (ENST00000396153.7/11124, intron 9 of 18)	1	50539592	50606944	67353	2	11124	ENST00000472808.1	12879	ENSG00000185104	FAF1	Fas associated factor 1
chr1	50762205	50762380	176	*	p65_0hr_peak_918	26	.	4.30571	6.09996	2.61559	99	Intron (ENST00000396153.7/11124, intron 4 of 18)	1	50441276	50706051	264776	2	11124	ENST00000494400.5	-56154	ENSG00000185104	FAF1	Fas associated factor 1
chr1	50918547	50918827	281	*	p65_0hr_peak_919	65	.	6.88914	11.0078	6.5418	113	Intron (ENST00000396153.7/11124, intron 1 of 18)	1	50705784	50959738	253955	2	11124	ENST00000487898.1	40911	ENSG00000185104	FAF1	Fas associated factor 1
chr1	51382262	51382437	176	*	p65_0hr_peak_920	37	.	5.16686	7.67231	3.72411	147	Exon (ENST00000383868.1/ENST00000383868.1, exon 1 of 1)	1	51394419	51401199	6781	2	2060	ENST00000478657.1	18762	ENSG00000085832	EPS15	epidermal growth factor receptor pathway substrate 15
chr1	52025831	52026006	176	*	p65_0hr_peak_921	37	.	5.15551	7.63229	3.72411	108	Promoter (1-2kb)	1	52023069	52024656	1588	2	51060	ENST00000471493.1	-1175	ENSG00000117862	TXNDC12	thioredoxin domain containing 12
