"seqnames","start","end","width","strand","Conc","Conc_YEATS2KD","Conc_Scramble","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr9",114300915,114301415,501,"*",4.52313870979752,0.521500068402107,5.47738784860899,-4.05650481102104,1.42381198623303e-05,0.0233625267651967,"Promoter (<=1kb)",9,114300362,114301542,1181,1,"85301","ENST00000494780.1",553,"ENSG00000196739","COL27A1","collagen type XXVII alpha 1 chain"
"chr5",132855842,132856342,501,"*",4.21038837025122,0,5.21038837025122,-5.48878588214587,1.45457654395292e-05,0.0233625267651967,"Distal Intergenic",5,132861181,132865614,4434,2,"2661","ENST00000296875.4",9272,"ENSG00000164404","GDF9","growth differentiation factor 9"
"chr7",100101027,100101527,501,"*",8.16423693969142,7.68485736864202,8.52343644713427,-0.630613241101217,1.60236863842013e-05,0.024053318342939,"Promoter (<=1kb)",7,100092728,100101397,8670,2,"4176","ENST00000303887.10",0,"ENSG00000166508","MCM7","minichromosome maintenance complex component 7"
"chr2",24940840,24941340,501,"*",4.19010775342522,0,5.19010775342522,-5.33813249050366,1.74789523834191e-05,0.024053318342939,"Intron (ENST00000841804.1/ENST00000841804.1, intron 1 of 1)",2,24920419,24921466,1048,1,"124907742","ENST00000796006.1",20421,NA,"LOC124907742","uncharacterized LOC124907742"
"chr6",41594909,41595409,501,"*",4.13063023732152,0,5.13063023732152,-5.12756991313366,2.1862278978902e-05,0.0256456368786518,"Exon (ENST00000307972.10/116113, exon 14 of 17)",6,41598723,41598788,66,1,"100616178","ENST00000578353.1",-3314,"ENSG00000266494","MIR4641","microRNA 4641"
"chr11",126252129,126252629,501,"*",4.16553518607255,0,5.16553518607255,-5.13172949777146,2.19919929888283e-05,0.0256456368786518,"Intron (ENST00000627851.2/79607, intron 4 of 7)",11,126260399,126262921,2523,1,"79607","ENST00000531935.1",-7770,"ENSG00000197798","FAM118B","family with sequence similarity 118 member B"
"chr6",150914528,150915028,501,"*",4.24183872683818,0,5.24183872683818,-5.12211169914051,2.2687366358164e-05,0.0256456368786518,"Intron (ENST00000611279.4/25902, intron 8 of 27)",6,150905670,150912948,7279,1,"25902","ENST00000421497.1",8858,"ENSG00000120254","MTHFD1L","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like"
"chr20",38434903,38435403,501,"*",7.92572046426292,7.4246855769825,8.29688927565569,-0.63197927424993,2.48136823057127e-05,0.0263906221963067,"Promoter (<=1kb)",20,38419638,38435381,15744,2,"388796","ENST00000654008.2",0,"ENSG00000196756","SNHG17","small nucleolar RNA host gene 17"
"chr21",45258123,45258623,501,"*",4.11597057603866,0,5.11597057603866,-4.97319235477824,2.5685497734439e-05,0.0263906221963067,"Promoter (<=1kb)",21,45257922,45264547,6626,1,"114042","ENST00000670960.2",201,"ENSG00000182586","LINC00334","long intergenic non-protein coding RNA 334"
"chr9",33366247,33366747,501,"*",4.11302068329021,0,5.11302068329021,-4.92548862363192,2.69523446999028e-05,0.0263906221963067,"Promoter (1-2kb)",9,33365233,33367578,2346,1,"4799","ENST00000463421.1",1014,"ENSG00000086102","NFX1","nuclear transcription factor, X-box binding 1"
"chr20",33339013,33339513,501,"*",4.07377424585726,0,5.07377424585726,-4.75177617822886,3.17070098338189e-05,0.026427681494301,"Distal Intergenic",20,33358841,33373359,14519,2,"51654","ENST00000461710.5",33846,"ENSG00000101391","CDK5RAP1","CDK5RAP1 mitochondrial tRNA methylthiotransferase"
"chrX",71102167,71102667,501,"*",4.07377424585726,0,5.07377424585726,-4.75177617822886,3.17070098338189e-05,0.026427681494301,"Promoter (1-2kb)",23,71103987,71104448,462,2,"158830","ENST00000466160.1",1781,"ENSG00000204165","CXorf65","chromosome X open reading frame 65"
"chr10",5813623,5814123,501,"*",6.38051776132094,5.42839066401063,6.94916298447136,-0.811965072707566,3.17289152564986e-05,0.026427681494301,"Promoter (<=1kb)",10,5765223,5813434,48212,2,"2665","ENST00000380191.9",-189,"ENSG00000057608","GDI2","GDP dissociation inhibitor 2"
"chr2",24984399,24984899,501,"*",4.0624914255687,0,5.0624914255687,-4.59313217960651,3.66954164129539e-05,0.0297806826893949,"Intron (ENST00000841449.1/729723, intron 1 of 3)",2,24972206,25035748,63543,1,"729723","ENST00000841464.1",12193,"ENSG00000224165","DNAJC27-AS1","DNAJC27 antisense RNA 1"
"chr17",43138113,43138613,501,"*",4.03873721490764,0,5.03873721490764,-4.44425393254245,4.17753478813319e-05,0.0314817032331437,"Exon (ENST00000467245.5/10230, exon 5 of 8)",17,43126372,43145927,19556,1,"10230","ENST00000790198.1",11741,"ENSG00000198496","NBR2","neighbor of BRCA1 lncRNA 2"
"chr11",118161563,118162063,501,"*",4.06033726258512,0,5.06033726258512,-4.21913938899165,5.07345453180073e-05,0.0356844243080056,"Intron (ENST00000845474.1/ENST00000845474.1, intron 2 of 2)",11,118136961,118152888,15928,2,"6330","ENST00000529878.1",-8675,"ENSG00000177098","SCN4B","sodium voltage-gated channel beta subunit 4"
"chr9",34142790,34143290,501,"*",4.37469659535105,0.0305105807168052,5.33873694413432,-3.54455651226664,5.19189729888468e-05,0.0357236394363042,"Distal Intergenic",9,34098384,34127399,29016,2,"25853","ENST00000396990.6",-15391,"ENSG00000198876","DCAF12","DDB1 and CUL4 associated factor 12"
"chr8",141094877,141095377,501,"*",4.03965756671423,0,5.03965756671423,-4.02018127650192,5.95720567302934e-05,0.038836746409752,"Intron (ENST00000824422.1/ENST00000824422.1, intron 1 of 1)",8,141117278,141141276,23999,1,"22898","ENST00000519291.5",-21901,"ENSG00000105339","DENND3","DENN domain containing 3"
"chr9",127450958,127451458,501,"*",6.99732124006029,6.26192784878774,7.48207374114558,-0.688710336536719,6.21135133411404e-05,0.038836746409752,"Promoter (<=1kb)",9,127447674,127451405,3732,2,"6136","ENST00000497825.5",0,"ENSG00000197958","RPL12","ribosomal protein L12"
"chr15",65094730,65095230,501,"*",3.96406444106092,0,4.96406444106092,-3.94929156310767,6.27327341628374e-05,0.038836746409752,"Exon (ENST00000561387.1/390595, exon 1 of 2)",15,65093009,65101628,8620,2,"390595","ENST00000561387.1",6398,"ENSG00000246922","UBAP1L","ubiquitin associated protein 1 like"
"chr13",112875520,112876020,501,"*",4.45930427055254,0,5.43925131930889,-3.77382326126396,6.28290676159434e-05,0.038836746409752,"Promoter (2-3kb)",13,112873503,112878459,4957,1,"23250","ENST00000493489.1",2017,"ENSG00000068650","ATP11A","ATPase phospholipid transporting 11A"
"chrX",118839120,118839620,501,"*",4.78750473169811,2.56925158122704,5.62350848789131,-1.88303755344017,6.28567804992038e-05,0.038836746409752,"Promoter (<=1kb)",23,118839538,118844503,4966,1,"101928287","ENST00000808817.1",0,"ENSG00000203650","LINC01285","long intergenic non-protein coding RNA 1285"
"chr3",47522607,47523107,501,"*",4.75160650354994,1.53531360132513,5.67182600788591,-2.59896514592435,6.38055926608039e-05,0.038836746409752,"Distal Intergenic",3,47495640,47513712,18073,2,"54859","ENST00000296149.9",-8895,"ENSG00000163832","ELP6","elongator acetyltransferase complex subunit 6"
"chr12",103881889,103882389,501,"*",3.94858075086913,0,4.94858075086913,-3.88212153677297,6.61246976962458e-05,0.0389825049892592,"Promoter (<=1kb)",12,103843749,103882588,38840,2,"253724","ENST00000548527.5",199,"ENSG00000214198","TTC41P","tetratricopeptide repeat domain 41, pseudogene"
"chr22",45413310,45413810,501,"*",5.00107288294788,3.20476394811645,5.77683121324513,-1.41317798400975,7.09069020519197e-05,0.0408049883062784,"Promoter (<=1kb)",22,45413693,45432509,18817,1,"26150","ENST00000614167.2",0,"ENSG00000128408","RIBC2","RIB43A domain with coiled-coils 2"
"chr1",214333498,214333998,501,"*",3.95420858240195,0,4.95420858240195,-3.76411813074195,7.26249944563388e-05,0.0410473874917425,"Promoter (2-3kb)",1,214330977,214337131,6155,1,"56950","ENST00000416415.2",2521,"ENSG00000143499","SMYD2","SET and MYND domain containing 2"
"chr12",2897646,2898146,501,"*",3.92285745198978,0,4.92285745198978,-3.69037134892831,7.68221071668888e-05,0.0426578335778807,"Intron (ENST00000540184.5/7289, intron 1 of 8)",12,2890907,2941130,50224,1,"7289","ENST00000397132.6",6739,"ENSG00000078246","TULP3","TUB like protein 3"
"chr21",46248255,46248755,501,"*",3.90351224651388,0,4.90351224651388,-3.56397560621006,8.47020393607974e-05,0.0462224870311827,"Intron (ENST00000748155.1/114044, intron 2 of 2)",21,46251515,46256986,5472,2,"8888","ENST00000481113.1",8231,"ENSG00000160294","MCM3AP","minichromosome maintenance complex component 3 associated protein"
"chr2",9677361,9677861,501,"*",3.92522681555734,0,4.92522681555734,-3.46356273189431,9.16053892065071e-05,0.0483233695629193,"Intron (ENST00000717089.1/105373418, intron 2 of 5)",2,9674035,9676640,2606,1,"105373418","ENST00000659839.2",3326,"ENSG00000240687","LOC105373418","uncharacterized LOC105373418"
"chr11",78214954,78215454,501,"*",3.9598145455184,0,4.9598145455184,-3.43221492321456,9.39114469631344e-05,0.0487277247185273,"3' UTR",11,78207237,78209551,2315,1,"57558","ENST00000530521.1",7717,"ENSG00000118369","USP35","ubiquitin specific peptidase 35"
