gene_id,Gene,chr,start,end,strand
ENSG00000142684.10,ZNF593,chr1,26169891,26170873,+
ENSG00000215156.6,ENSG00000215156,chr5,34190155,34193653,+
ENSG00000158050.8,DUSP2,chr2,96143165,96145447,-
ENSG00000128564.10,VGF,chr7,101162508,101167245,-
ENSG00000115289.16,PCGF1,chr2,74505040,74508361,-
ENSG00000138080.16,EMILIN1,chr2,27078043,27086408,+
ENSG00000131188.14,PRR7,chr5,177446444,177456291,+
ENSG00000204628.14,RACK1,chr5,181235390,181248096,-
ENSG00000221821.4,PEX39,chr6,42890264,42890821,-
ENSG00000142669.17,SH3BGRL3,chr1,26279127,26281522,+
ENSG00000168672.6,LRATD2,chr8,126552438,126558484,-
ENSG00000160993.6,ALKBH4,chr7,102456220,102464899,-
ENSG00000146066.4,HIGD2A,chr5,176388731,176389768,+
ENSG00000181773.9,GPR3,chr1,27392613,27395814,+
ENSG00000197958.15,RPL12,chr9,127447421,127452094,-
ENSG00000189266.15,PNRC2,chr1,23956838,23963776,+
ENSG00000143443.11,C1orf56,chr1,151047745,151051986,+
ENSG00000165283.18,STOML2,chr9,35099468,35103195,-
ENSG00000176022.7,B3GALT6,chr1,1232236,1235041,+
ENSG00000137098.16,SPAG8,chr9,35808044,35812272,-
ENSG00000184678.11,H2BC21,chr1,149884458,149886682,-
ENSG00000169241.21,SLC50A1,chr1,155135343,155138857,+
ENSG00000115211.19,EIF2B4,chr2,27363419,27370466,-
ENSG00000068028.20,RASSF1,chr3,50329781,50340980,-
ENSG00000242485.8,MRPL20,chr1,1401906,1407306,-
ENSG00000233276.10,GPX1,chr3,49357173,49358605,-
ENSG00000226479.4,TMEM185B,chr2,120217478,120223400,-
ENSG00000136942.17,RPL35,chr9,124857872,124862017,-
ENSG00000179010.18,MRFAP1,chr4,6640090,6642731,+
ENSG00000164405.13,UQCRQ,chr5,132866622,132868847,+
ENSG00000145040.4,UCN2,chr3,48561717,48563781,-
ENSG00000239779.9,WBP1,chr2,74458262,74461077,+
ENSG00000144579.11,CTDSP1,chr2,218397135,218405942,+
ENSG00000179528.17,LBX2,chr2,74497454,74503316,-
ENSG00000275713.3,H2BC9,chr6,26251613,26252075,+
ENSG00000214309.7,MBLAC1,chr7,100126693,100128498,+
ENSG00000143543.17,JTB,chr1,153974268,153978011,-
ENSG00000265241.10,RBM8A,chr1,145920934,145928067,-
ENSG00000274641.2,H2BC17,chr6,27893424,27893891,+
ENSG00000184357.5,H1-5,chr6,27866791,27867588,-
ENSG00000170469.13,SPATA24,chr5,139396562,139404094,-
ENSG00000163795.16,ZNF513,chr2,27377234,27380790,-
ENSG00000196154.14,S100A4,chr1,153543612,153552135,-
ENSG00000173349.6,SFT2D3,chr2,127701496,127705242,+
ENSG00000175130.9,MARCKSL1,chr1,32333563,32336241,-
ENSG00000288699.1,ENSG00000288699,chr9,35065338,35074175,-
ENSG00000163516.16,ANKZF1,chr2,219229768,219236679,+
ENSG00000005448.19,WDR54,chr2,74421476,74425770,+
ENSG00000178149.19,DALRD3,chr3,49015473,49022293,-
ENSG00000178035.15,IMPDH2,chr3,49024314,49029452,-
ENSG00000122140.15,MRPS2,chr9,135499969,135504676,+
ENSG00000170144.25,HNRNPA3,chr2,177212586,177226106,+
ENSG00000106333.15,PCOLCE,chr7,100602320,100608175,+
ENSG00000214706.14,IFRD2,chr3,50286002,50292918,-
ENSG00000204822.9,MRPL53,chr2,74471956,74472699,-
ENSG00000274997.2,H2AC12,chr6,27147105,27147562,+
ENSG00000215183.6,MSMP,chr9,35752989,35756613,-
ENSG00000179055.8,OR13D1,chr9,104694517,104695462,+
ENSG00000284356.1,TAF11L10,chr5,17597231,17597828,-
ENSG00000115317.15,HTRA2,chr2,74529273,74533966,+
ENSG00000171314.11,PGAM1,chr10,97426104,97433444,+
ENSG00000288859.2,H2AC19,chr1,149851060,149851652,+
ENSG00000289763.1,ENSG00000289763,chr3,10249041,10249366,+
ENSG00000107185.12,RGP1,chr9,35748612,35759600,+
ENSG00000119335.20,SET,chr9,128683423,128696400,+
ENSG00000283988.1,TAF11L9,chr5,17593797,17594394,-
ENSG00000144485.13,HES6,chr2,238237902,238240680,-
ENSG00000123689.8,G0S2,chr1,209675404,209676390,+
ENSG00000143994.16,ABHD1,chr2,27123788,27130812,+
ENSG00000170128.5,GPR25,chr1,200872980,200874178,+
ENSG00000138073.16,PREB,chr2,27129152,27134689,-
ENSG00000274049.4,INO80B-WBP1,chr2,74455087,74460884,+
ENSG00000197355.13,UAP1L1,chr9,137077469,137084544,+
ENSG00000164645.3,TEX47,chr7,88794105,88795737,-
ENSG00000278677.2,H2AC17,chr6,27892698,27893185,-
ENSG00000241852.13,C8orf58,chr8,22599587,22604271,+
ENSG00000115661.16,STK16,chr2,219245211,219250339,+
ENSG00000163348.5,PYGO2,chr1,154957024,154963853,-
ENSG00000115129.16,TP53I3,chr2,24077432,24085861,-
ENSG00000035141.12,FAM136A,chr2,70295974,70302086,-
ENSG00000198467.18,TPM2,chr9,35681991,35691116,-
ENSG00000160050.18,CCDC28B,chr1,32200382,32205453,+
ENSG00000164404.10,GDF9,chr5,132861180,132866884,-
ENSG00000069011.17,PITX1,chr5,135027733,135034813,-
ENSG00000013441.19,CLK1,chr2,200853008,200864728,-
ENSG00000112984.14,KIF20A,chr5,138178714,138188171,+
ENSG00000115234.13,SNX17,chr2,27370495,27377535,+
ENSG00000221978.15,CCNL2,chr1,1385708,1400909,-
ENSG00000187837.5,H1-2,chr6,26054759,26056470,-
ENSG00000167011.10,NAT16,chr7,101170495,101180301,-
ENSG00000106245.13,BUD31,chr7,99408609,99419618,+
ENSG00000138074.17,SLC5A6,chr2,27199586,27212958,-
ENSG00000253276.5,CCDC71L,chr7,106654359,106661158,-
ENSG00000106244.15,PDAP1,chr7,99392047,99408831,-
ENSG00000247626.5,MARS2,chr2,197705368,197708395,+
ENSG00000137309.23,HMGA1,chr6,34235617,34246236,+
ENSG00000205307.13,SAP25,chr7,100572227,100573916,-
ENSG00000159214.15,CCDC24,chr1,43991351,43996529,+
ENSG00000168209.8,DDIT4,chr10,72273918,72276039,+
ENSG00000196290.19,NIF3L1,chr2,200888991,200905579,+
ENSG00000115657.16,ABCB6,chr2,219209764,219219012,-
ENSG00000214253.11,FIS1,chr7,101239457,101252321,-
ENSG00000114383.12,TUSC2,chr3,50320026,50328251,-
ENSG00000213347.13,MXD3,chr5,177301460,177312757,-
ENSG00000164898.14,FMC1,chr7,139339456,139347031,+
ENSG00000168237.20,GLYCTK,chr3,52286944,52295273,+
ENSG00000160345.15,PIERCE1,chr9,135494520,135501756,-
ENSG00000115649.18,CNPPD1,chr2,219170703,219182664,-
ENSG00000188643.13,S100A16,chr1,153606881,153614012,-
ENSG00000213930.14,GALT,chr9,34637366,34651754,+
ENSG00000236637.5,IFNA4,chr9,21186617,21187587,-
ENSG00000288677.2,HRURF,chr8,22130457,22131010,-
ENSG00000248235.6,ENSG00000248235,chr8,22589273,22602084,+
ENSG00000116649.12,SRM,chr1,11054583,11060078,-
ENSG00000168887.13,C2orf68,chr2,85605253,85612066,-
ENSG00000143575.18,HAX1,chr1,154272325,154275882,+
ENSG00000187713.7,TMEM203,chr9,137204081,137205648,-
ENSG00000048162.24,NOP16,chr5,176383932,176389007,-
ENSG00000146006.9,LRRTM2,chr5,138868920,138875383,-
ENSG00000254402.8,LRRC24,chr8,144522384,144527608,-
ENSG00000175793.12,SFN,chr1,26863148,26864456,+
ENSG00000125611.17,CHCHD5,chr2,112584239,112589275,+
ENSG00000198755.13,RPL10A,chr6,35468365,35470786,+
ENSG00000078399.20,HOXA9,chr7,27162437,27175180,-
ENSG00000107140.19,TESK1,chr9,35605234,35610328,+
ENSG00000135924.19,DNAJB2,chr2,219279307,219286900,+
ENSG00000106400.14,ZNHIT1,chr7,101218116,101224195,+
ENSG00000196196.3,HRCT1,chr9,35906201,35907136,+
ENSG00000106397.14,PLOD3,chr7,101205976,101219968,-
ENSG00000054148.20,PHPT1,chr9,136847993,136851043,+
ENSG00000147955.20,SIGMAR1,chr9,34631715,34637844,-
ENSG00000221829.13,FANCG,chr9,35073792,35082444,-
ENSG00000267368.3,UPK3BL1,chr7,102637023,102642980,-
ENSG00000117362.15,APH1A,chr1,150265041,150269580,-
ENSG00000175768.15,TOMM5,chr9,37582645,37592619,-
ENSG00000182795.15,C1orf116,chr1,207018049,207032821,-
ENSG00000117407.19,ARTN,chr1,43933271,43937244,+
ENSG00000213221.7,DNLZ,chr9,136359479,136363773,-
ENSG00000115274.16,INO80B,chr2,74455077,74457958,+
ENSG00000197061.5,H4C3,chr6,26103932,26104337,+
ENSG00000128713.15,HOXD11,chr2,176104215,176109754,+
ENSG00000160691.21,SHC1,chr1,154962283,154974452,-
ENSG00000224051.9,CPTP,chr1,1324755,1328897,+
ENSG00000187514.19,PTMA,chr2,231706894,231713552,+
ENSG00000183386.13,FHL3,chr1,37994393,38006380,-
ENSG00000284465.1,TAF11L7,chr5,17585161,17585758,-
ENSG00000159377.13,PSMB4,chr1,151399555,151401941,+
ENSG00000143320.11,CRABP2,chr1,156699591,156708094,-
ENSG00000135211.8,TMEM60,chr7,77793727,77799723,-
ENSG00000165802.25,NSMF,chr9,137447569,137459576,-
ENSG00000176714.12,CCDC121,chr2,27625534,27629018,-
ENSG00000075624.19,ACTB,chr7,5526408,5563902,-
ENSG00000128709.14,HOXD9,chr2,176121228,176127570,+
ENSG00000161036.15,LRWD1,chr7,102464923,102476237,+
ENSG00000171169.10,NAIF1,chr9,128061232,128068206,-
ENSG00000122687.21,MRM2,chr7,2234194,2242229,-
ENSG00000228474.8,OST4,chr2,27058734,27073830,-
ENSG00000127837.12,AAMP,chr2,218264124,218270889,-
ENSG00000142937.14,RPS8,chr1,44775250,44779124,+
ENSG00000172586.9,CHCHD1,chr10,73782038,73783652,+
ENSG00000107175.14,CREB3,chr9,35732295,35738887,+
ENSG00000172354.12,GNB2,chr7,100673476,100679174,+
ENSG00000160959.10,LRRC14,chr8,144517956,144526244,+
ENSG00000186364.14,NUDT17,chr1,145845602,145848954,+
ENSG00000014914.23,MTMR11,chr1,149928649,149937534,-
ENSG00000074582.17,BCS1L,chr2,218658763,218668759,+
ENSG00000146007.13,ZMAT2,chr5,140698679,140707729,+
ENSG00000106367.17,AP1S1,chr7,101154351,101161596,+
ENSG00000176402.6,GJC3,chr7,99923265,99929620,-
ENSG00000115325.16,DOK1,chr2,74548874,74557554,+
ENSG00000138030.16,KHK,chr2,27086722,27100777,+
ENSG00000170122.6,FOXD4,chr9,116230,118417,-
ENSG00000106366.11,SERPINE1,chr7,101122157,101139263,+
ENSG00000120129.8,DUSP1,chr5,172766991,172771198,-
ENSG00000120242.4,IFNA8,chr9,21409116,21410185,+
ENSG00000276966.3,H4C5,chr6,26204609,26205021,+
ENSG00000285645.1,ENSG00000285645,chr9,35812959,35828732,-
ENSG00000106077.21,ABHD11,chr7,73736090,73738864,-
ENSG00000115828.19,QPCT,chr2,37342826,37373323,+
ENSG00000284820.1,ENSG00000284820,chr2,219209771,219222738,-
ENSG00000221869.6,CEBPD,chr8,47735633,47738164,-
ENSG00000273983.2,H3C8,chr6,26270917,26271413,-
ENSG00000106305.12,AIMP2,chr7,6009225,6024655,+
ENSG00000115275.16,MOGS,chr2,74461056,74465415,-
ENSG00000160446.21,ZDHHC12,chr9,128720861,128724146,-
ENSG00000276180.3,H4C9,chr6,27139281,27140640,+
ENSG00000130305.19,NSUN5,chr7,73302515,73308867,-
ENSG00000177383.6,MAGEF1,chr3,184708748,184712073,-
ENSG00000143222.14,UFC1,chr1,161152775,161159368,+
ENSG00000169228.16,RAB24,chr5,177301197,177303766,-
ENSG00000131495.10,NDUFA2,chr5,140638739,140647823,-
ENSG00000215375.9,MYL5,chr4,673518,682033,+
ENSG00000135245.12,HILPDA,chr7,128455824,128458423,+
ENSG00000146700.11,SSC4D,chr7,76389016,76409744,-
ENSG00000179632.13,MAF1,chr8,144103111,144107618,+
ENSG00000205808.7,PLPP6,chr9,4662293,4665258,+
ENSG00000174038.13,SPATA31G1,chr9,35041094,35045986,+
ENSG00000284981.3,UPK3BL2,chr7,102537918,102543759,-
ENSG00000137094.17,DNAJB5,chr9,34989640,34999403,+
ENSG00000228672.4,PROB1,chr5,139390591,139395104,-
ENSG00000176919.15,C8G,chr9,136942531,136946980,+
ENSG00000164978.21,NUDT2,chr9,34329495,34343713,+
ENSG00000188229.8,TUBB4B,chr9,137241277,137243713,+
ENSG00000228049.9,POLR2J2,chr7,102665367,102671752,-
ENSG00000197576.16,HOXA4,chr7,27127886,27130780,-
ENSG00000123999.6,INHA,chr2,219569161,219575711,+
ENSG00000162385.13,MAGOH,chr1,53226637,53238626,-
ENSG00000186222.5,BLOC1S4,chr4,6716173,6717664,+
ENSG00000106268.18,NUDT1,chr7,2242202,2251824,+
ENSG00000152669.10,CCNO,chr5,55231151,55233649,-
ENSG00000165312.7,OTUD1,chr10,23439074,23442377,+
ENSG00000198435.4,NRARP,chr9,137299630,137302271,-
ENSG00000137135.20,ARHGEF39,chr9,35658873,35675866,-
ENSG00000135637.17,CCDC142,chr2,74471956,74483408,-
ENSG00000137078.12,SIT1,chr9,35649287,35650970,-
ENSG00000261793.1,ENSG00000261793,chr9,137168853,137171984,-
ENSG00000182899.19,RPL35A,chr3,197949956,197956610,+
ENSG00000142871.20,CCN1,chr1,85580115,85584589,+
ENSG00000136908.20,DPM2,chr9,127935089,127937879,-
ENSG00000163793.14,DNAJC5G,chr2,27275429,27281499,+
ENSG00000165282.18,PIGO,chr9,35085491,35096632,-
ENSG00000164850.18,GPER1,chr7,1082207,1094516,+
ENSG00000205143.7,ARID3C,chr9,34621048,34630503,-
ENSG00000188931.6,CFAP126,chr1,161364732,161367885,-
ENSG00000115875.21,SRSF7,chr2,38743598,38751498,-
ENSG00000131584.21,ACAP3,chr1,1292375,1309609,-
ENSG00000180644.10,PRF1,chr10,70596400,70602788,-
ENSG00000240230.7,COX19,chr7,964851,975549,-
ENSG00000115541.13,HSPE1,chr2,197500109,197513408,+
ENSG00000128645.17,HOXD1,chr2,176188658,176190926,+
ENSG00000132773.14,TOE1,chr1,45339937,45345623,+
ENSG00000173531.17,MST1,chr3,49683921,49689501,-
ENSG00000164088.20,PPM1M,chr3,52245740,52250616,+
ENSG00000117399.16,CDC20,chr1,43358906,43363212,+
ENSG00000186891.15,TNFRSF18,chr1,1203507,1206814,-
ENSG00000184840.14,TMED9,chr5,177592173,177597242,+
ENSG00000236782.10,ZNF593OS,chr1,26169515,26171832,-
ENSG00000124733.6,MEA1,chr6,43011142,43016868,-
ENSG00000106006.7,HOXA6,chr7,27144102,27150603,-
ENSG00000126524.14,SBDS,chr7,66987678,66995693,-
ENSG00000162576.19,MXRA8,chr1,1352682,1361800,-
ENSG00000189334.11,S100A14,chr1,153614254,153616996,-
ENSG00000286053.3,ASDURF,chr2,189661384,189666437,+
ENSG00000164379.7,FOXQ1,chr6,1312097,1314758,+
ENSG00000169490.19,TM2D2,chr8,38988807,38996824,-
ENSG00000243989.11,ACY1,chr3,51983046,51989457,+
ENSG00000135926.17,TMBIM1,chr2,218274192,218292589,-
ENSG00000197982.15,C1orf122,chr1,37806978,37809886,+
ENSG00000182154.9,MRPL41,chr9,137550423,137552555,+
ENSG00000186889.12,TMEM17,chr2,62500217,62511894,-
ENSG00000184292.7,TACSTD2,chr1,58575432,58577252,-
ENSG00000138092.13,CENPO,chr2,24793099,24822376,+
ENSG00000131187.13,F12,chr5,177402132,177416583,-
ENSG00000169871.15,TRIM56,chr7,101085233,101097967,+
ENSG00000005238.22,ATOSB,chr9,35104111,35116357,-
ENSG00000146063.22,TRIM41,chr5,181222498,181235808,+
ENSG00000183718.8,TRIM52,chr5,181254076,181262068,-
ENSG00000077454.19,LRCH4,chr7,100574010,100586236,-
ENSG00000119777.22,TMEM214,chr2,27032909,27041697,+
ENSG00000113119.15,TMCO6,chr5,140639395,140647730,+
ENSG00000106336.15,FBXO24,chr7,100583981,100601117,+
ENSG00000070610.16,GBA2,chr9,35734576,35749986,-
ENSG00000136710.12,VMA22,chr2,130337921,130342699,-
ENSG00000115282.23,TTC31,chr2,74482616,74496915,+
ENSG00000183770.7,FOXL2,chr3,138944223,138947137,-
ENSG00000123989.17,CHPF,chr2,219538948,219543818,-
ENSG00000183891.8,TTC32,chr2,19896630,19902282,-
ENSG00000173540.16,GMPPB,chr3,49716843,49723988,-
ENSG00000146083.15,RNF44,chr5,176526699,176543514,-
ENSG00000198885.12,ITPRIPL1,chr2,96324976,96330517,+
ENSG00000117410.16,ATP6V0B,chr1,43974486,43978299,+
ENSG00000188760.13,TMEM198,chr2,219543129,219550595,+
ENSG00000197238.5,H4C11,chr6,27824091,27824480,+
ENSG00000164620.11,RELL2,chr5,141636949,141641065,+
ENSG00000163463.15,KRTCAP2,chr1,155169181,155173475,-
ENSG00000143570.21,SLC39A1,chr1,153959098,153968667,-
ENSG00000189134.4,NKAPL,chr6,28259296,28260958,+
ENSG00000144021.5,CIAO1,chr2,96266158,96274173,+
ENSG00000128714.7,HOXD13,chr2,176092689,176096240,+
ENSG00000176087.18,SLC35A4,chr5,140564439,140569215,+
ENSG00000293600.3,ENSG00000293600,chr5,140564439,140569215,+
ENSG00000179921.16,GPBAR1,chr2,218259495,218263861,+
ENSG00000131435.15,PDLIM4,chr5,132257639,132273712,+
ENSG00000188542.11,DUSP28,chr2,240560053,240565256,+
ENSG00000198142.5,SOWAHC,chr2,109614363,109618990,+
ENSG00000157593.21,SLC35B2,chr6,44253871,44257890,-
ENSG00000186577.16,SMIM29,chr6,34245864,34249113,-
ENSG00000112667.15,DNPH1,chr6,43225628,43229490,-
ENSG00000117308.17,GALE,chr1,23795598,23800804,-
ENSG00000169564.7,PCBP1,chr2,70087476,70089203,+
ENSG00000229937.9,PRPS1L1,chr7,18026769,18027846,-
ENSG00000166526.21,ZNF3,chr7,100056867,100082706,-
ENSG00000158850.17,B4GALT3,chr1,161171303,161178652,-
ENSG00000096746.20,HNRNPH3,chr10,68331173,68344002,+
ENSG00000144567.13,RETREG2,chr2,219176224,219185917,+
ENSG00000243056.3,EIF4EBP3,chr5,140547615,140551708,+
ENSG00000106404.15,CLDN15,chr7,101232091,101238820,-
ENSG00000196923.16,PDLIM7,chr5,177482837,177497664,-
ENSG00000122406.16,RPL5,chr1,92831989,92841924,+
ENSG00000126088.16,UROD,chr1,45010949,45015577,+
ENSG00000082153.20,BZW1,chr2,200810593,200827921,+
ENSG00000143947.17,RPS27A,chr2,55229446,55236649,+
ENSG00000115758.16,ODC1,chr2,10435416,10450116,-
ENSG00000168894.12,RNF181,chr2,85595619,85598589,+
ENSG00000144589.24,STK11IP,chr2,219595804,219616452,+
ENSG00000187608.11,ISG15,chr1,1001137,1014540,+
ENSG00000181873.15,IBA57,chr1,228165776,228182257,+
ENSG00000114491.16,UMPS,chr3,124730432,124749384,+
ENSG00000106330.14,MOSPD3,chr7,100612101,100616004,+
ENSG00000114391.16,RPL24,chr3,101677659,101686825,-
ENSG00000198917.15,SPOUT1,chr9,128819650,128829838,-
ENSG00000106004.6,HOXA5,chr7,27141051,27143719,-
ENSG00000113108.22,APBB3,chr5,140558267,140564781,-
ENSG00000215717.9,TMEM167B,chr1,109090361,109096935,+
ENSG00000166997.10,CNPY4,chr7,100119613,100125511,+
ENSG00000198944.6,SOWAHA,chr5,132813301,132816786,+
ENSG00000171604.14,CXXC5,chr5,139646374,139683882,+
ENSG00000158806.16,NPM2,chr8,22024080,22036897,+
ENSG00000137054.18,POLR1E,chr9,37481694,37503701,+
ENSG00000188483.8,IER5L,chr9,129175551,129178261,-
ENSG00000205208.7,C4orf46,chr4,158666674,158672255,-
ENSG00000176125.7,UFSP1,chr7,100888720,100889715,-
ENSG00000253293.7,HOXA10,chr7,27170591,27180261,-
ENSG00000173302.5,GPR148,chr2,130729069,130730336,+
ENSG00000285641.1,ENSG00000285641,chr1,153975849,153986246,-
ENSG00000257184.4,HOXA10-HOXA9,chr7,27162437,27180239,-
ENSG00000115137.13,DNAJC27,chr2,24943635,24972094,-
ENSG00000168936.14,TMEM129,chr4,1715950,1721367,-
ENSG00000188529.17,SRSF10,chr1,23962473,23980927,-
ENSG00000113272.16,THG1L,chr5,157731401,157741449,+
ENSG00000168899.7,VAMP5,chr2,85584396,85593421,+
ENSG00000168393.15,DTYMK,chr2,241675737,241686981,-
ENSG00000145050.20,MANF,chr3,51385254,51389802,+
ENSG00000163467.14,TSACC,chr1,156337313,156347019,+
ENSG00000152292.19,SH2D6,chr2,85418713,85437029,+
ENSG00000087087.22,SRRT,chr7,100875064,100888664,+
ENSG00000106636.11,YKT6,chr7,44200958,44214294,+
ENSG00000181904.11,C5orf24,chr5,134845679,134859735,+
ENSG00000165280.20,VCP,chr9,35053927,35072725,-
ENSG00000288654.2,ENSG00000288654,chr3,88058138,88059047,-
ENSG00000168476.14,REEP4,chr8,22138006,22141951,-
ENSG00000087085.18,ACHE,chr7,100889992,100897022,-
ENSG00000107159.16,CA9,chr9,35673897,35681159,+
ENSG00000204923.6,FBXO48,chr2,68459421,68467317,-
ENSG00000197919.6,IFNA1,chr9,21440438,21441316,+
ENSG00000152518.10,ZFP36L2,chr2,43221824,43226612,-
ENSG00000137100.18,DCTN3,chr9,34613544,34620529,-
ENSG00000132768.16,DPH2,chr1,43969974,43973373,+
ENSG00000158882.17,TOMM40L,chr1,161225938,161233755,+
ENSG00000198925.14,ATG9A,chr2,219219379,219230383,-
ENSG00000107262.27,BAG1,chr9,33247819,33264720,-
ENSG00000116560.13,SFPQ,chr1,35176377,35193446,-
ENSG00000178057.17,NDUFAF3,chr3,49020458,49027593,+
ENSG00000086065.16,CHMP5,chr9,33264016,33282071,+
ENSG00000106384.14,MOGAT3,chr7,101195006,101201088,-
ENSG00000204052.7,LRRC73,chr6,43506061,43510388,-
ENSG00000116903.7,EXOC8,chr1,231332752,231337852,-
ENSG00000134186.14,PRPF38B,chr1,108692291,108702928,+
ENSG00000068001.16,HYAL2,chr3,50313395,50324687,-
ENSG00000181867.3,FTMT,chr5,121851881,121852833,+
ENSG00000109272.5,PF4V1,chr4,73853291,73854483,+
ENSG00000163481.10,RNF25,chr2,218662080,218672009,-
ENSG00000006377.11,DLX6,chr7,97005552,97011040,+
ENSG00000148229.15,POLE3,chr9,113407231,113410723,-
ENSG00000135624.19,CCT7,chr2,73233419,73253282,+
ENSG00000180667.11,YOD1,chr1,207043848,207052980,-
ENSG00000183598.4,H3C13,chr1,149813224,149813693,-
ENSG00000135925.11,WNT10A,chr2,218880851,218899581,+
ENSG00000131183.13,SLC34A1,chr5,177379234,177398848,+
ENSG00000253598.3,SLC10A5,chr8,81693630,81695058,-
ENSG00000289653.1,ENSG00000289653,chr8,102858045,102863860,-
ENSG00000168264.14,IRF2BP2,chr1,234602294,234610189,-
ENSG00000164708.8,PGAM2,chr7,44062723,44065736,-
ENSG00000177673.4,TEX44,chr2,231592863,231594276,+
ENSG00000188042.9,ARL4C,chr2,234493040,234497095,-
ENSG00000143333.9,RGS16,chr1,182598622,182604394,-
ENSG00000168795.7,ZBTB5,chr9,37437686,37468850,-
ENSG00000240344.12,PPIL3,chr2,200870906,200889358,-
ENSG00000145741.18,BTF3,chr5,73498407,73507479,+
ENSG00000221909.5,FAM200A,chr7,99546203,99559392,-
ENSG00000170584.14,NUDCD2,chr5,163446525,163460404,-
ENSG00000136634.7,IL10,chr1,206767601,206774541,-
ENSG00000196981.5,WDR5B,chr3,122411845,122416464,-
ENSG00000241563.5,CORT,chr1,10450009,10452083,+
ENSG00000108179.16,PPIF,chr10,79347460,79355350,+
ENSG00000132563.19,REEP2,chr5,138438975,138446969,+
ENSG00000182004.15,SNRPE,chr1,203861495,203871152,+
ENSG00000145912.12,NHP2,chr5,178139871,178153968,-
ENSG00000186105.8,LRRC70,chr5,62578818,62581446,+
ENSG00000062582.16,MRPS24,chr7,43866555,43869893,-
ENSG00000178732.6,GP5,chr3,194394820,194399266,-
